sra_uid,lichen,produced_by,sra_id,bioproject,publication_check,manual_check,how_confirmed,publication_name
21907174,Rhizoplaca sp. SL-2022a,Brigham Young University,SRR19308508,PRJNA576709,unconfirmed,confirmed,publication,Kueler et al. 2020
21110790,Lecanora polytropa,Brigham Young University,SRR18643608,PRJNA823672,unconfirmed,confirmed,publication,Zhang et al. 2022
21110789,Lecanora polytropa,Brigham Young University,SRR18643609,PRJNA823672,unconfirmed,confirmed,publication,Zhang et al. 2022
21110788,Lecanora polytropa,Brigham Young University,SRR18643610,PRJNA823672,unconfirmed,confirmed,publication,Zhang et al. 2022
21110787,Lecanora polytropa,Brigham Young University,SRR18643611,PRJNA823672,unconfirmed,confirmed,publication,Zhang et al. 2022
21110786,Lecanora polytropa,Brigham Young University,SRR18643612,PRJNA823672,unconfirmed,confirmed,publication,Zhang et al. 2022
21110785,Lecanora polytropa,Brigham Young University,SRR18643613,PRJNA823672,unconfirmed,confirmed,publication,Zhang et al. 2022
21110784,Lecanora polytropa,Brigham Young University,SRR18643614,PRJNA823672,unconfirmed,confirmed,publication,Zhang et al. 2022
21110783,Lecanora polytropa,Brigham Young University,SRR18643615,PRJNA823672,unconfirmed,confirmed,publication,Zhang et al. 2022
21110782,Lecanora polytropa,Brigham Young University,SRR18643616,PRJNA823672,unconfirmed,confirmed,publication,Zhang et al. 2022
21110781,Lecanora polytropa,Brigham Young University,SRR18643617,PRJNA823672,unconfirmed,confirmed,publication,Zhang et al. 2022
21110780,Lecanora polytropa,Brigham Young University,SRR18643618,PRJNA823672,unconfirmed,confirmed,publication,Zhang et al. 2022
21110779,Lecanora polytropa,Brigham Young University,SRR18643619,PRJNA823672,unconfirmed,confirmed,publication,Zhang et al. 2022
21110778,Lecanora polytropa,Brigham Young University,SRR18643620,PRJNA823672,unconfirmed,confirmed,publication,Zhang et al. 2022
21110777,Lecanora polytropa,Brigham Young University,SRR18643621,PRJNA823672,unconfirmed,confirmed,publication,Zhang et al. 2022
21110776,Lecanora polytropa,Brigham Young University,SRR18643622,PRJNA823672,unconfirmed,confirmed,publication,Zhang et al. 2022
21110775,Lecanora polytropa,Brigham Young University,SRR18643623,PRJNA823672,unconfirmed,confirmed,publication,Zhang et al. 2022
21110774,Lecanora polytropa,Brigham Young University,SRR18643624,PRJNA823672,unconfirmed,confirmed,publication,Zhang et al. 2022
21110773,Lecanora polytropa,Brigham Young University,SRR18643625,PRJNA823672,unconfirmed,confirmed,publication,Zhang et al. 2022
21110772,Lecanora polytropa,Brigham Young University,SRR18643626,PRJNA823672,unconfirmed,confirmed,publication,Zhang et al. 2022
21110771,Lecanora polytropa,Brigham Young University,SRR18643627,PRJNA823672,unconfirmed,confirmed,publication,Zhang et al. 2022
21110770,Lecanora polytropa,Brigham Young University,SRR18643628,PRJNA823672,unconfirmed,confirmed,publication,Zhang et al. 2022
21110769,Lecanora polytropa,Brigham Young University,SRR18643629,PRJNA823672,unconfirmed,confirmed,publication,Zhang et al. 2022
21110768,Lecanora polytropa,Brigham Young University,SRR18643630,PRJNA823672,unconfirmed,confirmed,publication,Zhang et al. 2022
21110767,Lecanora polytropa,Brigham Young University,SRR18643631,PRJNA823672,unconfirmed,confirmed,publication,Zhang et al. 2022
21110766,Lecanora polytropa,Brigham Young University,SRR18643632,PRJNA823672,unconfirmed,confirmed,publication,Zhang et al. 2022
21110765,Lecanora polytropa,Brigham Young University,SRR18643633,PRJNA823672,unconfirmed,confirmed,publication,Zhang et al. 2022
21110764,Lecanora polytropa,Brigham Young University,SRR18643634,PRJNA823672,unconfirmed,confirmed,publication,Zhang et al. 2022
21110763,Lecanora polytropa,Brigham Young University,SRR18643635,PRJNA823672,unconfirmed,confirmed,publication,Zhang et al. 2022
21110762,Lecanora polytropa,Brigham Young University,SRR18643636,PRJNA823672,unconfirmed,confirmed,publication,Zhang et al. 2022
21110761,Lecanora polytropa,Brigham Young University,SRR18643637,PRJNA823672,unconfirmed,confirmed,publication,Zhang et al. 2022
21110760,Lecanora polytropa,Brigham Young University,SRR18643638,PRJNA823672,unconfirmed,confirmed,publication,Zhang et al. 2022
21110759,Lecanora polytropa,Brigham Young University,SRR18643639,PRJNA823672,unconfirmed,confirmed,publication,Zhang et al. 2022
21110758,Lecanora polytropa,Brigham Young University,SRR18643640,PRJNA823672,unconfirmed,confirmed,publication,Zhang et al. 2022
18902857,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438531,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902856,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438530,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902855,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438529,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902854,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438528,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902853,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438527,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902852,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438526,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902851,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438525,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902850,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438524,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902849,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438523,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902848,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438522,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902847,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438521,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902846,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438520,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902845,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438519,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902844,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438518,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902843,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438517,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902842,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438516,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902841,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438504,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902840,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438503,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902839,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438502,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902838,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438501,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902837,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438500,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902836,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438499,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902835,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438498,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902834,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438497,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902833,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438496,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902832,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438495,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902831,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438493,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902830,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438492,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902829,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438491,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902828,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438490,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902827,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438489,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902826,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438488,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902825,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438487,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902824,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438486,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902823,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438484,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902822,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438482,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902821,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438481,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902820,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438480,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902819,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438479,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902818,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438478,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902817,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438477,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902816,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438476,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902815,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438475,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902814,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438474,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902813,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438473,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902812,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438329,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902811,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438328,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902810,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438327,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902809,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438326,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902808,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438325,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902807,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438324,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902806,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438323,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902805,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438322,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902804,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438320,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902803,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438319,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902802,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438317,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902801,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438316,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902800,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438315,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902799,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438314,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902798,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438313,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902797,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438310,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902796,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438309,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902795,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438308,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902794,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438307,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902793,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438306,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902792,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438305,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902791,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438304,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902790,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438303,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902789,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438302,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902788,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438301,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902787,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438300,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902786,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7438299,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
18902785,Rinodina peloleuca,Chinese Academy of Agricultural Sciences,ERR7413336,PRJEB48889,unconfirmed,not lichen,publication,either Xu et al. 2022 or Mitchell et al. 2018
12498911,Psiloparmelia denotata,Field Museum of Natural History,SRR13125498,PRJNA680511,unconfirmed,confirmed,publication,"Pizarro et al. 2018. Note: this sample doesn't come from this study, but the methods are pointed to for extraction"
19187114,Lobaria pulmonaria,"INSTITUTE OF ENVIRONMENTAL BIOTECHNOLOGY, GRAZ UNI",ERR7337937,PRJEB48783,unconfirmed,not metagenome,publication,"Wicaksono et al. 2022. These project ID's are mis-classified, and are for a metatranscriptome project. Metagenomes are in BioProject PRJEB38505"
19187113,Lobaria pulmonaria,"INSTITUTE OF ENVIRONMENTAL BIOTECHNOLOGY, GRAZ UNI",ERR7337936,PRJEB48783,unconfirmed,not metagenome,publication,"Wicaksono et al. 2022. These project ID's are mis-classified, and are for a metatranscriptome project. Metagenomes are in BioProject PRJEB38505"
