"sra_uid","lichen","produced_by","sra_id","bioproject","publication_name"
"9193042","Rhizoplaca haydenii","Brigham Young University","SRR10277316","PRJNA576709","Keuler et al. 2020 - Genome-scale data reveal the role of hybridization in lichen-forming fungi"
"9193041","Rhizoplaca haydenii","Brigham Young University","SRR10277317","PRJNA576709","Keuler et al. 2020 - Genome-scale data reveal the role of hybridization in lichen-forming fungi"
"9193040","Rhizoplaca subdiscrepans","Brigham Young University","SRR10277318","PRJNA576709","Keuler et al. 2020 - Genome-scale data reveal the role of hybridization in lichen-forming fungi"
"9193039","Protoparmeliopsis peltata","Brigham Young University","SRR10277319","PRJNA576709","Keuler et al. 2020 - Genome-scale data reveal the role of hybridization in lichen-forming fungi"
"9193038","Rhizoplaca cf. porteri","Brigham Young University","SRR10277320","PRJNA576709","Keuler et al. 2020 - Genome-scale data reveal the role of hybridization in lichen-forming fungi"
"9193037","Rhizoplaca cf. porteri","Brigham Young University","SRR10277321","PRJNA576709","Keuler et al. 2020 - Genome-scale data reveal the role of hybridization in lichen-forming fungi"
"9193036","Rhizoplaca haydenii","Brigham Young University","SRR10277322","PRJNA576709","Keuler et al. 2020 - Genome-scale data reveal the role of hybridization in lichen-forming fungi"
"9193035","Rhizoplaca shushanii","Brigham Young University","SRR10277323","PRJNA576709","Keuler et al. 2020 - Genome-scale data reveal the role of hybridization in lichen-forming fungi"
"9193034","Rhizoplaca shushanii","Brigham Young University","SRR10277324","PRJNA576709","Keuler et al. 2020 - Genome-scale data reveal the role of hybridization in lichen-forming fungi"
"9193033","Rhizoplaca shushanii","Brigham Young University","SRR10277325","PRJNA576709","Keuler et al. 2020 - Genome-scale data reveal the role of hybridization in lichen-forming fungi"
"9193032","Rhizoplaca shushanii","Brigham Young University","SRR10277326","PRJNA576709","Keuler et al. 2020 - Genome-scale data reveal the role of hybridization in lichen-forming fungi"
"9193031","Rhizoplaca shushanii","Brigham Young University","SRR10277327","PRJNA576709","Keuler et al. 2020 - Genome-scale data reveal the role of hybridization in lichen-forming fungi"
"9193030","Rhizoplaca melanophthalma subsp. cerebriformis","Brigham Young University","SRR10277328","PRJNA576709","Keuler et al. 2020 - Genome-scale data reveal the role of hybridization in lichen-forming fungi"
"9193029","Rhizoplaca arbuscula","Brigham Young University","SRR10277329","PRJNA576709","Keuler et al. 2020 - Genome-scale data reveal the role of hybridization in lichen-forming fungi"
"9193028","Rhizoplaca idahoensis","Brigham Young University","SRR10277330","PRJNA576709","Keuler et al. 2020 - Genome-scale data reveal the role of hybridization in lichen-forming fungi"
"9193027","Rhizoplaca porteri","Brigham Young University","SRR10277331","PRJNA576709","Keuler et al. 2020 - Genome-scale data reveal the role of hybridization in lichen-forming fungi"
"9193026","Rhizoplaca porteri","Brigham Young University","SRR10277332","PRJNA576709","Keuler et al. 2020 - Genome-scale data reveal the role of hybridization in lichen-forming fungi"
"9193025","Rhizoplaca arbuscula","Brigham Young University","SRR10277333","PRJNA576709","Keuler et al. 2020 - Genome-scale data reveal the role of hybridization in lichen-forming fungi"
"9193024","Rhizoplaca porteri","Brigham Young University","SRR10277334","PRJNA576709","Keuler et al. 2020 - Genome-scale data reveal the role of hybridization in lichen-forming fungi"
"9193023","Rhizoplaca porteri","Brigham Young University","SRR10277335","PRJNA576709","Keuler et al. 2020 - Genome-scale data reveal the role of hybridization in lichen-forming fungi"
"9193022","Rhizoplaca porteri","Brigham Young University","SRR10277336","PRJNA576709","Keuler et al. 2020 - Genome-scale data reveal the role of hybridization in lichen-forming fungi"
"9193021","Rhizoplaca polymorpha","Brigham Young University","SRR10277337","PRJNA576709","Keuler et al. 2020 - Genome-scale data reveal the role of hybridization in lichen-forming fungi"
"9193020","Rhizoplaca polymorpha","Brigham Young University","SRR10277338","PRJNA576709","Keuler et al. 2020 - Genome-scale data reveal the role of hybridization in lichen-forming fungi"
"9193019","Rhizoplaca polymorpha","Brigham Young University","SRR10277339","PRJNA576709","Keuler et al. 2020 - Genome-scale data reveal the role of hybridization in lichen-forming fungi"
"9193018","Rhizoplaca polymorpha","Brigham Young University","SRR10277340","PRJNA576709","Keuler et al. 2020 - Genome-scale data reveal the role of hybridization in lichen-forming fungi"
"9193017","Rhizoplaca polymorpha","Brigham Young University","SRR10277341","PRJNA576709","Keuler et al. 2020 - Genome-scale data reveal the role of hybridization in lichen-forming fungi"
"9193016","Rhizoplaca parilis","Brigham Young University","SRR10277342","PRJNA576709","Keuler et al. 2020 - Genome-scale data reveal the role of hybridization in lichen-forming fungi"
"9193015","Rhizoplaca parilis","Brigham Young University","SRR10277343","PRJNA576709","Keuler et al. 2020 - Genome-scale data reveal the role of hybridization in lichen-forming fungi"
"9193014","Rhizoplaca arbuscula","Brigham Young University","SRR10277344","PRJNA576709","Keuler et al. 2020 - Genome-scale data reveal the role of hybridization in lichen-forming fungi"
"9193013","Rhizoplaca parilis","Brigham Young University","SRR10277345","PRJNA576709","Keuler et al. 2020 - Genome-scale data reveal the role of hybridization in lichen-forming fungi"
"9193012","Rhizoplaca parilis","Brigham Young University","SRR10277346","PRJNA576709","Keuler et al. 2020 - Genome-scale data reveal the role of hybridization in lichen-forming fungi"
"9193011","Rhizoplaca occulta","Brigham Young University","SRR10277347","PRJNA576709","Keuler et al. 2020 - Genome-scale data reveal the role of hybridization in lichen-forming fungi"
"9193010","Rhizoplaca occulta","Brigham Young University","SRR10277348","PRJNA576709","Keuler et al. 2020 - Genome-scale data reveal the role of hybridization in lichen-forming fungi"
"9193009","Rhizoplaca novomexicana","Brigham Young University","SRR10277349","PRJNA576709","Keuler et al. 2020 - Genome-scale data reveal the role of hybridization in lichen-forming fungi"
"9193008","Rhizoplaca cf. porteri","Brigham Young University","SRR10277350","PRJNA576709","Keuler et al. 2020 - Genome-scale data reveal the role of hybridization in lichen-forming fungi"
"9193007","Rhizoplaca cf. porteri","Brigham Young University","SRR10277351","PRJNA576709","Keuler et al. 2020 - Genome-scale data reveal the role of hybridization in lichen-forming fungi"
"9193005","Rhizoplaca melanophthalma","Brigham Young University","SRR10277353","PRJNA576709","Keuler et al. 2020 - Genome-scale data reveal the role of hybridization in lichen-forming fungi"
"9193004","Rhizoplaca melanophthalma","Brigham Young University","SRR10277354","PRJNA576709","Keuler et al. 2020 - Genome-scale data reveal the role of hybridization in lichen-forming fungi"
"9193003","Rhizoplaca haydenii","Brigham Young University","SRR10277355","PRJNA576709","Keuler et al. 2020 - Genome-scale data reveal the role of hybridization in lichen-forming fungi"
"9193002","Rhizoplaca melanophthalma","Brigham Young University","SRR10277356","PRJNA576709","Keuler et al. 2020 - Genome-scale data reveal the role of hybridization in lichen-forming fungi"
"9193001","Rhizoplaca melanophthalma","Brigham Young University","SRR10277357","PRJNA576709","Keuler et al. 2020 - Genome-scale data reveal the role of hybridization in lichen-forming fungi"
