Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR14722213,2021-06-03 21:37:07,2021-06-03 21:22:30,8150301,2461390902,8150301,302,948,,https://sra-download.ncbi.nlm.nih.gov/traces/sra32/SRR/014377/SRR14722213,SRX11059303,FEN_100_Pseudosagedia_isidiata_Plate3_A3_R1.fastq.gz,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP322526,PRJNA731936,,731936,SRS9126376,SAMN19302515,simple,2488742,Pseudosagedia isidiata,FEN_100_Pseudosagedia_isidiata_Plate3_A3_R1.fastq.gz,,,,,,,no,,,,,"UNIVERSITY OF COLORADO, BOULDER",SRA1240369,,public,8FD737596E3D0CF9A5F87FB29175967B,35008E6B45C36BF6ABAA82E393014FCC
SRR14722210,2021-06-03 21:37:08,2021-06-03 21:25:59,11692071,3531005442,11692071,302,1403,,https://sra-download.ncbi.nlm.nih.gov/traces/sra78/SRR/014377/SRR14722210,SRX11059306,FEN_103_Caloplaca_camptidia_Plate3_B3_R1.fastq.gz,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP322526,PRJNA731936,,731936,SRS9126379,SAMN19302518,simple,2488735,Caloplaca camptidia,FEN_103_Caloplaca_camptidia_Plate3_B3_R1.fastq.gz,,,,,,,no,,,,,"UNIVERSITY OF COLORADO, BOULDER",SRA1240369,,public,4F8C085A1673E074EB2482CCC2B53EC6,81D4F8CB6A9EAE9A55FCB7EE17251FEE
SRR14722209,2021-06-03 21:37:08,2021-06-03 21:18:26,90099,27209898,90099,302,10,,https://sra-download.ncbi.nlm.nih.gov/traces/sra8/SRR/014377/SRR14722209,SRX11059307,FEN_104_Rinodina_buckii_Plate3_C3_R1.fastq.gz,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP322526,PRJNA731936,,731936,SRS9126380,SAMN19302519,simple,2840259,Rinodina buckii,FEN_104_Rinodina_buckii_Plate3_C3_R1.fastq.gz,,,,,,,no,,,,,"UNIVERSITY OF COLORADO, BOULDER",SRA1240369,,public,2E648602F505E29DE5A6FB43650E6C20,8A40C80A5F10B52CC7D41CCF4D2309D4
SRR14722202,2021-06-03 21:37:08,2021-06-03 21:19:54,3174096,958576992,3174096,302,380,,https://sra-download.ncbi.nlm.nih.gov/traces/sra45/SRR/014377/SRR14722202,SRX11059314,FEN_110_Hypocenomyce_scalaris_Plate3_D3_R1.fastq.gz,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP322526,PRJNA731936,,731936,SRS9126387,SAMN19302525,simple,318760,Hypocenomyce scalaris,FEN_110_Hypocenomyce_scalaris_Plate3_D3_R1.fastq.gz,,,,,,,no,,,,,"UNIVERSITY OF COLORADO, BOULDER",SRA1240369,,public,5B94F79042AC21696322A33F007FAFEE,58F8FECEA90FF4787C9BC8DF85D8E7A6
SRR14722201,2021-06-03 21:37:08,2021-06-03 21:18:13,44405,13410310,44405,302,5,,https://sra-download.ncbi.nlm.nih.gov/traces/sra62/SRR/014377/SRR14722201,SRX11059315,FEN_111_Lecidea_nylanderi_Plate3_E3_R1.fastq.gz,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP322526,PRJNA731936,,731936,SRS9126388,SAMN19302526,simple,1042391,Lecidea nylanderi,FEN_111_Lecidea_nylanderi_Plate3_E3_R1.fastq.gz,,,,,,,no,,,,,"UNIVERSITY OF COLORADO, BOULDER",SRA1240369,,public,9614F426FB5F87EBE8E5E115A46893E3,8C1118651A124716437348C1CC2305AB
SRR14722200,2021-06-03 21:37:08,2021-06-03 21:18:12,42081,12708462,42081,302,4,,https://sra-download.ncbi.nlm.nih.gov/traces/sra15/SRR/014377/SRR14722200,SRX11059316,FEN_112_Arthonia_vinosa_Plate3_F3_R1.fastq.gz,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP322526,PRJNA731936,,731936,SRS9126389,SAMN19302527,simple,2042061,Arthonia vinosa,FEN_112_Arthonia_vinosa_Plate3_F3_R1.fastq.gz,,,,,,,no,,,,,"UNIVERSITY OF COLORADO, BOULDER",SRA1240369,,public,E38580A36E76F55F0C7F45E228AC0E27,7089BF196439003F57BA09F769B576B0
SRR14722195,2021-06-03 21:37:08,2021-06-03 21:18:14,58737,17738574,58737,302,6,,https://sra-download.ncbi.nlm.nih.gov/traces/sra70/SRR/014377/SRR14722195,SRX11059321,FEN_116_Bacidia_schweinitzii_Plate3_G3_R1.fastq.gz,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP322526,PRJNA731936,,731936,SRS9126394,SAMN19302531,simple,161808,Bacidia schweinitzii,FEN_116_Bacidia_schweinitzii_Plate3_G3_R1.fastq.gz,,,,,,,no,,,,,"UNIVERSITY OF COLORADO, BOULDER",SRA1240369,,public,A2D44F023A8A39F25404B6F3BA2765FE,F0095A4AB667ED7E23A0933B5C5D70E6
SRR14722188,2021-06-03 22:10:58,2021-06-03 21:38:35,23759018,7175223436,23759018,302,2838,,https://sra-download.ncbi.nlm.nih.gov/traces/sra17/SRR/014377/SRR14722188,SRX11059328,FEN_136_Xylographa_vitiligo_Plate3_H3_R1.fastq.gz,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP322526,PRJNA731936,,731936,SRS9126401,SAMN19302538,simple,223429,Xylographa vitiligo,FEN_136_Xylographa_vitiligo_Plate3_H3_R1.fastq.gz,,,,,,,no,,,,,"UNIVERSITY OF COLORADO, BOULDER",SRA1240369,,public,DD0C052B4B4435F8A8CC788B3DDE6ECF,44CB83062386E3B97AFFC7F57AFCEF38
SRR14722187,2021-06-03 21:37:08,2021-06-03 21:17:52,3044,919288,3044,302,0,,https://sra-download.ncbi.nlm.nih.gov/traces/sra68/SRR/014377/SRR14722187,SRX11059329,FEN_152_Lepraria_xanthonica_Plate3_A4_R1.fastq.gz,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP322526,PRJNA731936,,731936,SRS9126402,SAMN19302539,simple,2840208,Lepraria xanthonica,FEN_152_Lepraria_xanthonica_Plate3_A4_R1.fastq.gz,,,,,,,no,,,,,"UNIVERSITY OF COLORADO, BOULDER",SRA1240369,,public,E76DD7B1C491E8AC8C011FCE2AFCC495,730619895F850257DDAF39452131AF1A
SRR14722185,2021-06-03 21:37:08,2021-06-03 21:22:46,6540801,1975321902,6540801,302,760,,https://sra-download.ncbi.nlm.nih.gov/traces/sra56/SRR/014377/SRR14722185,SRX11059331,FEN_153_Mycobilimbia_sp_Plate3_B4_R1.fastq.gz,WGS,size fractionation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP322526,PRJNA731936,,731936,SRS9126404,SAMN19302540,simple,2841857,Mycobilimbia sp. Lendemer_46123_NY-2606825,FEN_153_Mycobilimbia_sp_Plate3_B4_R1.fastq.gz,,,,,,,no,,,,,"UNIVERSITY OF COLORADO, BOULDER",SRA1240369,,public,12F19BAF664A1AC353321B5BD6BE5B30,74C244D005B8769108ADEE4EAA92DD11
