FEN	Field_Determination	Current_Determination	Collector	Collection_Number	Herbarium	Herbarium_Barcode	Basidiomycete Hit?									
FEN_234_Absconditella_diluta	Absconditella_diluta	Absconditella delutula	Lendemer	47108	NY	2794555	No									
FEN_457_Acanthothecis_fontana	Acanthothecis_fontana	Acanthothecis fontana	Lendemer	49537	NY	3033982	No									
FEN_275_Acarospora_sp2	Acarospora_sp2	Acarospora	Tripp	6053	NY	2858381	No									
FEN_268_Acarospora_sinopica	Acarospora_sinopica	Acarospora sinopica	Tripp	6064	NY	2794310	No									
FEN_227_Acrocordia_megalospora	Acrocordia_megalospora	Acrocordia megalospora	Lendemer	46905	NY	2794733	No									
FEN_363_Ahtiana_aurescens	Ahtiana_aurescens	Ahtiana aurescens	Lendemer	48631	NY	3032963	No									
FEN_246_Alectoria_fallacina	Alectoria_fallacina	Alectoria fallacina	Lendemer	47194	NY	2795449	No									
FEN_266_Anisomeridium_sp1	Anisomeridium_sp1	Anosomeridium sp.	Tripp	6040	COLO	COLO-L-0051344	No									
FEN_236_Anzia_colpodes	Anzia_colpodes	Anzia colpodes	Lendemer	47020	NY	2794613	No									
FEN_99_Arthonia_anglica	Arthonia_anglica	Arthonia anglica	Lendemer	46007	NY	2606942	No									
FEN_292_Arthonia_cupressina	Arthonia_cupressina	Arthonia cupressina	Tripp	5430	NY	2376365	No									
FEN_92_Arthonia_quintaria	Arthonia_quintaria	Arthonia quintaria	Lendemer	46102	NY	2606846	No									
FEN_82_Arthonia_ruana	Arthonia_ruana	Arthonia ruana	Lendemer	46304	NY	2606644	No									
FEN_408_Arthonia_rubella	Arthonia_rubella	Arthonia rubella	Lendemer	49024	NY	3033164	No									
FEN_118_Arthonia_susa	Arthonia_susa	Arthonia susa	Lendemer	45912	NY	2606577	No									
FEN_112_Arthonia_vinosa	Arthonia_vinosa	Arthonia vinosa	Lendemer	46296	NY	2606652	No									
FEN_44_Arthothelium_spectabile	Arthothelium_spectabile	Arthothelium spectabile	Lendemer	45934	NY	2606555	No									
FEN_406_Aspicilia_laevata	Aspicilia_laevata	Aspicilia laevata	Tripp	6120	NY	2796924	No									
FEN_393_Lecanora_nothocaesiella	Lecanora_nothocaesiella	Bacidia	Lendemer	48883	NY	3033306	No									 
FEN_116_Bacidia_schweinitzii	Bacidia_schweinitzii	Bacidia schweinitzii	Lendemer	45908	NY	2606582	No									
FEN_387_Bacidia_sorediata	Bacidia_sorediata	Bacidia sorediata	Lendemer	48716	NY	3033024	No									
FEN_468_Bagliettoa_baldensis	Bagliettoa_baldensis	Bagliettoa baldensis	Lendemer	49632	NY	3034319	No									
FEN_448_Bathelium_carolinianum	Bathelium_carolinianum	Bathelium carolinianum	Lendemer	49425	NY	3033920	No									
FEN_197_Biatora_appalachensis	Biatora_appalachensis	Biatora appalachensis	Lendemer	46585	NY	2795063	No									
FEN_241_Biatora_chrysantha	Biatora_chrysantha	Biatora chrysantha	Lendemer	47157	NY	2795372	No									
FEN_378_Biatora_longispora	Biatora_longispora	Biatora longispora	Lendemer	48745	NY	3033000	No									
FEN_376_Biatora_pontica	Biatora_pontica	Biatora pontica	Lendemer	48744	NY	3033001	No									
FEN_293_Botryolepraria_lesdainii	Botryolepraria_lesdainii	Botryolepraria lesdainii	Tripp	5570	NY	2376350	No									
FEN_417_Botryolepraria_lesdainii	Botryolepraria_lesdainii	Botryolepraria lesdainii	Tripp	6161	NY	2796963	No									
FEN_244_Micarea_bauschiana	Micarea_bauschiana	Brianaria bauschiana	Lendemer	47183	NY	2795347	No									
FEN_291_Brigantaea_leucoxantha	Brigantaea_leucoxantha	Brigantaea leucoxantha	Tripp	5000	NY	2359950	No									
FEN_69_Bryoria_bicolor	Bryoria_bicolor	Bryoria bicolor	Lendemer	46154	NY	2606794	No									
FEN_107_Bryoria_nadvornikiana	Bryoria_nadvornikiana	Bryoria nadvornikiana	Lendemer	46133	NY	2606815	Yes									
FEN_40_Bryoria_tenuis	Bryoria_tenuis	Bryoria tenuis	Lendemer	46176	NY	2606773	No									
FEN_454_Buellia_mamillana	Buellia_mamillana	Buellia mamillana	Lendemer	49467	NY	3033878	No									
FEN_261_Lecidea_tessellata	Lecidea_tessellata	Buellia spuria	Tripp	6057	NY	2792583	No									
FEN_281_Buellia_spuria	Buellia_spuria	Buellia spuria	Tripp	6062	NY	2831250	No									
FEN_507_Buellia_spuria	Buellia_spuria	Buellia spuria	Lendemer	49954	NY	3034834	No									
FEN_65_Buellia_stillingiana	Buellia_stillingiana	Buellia stillingiana	Lendemer	45923	NY	2606566	No									
FEN_98_Buellia_vernicoma	Buellia_vernicoma	Buellia vernicoma	Lendemer	46024	NY	2606923	No									
FEN_440_Bulbothrix_scortella	Bulbothrix_scortella	Bulbothrix scortella	Lendemer	49179	NY	3033664	No									
FEN_506_Byssoloma_meadii	Byssoloma_meadii	Byssoloma meadii	Lendemer	49950	NY		No									
FEN_222_Byssoloma_subdiscordans	Byssoloma_subdiscordans	Byssoloma subdiscordans	Lendemer	46494-A	NY	2795150	No									
FEN_462_Catillaria_lenticularis	Catillaria_lenticularis	Catillaria lenticularis	Tripp	6389	NY	2796610	No									
FEN_384_Cetrelia_chicitae	Cetrelia_chicitae	Cetrelia chicitae	Lendemer	48677	NY	3033063	No									
FEN_382_Cetrelia_olivetorum	Cetrelia_olivetorum	Cetrelia olivetorum	Lendemer	48757	NY	3033431	No									
FEN_192_Chaenotheca_balsamconensis	Chaenotheca_balsamconensis	Chaenotheca balsamconensis	White	1	NY	3035384	No									
FEN_191_Chaenotheca_furfuracea	Chaenotheca_furfuracea	Chaenotheca furfuracea 	White	2	NY	3035385	No									
FEN_416_Chrysothrix_onokoensis	Chrysothrix_onokoensis	Chrysothrix onokoensis	Tripp	6158	NY	2796961	No									
FEN_273_Chrysothrix_susquehannensis	Chrysothrix_susquehannensis	Chrysothrix susquehannensis	Tripp	6065	NY	2794303	No									
FEN_199_Chrysothrix_xanthina	Chrysothrix_xanthina	Chrysothrix xanthina	Lendemer	46750	NY	2794894	No									
FEN_399_Chrysothrix_xanthina	Chrysothrix_xanthina	Chrysothrix xanthina	Lendemer	49059	NY	3033130	No									
FEN_380_Cladonia_apodocarpa	Cladonia_apodocarpa	Cladonia apodocarpa	Lendemer	48789	NY	3033399	No									
FEN_219_Cladonia_arbuscula	Cladonia _arbuscula	Cladonia arbuscula	Lendemer	46390	NY	2795256	No									
FEN_492_Cladonia_caroliniana	Cladonia_caroliniana	Cladonia caroliniana	Lendemer	49894	NY	3034894	No									
FEN_263_Cladonia_coccifera	Cladonia_coccifera	Cladonia coccifera	Tripp	6067	NY	2792576	No									
FEN_75_Cladonia_coniocraea	Cladonia_coniocraea	Cladonia coniocraea	Lendemer	46039	NY	2606908	No									
FEN_284_Cladonia_didyma	Cladonia_didyma	Cladonia didyma	Tripp	6032	NY	2792580	No									
FEN_470_Cladonia_furcata	Cladonia_furcata	Cladonia furcata	Tripp	6423	NY	2796646	No									
FEN_508_Cladonia_furcata	Cladonia_furcata	Cladonia furcata	Lendemer	49961	NY	3034827	No									
FEN_249_Cladonia_grayi	Cladonia_grayi	Cladonia grayi	Lendemer	46385	NY	2795261	No									
FEN_486_Cladonia_leporina	Cladonia_leporina	Cladonia leporina	Tripp	6543	NY	2796674	No									
FEN_247_Cladonia_macilenta	Cladonia_macilenta_bacillaris	Cladonia macilenta v. bacillaris	Lendemer	46386	NY	2795260	No									
FEN_459_Collema_coccophorum	Collema_coccophorum	Collema coccophorum	Tripp	6375	NY	2808530	No									
FEN_365_Collema_conglomeratum	Collema_conglomeratum	Collema conglomeratum	Lendemer	48626	NY	3032968	No									
FEN_430_Collema_furfuraceum	Collema_furfuraceum	Collema furfuraceum	Tripp	6186	NY	2808617	No									
FEN_77_Collema_subflaccidum	Collema_subflaccidum	Collema subflaccidum	Lendemer	46026	NY	2606921	No									
FEN_47_Arthonia_kermesina	Arthonia_kermesina	Coniarthonia kermesina	Lendemer	46280	NY	2606668	No									
FEN_48_Arthonia_kermesina	Arthonia_kermesina	Coniarthonia kermesina	Lendemer	46286	NY	2606662	No									
FEN_377_Conotrema_urceolatum	Conotrema_urceolatum	Conotrema urceolatum	Lendemer	48723	NY	3033017	No									
FEN_453_Canoparmelia_crozalsiana	Crespoa_crozalsiana	Crespoa crozalsiana	Tripp	6332	NY	2808569	No									
FEN_502_Cresponea_flava	Cresponea_flava	Cresponea flava	Lendemer	49930	NY	3034858	No									
FEN_79_Pseudocyphellaria_aurata	Pseudocyphellaria_aurata	Crocordia aurata	Lendemer	46027	NY	2606920	No									
FEN_256_Cystocoleus_ebeneus	Cystocoleus_ebeneus	Cystocoleus ebeneus	Lendemer	47369	NY	3032736	No									
FEN_509_Cystocoleus_ebeneus	Cystocoleus_ebeneus	Cystocoleus ebeneus	Lendemer	49962	NY	3034826	No									
FEN_371_Dendriscocaulon_intricatulum	Dendriscocaulon_intricatulum	Dendriscocaulon intricatulum	Lendemer	48702	NY	3033038	No									
FEN_444_Dermatocarpon_luridum	Dermatocarpon_luridum	Dermarocarpon luridum	Tripp	6263	NY	2808575	No									
