Run	SampleName	ScientificName	Current_Determination	Basidiomycete.Hit.	processed
SRR13685123	FEN_201_Cladonia_rangiferina	Cladonia rangiferina	Cladonia rangiferina	No	TRUE
SRR13685124	FEN_458_Heterodermia_albicans	Heterodermia albicans	Heterodermia albicans	No	TRUE
SRR13685125	FEN_455_Heterodermia_speciosa2	Heterodermia speciosa	Heterodermia speciosa	No	TRUE
SRR13685126	FEN_445_Cladonia_peziziformis	Cladonia peziziformis	Cladonia peziziformis	No	TRUE
SRR13685127	FEN_435_Usnea_mutabilis	Usnea mutabilis	Usnea mutabilis	No	TRUE
SRR13685128	FEN_428_Parmotrema_ultralucens	Parmotrema ultralucens	Parmotrema ultralucens	No	TRUE
SRR13685129	FEN_420_Cladonia_petrophila	Cladonia petrophila	Cladonia petrophila	No	TRUE
SRR13685130	FEN_402_Pertusaria_plittiana	Pertusaria plittiana	Pertusaria plittiana	No	TRUE
SRR13685132	FEN_400_Lecanora_saxigena	Lecanora subimmergens	Lecanora subimmergens	No	TRUE
SRR13685133	FEN_393_Bacidia_sp.	Bacidia sp.	Bacidia	No	TRUE
SRR13685134	FEN_388_Parmotrema_mellissi	Parmotrema mellissii	Parmotrema mellissii	No	TRUE
SRR13685135	FEN_380_Cladonia_apodocarpa	Cladonia apodocarpa	Cladonia apodocarpa	No	TRUE
SRR13685136	FEN_379_Pertusaria_propinqua	Pertusaria propinqua	Pertusaria propinqua	No	TRUE
SRR13685137	FEN_372_Heterodermia_squamulosa	Heterodermia squamulosa	Heterodermia squamulosa	No	TRUE
SRR13685138	FEN_370_Parmotrema_crinitum	Parmotrema crinitum	Parmotrema crinitum	No	TRUE
SRR13685139	FEN_368_Usnea_subgracilis	Usnea subgracilis	Usnea subgracilis	Yes	TRUE
SRR13685140	FEN_331_Arthonia_susa	Arthonia susa	Lecanora subpallens	No	TRUE
SRR13685141	FEN_3_Parmotrema_diffractaicum	Parmotrema diffractaicum	Parmotrema diffractaicum	No	TRUE
SRR13685142	FEN_117_Opegrapha_vulgata	Opegrapha vulgata	Opegrapha vulgata	Yes	TRUE
SRR13685143	FEN_295_Parmotrema_neotropicum	Parmotrema neotropicum	Parmotrema neotropicum	No	TRUE
SRR13685144	FEN_289_Parmotrema_margaritatum	Parmotrema margaritatum	Parmotrema margaritatum	No	TRUE
SRR13685145	FEN_283_Heterodermia_appalachensis	Heterodermia appalachiensis	Heterodermia appalachensis	No	TRUE
SRR13685146	FEN_278_Cladonia_stipitata	Cladonia stipitata	Cladonia stipitata	No	TRUE
SRR13685147	FEN_252_Usnea_halei	Usnea halei	Usnea halei	No	TRUE
SRR13685148	FEN_251_Usnea_subscabrosa	Usnea subscabrosa	Usnea subscabrosa	No	TRUE
SRR13685149	FEN_233_Mycocalicium_subtile	Mycocalicium subtile	Mycocalicium subtile	No	TRUE
SRR13685150	FEN_232_Pertusaria_ostiolata	Pertusaria ostiolata	Pertusaria ostiolata	No	TRUE
SRR13685151	FEN_231_Leptogium_hirsutum	Leptogium hirsutum	Leptogium hirsutum	No	TRUE
SRR13685152	FEN_230_Heterodermia_speciosa1	Heterodermia speciosa	Heterodermia speciosa	No	TRUE
SRR13685153	FEN_114_Lecanora_cinereofusca	Lecanora cinereofusca	Lecanora cinereofusca	No	TRUE
SRR13685154	FEN_105_Gomphillus_americanus	Gomphillus americanus	Gomphillus americanus	No	TRUE
SRR13685155	FEN_200_Cladonia_uncialis	Cladonia uncialis	Cladonia uncialis	No	TRUE
SRR13685156	FEN_20_Coccocarpia_palmicola	Coccocarpia palmicola	Coccocarpia palmicola	No	TRUE
SRR13685157	FEN_97_Phyllopsora_corallina	Phyllopsora corallina	Phyllopsora corallina	No	TRUE
SRR13685158	FEN_96_Phlyctis_boliviensis	Phlyctis boliviensis	Phlyctis boliviensis	No	TRUE
SRR13685159	FEN_86_Icmadophila_ericetorum	Icmadophila ericetorum	Icmadophila ericetorum	No	TRUE
SRR13685160	FEN_82_Arthonia_ruana	Arthothelium ruanum	Arthonia ruana	No	TRUE
SRR13685161	FEN_74_Heterodermia_casarettiana	Heterodermia casarettiana	Heterodermia langdoniana	No	TRUE
SRR13685162	FEN_68_Usnea_subfusca	Usnea subfusca	Usnea subfusca	No	TRUE
SRR13685163	FEN_66_Menegazzia_subsimilis	Menegazzia subsimilis	Menegazzia subsimilis	No	TRUE
SRR13685164	FEN_64_Usnea_ceratina	Usnea ceratina	Usnea ceratina	No	TRUE
SRR13685165	FEN_63_Usnea_cornuta	Usnea cornuta	Usnea cornuta	Yes	TRUE
SRR13685167	FEN_56_Imshaugia_aleurites	Imshaugia aleurites	Imshaugia aleurites	No	TRUE
SRR13685168	FEN_55_Hypogymnia_vittata	Hypogymnia vittata	Hypogymnia vittata	No	TRUE
SRR13685169	FEN_508_Cladonia_furcata	Cladonia furcata	Cladonia furcata	No	TRUE
SRR13685170	FEN_496_Cladonia_robbinsii	Cladonia robbinsii	Cladonia robbinsii	No	TRUE
SRR13685171	FEN_493_Cladonia_subtenuis	Cladonia subtenuis	Cladonia subtenuis	No	TRUE
SRR13685172	FEN_492_Cladonia_caroliniana	Cladonia caroliniana	Cladonia caroliniana	No	TRUE
SRR13685173	FEN_49_Lepraria_oxybapha	Lepraria oxybapha	Lepraria oxybapha	No	TRUE
SRR13685174	FEN_486_Cladonia_leporina	Cladonia leporina	Cladonia leporina	No	TRUE
SRR13685175	FEN_478_Parmotrema_austrosinense	Parmotrema austrosinense	Parmotrema austrosinense	No	TRUE
SRR13685176	FEN_472_Heterodermia_echinata	Heterodermia echinata	Heterodermia echinata	No	TRUE
SRR13685178	FEN_464_Parmotrema_internexum	Parmotrema internexum	Parmotrema internexum	No	TRUE
SRR13685179	FEN_461_Parmotrema_cetratum	Parmotrema cetratum	Parmotrema cetratum	No	TRUE
SRR13685180	FEN_460_Pertusaria_obruta	Pertusaria obruta	Pertusaria obruta	No	TRUE
SRR14721921	FEN_459_Collema_coccophorum_Plate6_R1.fastq.gz	Enchylium coccophorum	Collema coccophorum	No	FALSE
SRR14721922	FEN_458_Heterodermia_albicans_Plate6_R1.fastq.gz	Heterodermia albicans	Heterodermia albicans	No	FALSE
SRR14721923	FEN_457_Acanthothecis_fontana_Plate6_R1.fastq.gz	Acanthothecis fontana	Acanthothecis fontana	No	FALSE
SRR14721924	FEN_456_Placidium_arboreum_Plate6_R1.fastq.gz	Placidium arboreum	Placidium arboreum	No	FALSE
SRR14721925	FEN_455_Heterodermia_speciosa_Plate6_R1.fastq.gz	Heterodermia speciosa	Heterodermia speciosa	No	FALSE
SRR14721926	FEN_454_Buellia_mamillana_Plate6_R1.fastq.gz	Buellia mamillana	Buellia mamillana	No	FALSE
SRR14721927	FEN_453_Canoparmelia_crozalsiana_Plate6_R1.fastq.gz	Crespoa crozalsiana	Crespoa crozalsiana	No	FALSE
SRR14721928	FEN_452_Leptogium_hirsutum_Plate6_R1.fastq.gz	Leptogium hirsutum	Leptogium hirsutum	No	FALSE
SRR14721929	FEN_65_Buellia_stillingiana_Plate3_H1_R1.fastq.gz	Buellia stillingiana	Buellia stillingiana	No	FALSE
SRR14721930	FEN_451_Leptogium_corticola_Plate6_R1.fastq.gz	Leptogium corticola	Leptogium corticola	No	FALSE
SRR14721931	FEN_450_Phaeophyscia_rubropulchra_Plate6_R1.fastq.gz	Phaeophyscia rubropulchra	Phaeophyscia rubropulchra	No	FALSE
SRR14721932	FEN_449_Thelotrema_subtile_Plate6_R1.fastq.gz	Thelotrema subtile	Thelotrema subtile	No	FALSE
SRR14721933	FEN_448_Bathelium_carolinianum_Plate6_R1.fastq.gz	Bathelium carolinianum	Bathelium carolinianum	No	FALSE
SRR14721934	FEN_447_Tylophoron_americanum_Plate6_R1.fastq.gz	Sporodophoron americanum	Tylophoron americanum	No	FALSE
SRR14721935	FEN_446_Parmotrema_submarginale_Plate6_R1.fastq.gz	Parmotrema submarginale	Parmotrema submarginale	No	FALSE
SRR14721936	FEN_445_Cladonia_peziziformis_Plate6_R1.fastq.gz	Cladonia peziziformis	Cladonia peziziformis	No	FALSE
SRR14721937	FEN_444_Dermatocarpon_luridum_Plate6_R1.fastq.gz	Dermatocarpon luridum	Dermarocarpon luridum	No	FALSE
SRR14721938	FEN_443_Anaptychia_palmulata_Plate6_R1.fastq.gz	Anaptychia palmatula	Anaptychia palmulata	No	FALSE
SRR14721939	FEN_442_Cladonia_polycarpoides_Plate6_R1.fastq.gz	Cladonia polycarpoides	Cladonia polycarpoides	No	FALSE
SRR14721941	FEN_441_Porpidia_subsimplex_Plate6_R1.fastq.gz	Porpidia subsimplex	Porpidia subsimplex	No	FALSE
SRR14721942	FEN_440_Bulbothrix_scortella_Plate6_R1.fastq.gz	Bulbothrix scortella	Bulbothrix scortella	No	FALSE
SRR14721943	FEN_439_Parmotrema_neotropicum_Plate6_R1.fastq.gz	Parmotrema neotropicum	Parmotrema neotropicum	No	FALSE
SRR14721944	FEN_438_Pyrrhospora_varians_Plate6_R1.fastq.gz	Pyrrhospora varians	Pyrrhospora varians	No	FALSE
SRR14721945	FEN_437_Trapelia_placodioides_Plate6_R1.fastq.gz	Trapelia placodioides	Trapelia placodioides	No	FALSE
SRR14721946	FEN_436_Thelotrema_defectum_Plate6_R1.fastq.gz	Thelotrema defectum	Thelotrema defectum	No	FALSE
SRR14721947	FEN_435_Usnea_mutabilis_Plate6_R1.fastq.gz	Usnea mutabilis	Usnea mutabilis	No	FALSE
SRR14721948	FEN_434_Porpidia_albocaerulescens_Plate6_R1.fastq.gz	Porpidia albocaerulescens	Porpidia albocaerulescens	No	FALSE
SRR14721949	FEN_433_Lecanora_orienoides_Plate6_R1.fastq.gz	Buellia spuria	Lecanora oreinoides	No	FALSE
SRR14721950	FEN_432_Pseudosagedia_chlorotica_Plate6_R1.fastq.gz	Myelochroa obsessa	Myelochroa obsessa	No	FALSE
SRR14721952	FEN_9_Cladonia_ochrochlora_Plate1_A2_R1.fastq.gz	Cladonia ochrochlora	Cladonia ochrochlora	No	FALSE
SRR14721953	FEN_431_Pannaria_tavaresii_Plate6_R1.fastq.gz	Pannaria tavaresii	Pannaria tavaresii	No	FALSE
SRR14721954	FEN_430_Collema_furfuraceum_Plate6_R1.fastq.gz	Collema furfuraceum	Collema furfuraceum	No	FALSE
SRR14721955	FEN_429_Halecania_sp_Plate6_R1.fastq.gz	Halecania pepegospora	Helecania pepegospora	No	FALSE
SRR14721956	FEN_428_Parmotrema_ultralucens_Plate6_R1.fastq.gz	Parmotrema ultralucens	Parmotrema ultralucens	No	FALSE
SRR14721957	FEN_427_Ephebe_solida_Plate6_R1.fastq.gz	Ephebe solida	Ephebe solida	No	FALSE
SRR14721958	FEN_426_Dibaeis_absoluta_Plate6_R1.fastq.gz	Dibaeis absoluta	Dibaeis absoluta	No	FALSE
SRR14721959	FEN_425_Ionaspis_lacustris_Plate6_R1.fastq.gz	Ionaspis lacustris	Ionaspis lacustris	No	FALSE
SRR14721960	FEN_424_Phyllopsora_corallina_Plate6_R1.fastq.gz	Phyllopsora corallina	Phyllopsora corallina	No	FALSE
SRR14721961	FEN_423_Dermatocarpon_muhlenbergii_Plate6_R1.fastq.gz	Dermatocarpon muhlenbergii	Dermatocarpon muhlenbergii	No	FALSE
SRR14721962	FEN_422_Ramalina_intermedia_Plate6_R1.fastq.gz	Ramalina petrina	Ramalina petrina	No	FALSE
SRR14721964	FEN_421_Phyllopsora_parvifolia_Plate6_R1.fastq.gz	Phyllopsora parvifolia	Phyllopsora parvifolia	No	FALSE
SRR14721965	FEN_420_Cladonia_petrophila_Plate6_R1.fastq.gz	Cladonia petrophila	Cladonia petrophila	No	FALSE
SRR14721966	FEN_419_Opegrapha_moroziana_Plate6_R1.fastq.gz	Opegrapha moroziana	Opegrapha moroziana	No	FALSE
SRR14721967	FEN_418_Phaeophyscia_adiastola_Plate6_R1.fastq.gz	Phaeophyscia adiastola	Phaeophyscia adiastola	No	FALSE
SRR14721968	FEN_417_Botryolepraria_lesdainii_Plate6_R1.fastq.gz	Botryolepraria lesdainii	Botryolepraria lesdainii	No	FALSE
SRR14721969	FEN_416_Chrysothrix_onokoensis_Plate5_R1.fastq.gz	Chrysothrix onokoensis	Chrysothrix onokoensis	No	FALSE
SRR14721970	FEN_415_Leucodecton_sp_Plate5_R1.fastq.gz	Leucodecton sp. Tripp_6156_NY-2796959	Leucodecton	No	FALSE
SRR14721971	FEN_414_Porina_heterospora_Plate5_R1.fastq.gz	Porina heterospora	Porina heterospora	No	FALSE
SRR14721972	FEN_413_Sticta_caroliniana_Plate5_R1.fastq.gz	Sticta carolinensis	Sticta carolinensis	No	FALSE
SRR14721973	FEN_412_Fissurina_insidiosa_Plate5_R1.fastq.gz	Fissurina insidiosa	Fissurina insidiosa	No	FALSE
SRR14721974	FEN_57_Everniastrum_catawbiense_Plate1_D6_R1.fastq.gz	Hypotrachyna catawbiensis	Hypotrachyna catawbiensis	No	FALSE
SRR14721975	FEN_411_Leptogium_cyanescens_Plate5_R1.fastq.gz	Leptogium cyanescens	Leptogium cyanescens	No	FALSE
SRR14721976	FEN_410_Porina_scabrida_Plate5_R1.fastq.gz	Porina scabrida	Porina scabrida	No	FALSE
SRR14721977	FEN_409_Pseudosagedia_cestrensis_Plate5_R1.fastq.gz	Pseudosagedia cestrensis	Pseudosagedia cestrensis	No	FALSE
SRR14721978	FEN_408_Arthonia_rubella_Plate5_R1.fastq.gz	Arthonia rubella	Arthonia rubella	No	FALSE
SRR14721979	FEN_407_Parmotrema_tinctorum_Plate5_R1.fastq.gz	Parmotrema tinctorum	Parmotrema tinctorum	No	FALSE
SRR14721980	FEN_406_Aspicilia_laevata_Plate5_R1.fastq.gz	Aspicilia laevata	Aspicilia laevata	No	FALSE
SRR14721981	FEN_405_Pyxine_albovirens_Plate5_R1.fastq.gz	Pyxine albovirens	Pyxine albovirens	No	FALSE
SRR14721982	FEN_404_Unknown_Plate5_R1.fastq.gz	fungal sp. Lendemer_49042_NY-3033146	Sterile sorediate crust	No	FALSE
SRR14721983	FEN_403_Gyalecta_farlowii_Plate5_R1.fastq.gz	Gyalecta farlowii	Gyalecta farlowii	No	FALSE
SRR14721984	FEN_402_Pertusaria_plittiana_Plate5_R1.fastq.gz	Pertusaria plittiana	Pertusaria plittiana	No	FALSE
SRR14721985	FEN_56_Imshaugia_aleurites_Plate1_C6_R1.fastq.gz	Imshaugia aleurites	Imshaugia aleurites	No	FALSE
SRR14721986	FEN_401_Dirinaria_frostii_Plate5_R1.fastq.gz	Dirinaria frostii	Dirinaria frostii	No	FALSE
SRR14721987	FEN_400_Lecanora_saxigena_Plate5_R1.fastq.gz	Lecanora subimmergens	Lecanora subimmergens	No	FALSE
SRR14721988	FEN_399_Chrysothrix_xanthina_Plate5_R1.fastq.gz	Chrysothrix xanthina	Chrysothrix xanthina	No	FALSE
SRR14721989	FEN_398_Heterodermia_granulifera_Plate5_R1.fastq.gz	Heterodermia granulifera	Heterodermia granulifera	No	FALSE
SRR14721990	FEN_397_Myelochroa_obsessa_Plate5_R1.fastq.gz	Pyxine sorediata	Pyxine sorediata	No	FALSE
SRR14721991	FEN_396_Rinodina_sp_Plate5_R1.fastq.gz	Rinodina dolichospora	Rinodina dolichospora	No	FALSE
