run_accession	sample_accession	location	isolate	sample_alias	note
ERR4179389	SAMEA6862453	"47.384444, 15.575"		Lichen_metagenome1	
ERR4179390	SAMEA6862454	"47.543056, 14.627222"		Lichen_metagenome2	
ERR4179391	SAMEA6862455	"47.384444, 15.575"		Lichen_metagenome3	
SRR1531517	SAMN02941898	35.08 N 80.9 W	Diba_LD	Dibaeis baeomyces lichen metagenome	
SRR1531569	SAMN02941903	35.98 N 78.39 W	Pecy	Peltula cylindrica	
SRR1531545	SAMN02943512	35.99 N 79.01 W	Leau_TRM1529TRM1530	Leptogium austroamericanum	
SRR1532736	SAMN02943513	36.01 N 78.9 W	Physcia_stellaris_TRM	Physcia stellaris	
SRR2387885	SAMN03339881	41.0461 N 9.4461 E	Sardinia_28052013	Lpus	
SRR2402951	SAMN03339881	41.0461 N 9.4461 E	Sardinia_28052013	Lpus	
SRR5808930	SAMN07327787	59.42553 N 10.60794 E		EP_metagenome	
SRR5808931	SAMN07327788	50.14868 N 8.758133 E		EP_metatranscriptome	
SRR5808932	SAMN07327789	41.141758 N 3.306956 W		PF_metagenome_olivetoric	
SRR5808933	SAMN07327790	50.23378 N 8.459419 E		PF_metatranscriptome_olivetoric	
SRR5808934	SAMN07327791	50.23378 N 8.459419 E		PF_metatranscriptome_physodic	
SRR7232211	SAMN09279528	47.3 N 114.8 W		42_Letharia vulpina	
SRR7232212	SAMN09279527	47.2 N 113.9 W		29_Letharia cf. rugosa	
SRR7232213	SAMN09279530	46.83 N 114.1 W		80_Letharia cf. columbiana	
SRR7232214	SAMN09279529	47.4 N 113.64 W		67_Letharia lupina	
SRR7232215	SAMN09279528	47.3 N 114.8 W		42_Letharia vulpina	
SRR7232216	SAMN09279527	47.2 N 113.9 W		29_Letharia cf. rugosa	
SRR7232217	SAMN09279530	46.83 N 114.1 W		80_Letharia cf. columbiana	
SRR7232218	SAMN09279529	47.4 N 113.64 W		67_Letharia lupina	
SRR11456913	SAMN14483417	58.0 N 111.0 W		JL33	
SRR11456914	SAMN14483416	58.0 N 111.0 W		JL31	
SRR11456915	SAMN14483415	58.0 N 111.0 W		JL23	
SRR11456916	SAMN14483414	59.0 N 15.0 E		NOS	
SRR11456917	SAMN14483413	35.0 N 84.0 W		NMS9	
SRR11456918	SAMN14483412	8.8 N 82.55 W		NMS8	
SRR11456919	SAMN14483411	68.0 N 24.0 E		NMS7	
SRR11456920	SAMN14483410	68.0 N 24.0 E		NMS4	
SRR11456921	SAMN14483418	47.0 N 88.0 W		JL34	
SRR11456922	SAMN14483409	46.0 N 63.0 W		NMS2	
SRR11456923	SAMN14483408	45.0 N 63.0 W		NMS1	
SRR12240173	SAMN15548978	"44.7, -113.4"		Leavitt 18-1005 BRY-C	picked based on the disctription. USA ID Lemhi Co vicinity of Leadore
SRR12240174	SAMN15548977	"37.5, -108.5"		Leavitt 192f BRY-C	picked based on the disctription. USA CO Dolores Co
SRR12240175	SAMN15548976	"38.1, -111.5"		Leavitt 072f BRY-C	picked based on the disctription. USA UT Wayne Co Boulder Mountain
SRR12240176	SAMN15548975	"38.1, -111.5"		Leavitt 038f BRY-C	picked based on the disctription. USA UT Wayne Co Boulder Mountain
SRR12240177	SAMN15548974	"32.6, -113"		J. Leavitt 6698 BRY-C	picked based on the disctription. USA Maricopa Co Crater Range
SRR12240178	SAMN15548973	"32.8, -117.1"		Leavitt 576f BRY-C	picked based on the disctription. USA CA San Diego Co
