Taxa	total_occ
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	379
Bacteria;Unclassified Bacteria;;;	345
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Unclassified Rhizobiales	336
Eukaryota;Fungi;Ascomycota;Pezizomycotina;Unclassified Pezizomycotina	336
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae	335
Bacteria;Proteobacteria;Alphaproteobacteria;Unclassified Alphaproteobacteria;	326
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae	321
Eukaryota;Unclassified Eukaryota;;;	318
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae	300
Eukaryota;Fungi;Ascomycota;Pezizomycotina;Lecanoromycetes	300
Bacteria;Actinobacteria;Actinobacteria;Unclassified Actinobacteria;	258
Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae	258
Bacteria;Proteobacteria;Unclassified Proteobacteria;;	257
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae	255
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae	221
Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Unclassified Solirubrobacterales	213
Bacteria;Acidobacteria;Acidobacteria;Unclassified Acidobacteria;	209
Bacteria;Verrucomicrobia;Spartobacteria;Chthoniobacterales;Chthoniobacteraceae	191
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae	182
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae	174
Eukaryota;Fungi;Unclassified Fungi;;	158
Bacteria;Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae	150
Bacteria;Verrucomicrobia;Spartobacteria;Chthoniobacterales;Unclassified Chthoniobacterales	145
Bacteria;Verrucomicrobia;Unclassified Verrucomicrobia;;	144
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae	138
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	136
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae	129
Bacteria;Proteobacteria;Gammaproteobacteria;Unclassified Gammaproteobacteria;	128
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae	125
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Unclassified Sphingomonadales	124
Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Unclassified Embryophyta	118
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae	116
Bacteria;Acidobacteria;Acidobacteria;Candidatus Solibacter;Unclassified Candidatus Solibacter	112
Eukaryota;Metazoa;Rotifera;Rotifera;Philodinidae	111
Eukaryota;Fungi;Ascomycota;Pezizomycotina;Chaetothyriales	109
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Frankiaceae	105
Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae	100
Bacteria;Armatimonadetes;Armatimonadia;Armatimonadales;Armatimonadaceae	100
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylocystaceae	100
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Unclassified Frankiales	93
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Polyangiaceae	93
Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Unclassified Chlorophyta	93
Bacteria;Bacteroidetes;Unclassified Bacteroidetes;;	89
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Unclassified Rhodospirillales	86
Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae	85
Eukaryota;Rhizaria;Cercozoa;Unclassified Cercozoa;	83
Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae	79
Eukaryota;Fungi;Ascomycota;Pezizomycotina;Sordariomycetes	78
Eukaryota;Metazoa;Unclassified Metazoa;;	78
Bacteria;Actinobacteria;Actinobacteria;Streptomycetales;Streptomycetaceae	77
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae	76
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae	76
Bacteria;Proteobacteria;Deltaproteobacteria;Unclassified Deltaproteobacteria;	74
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Unclassified Myxococcales	72
Bacteria;Proteobacteria;Betaproteobacteria;Unclassified Betaproteobacteria;	71
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae	69
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae	69
Eukaryota;Fungi;Ascomycota;Unclassified Ascomycota;	68
Eukaryota;Metazoa;Arthropoda;Chelicerata;Arachnida	68
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae	67
Bacteria;Actinobacteria;Unclassified Actinobacteria;;	65
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Unclassified Burkholderiales	64
Eukaryota;Fungi;Ascomycota;Pezizomycotina;Capnodiales	64
Bacteria;Firmicutes;Unclassified Firmicutes;;	63
