type	metagenome	Acetobacteraceae	Acidobacteriaceae	Beijerinckiaceae	Sphingomonadaceae	Trebouxiophyceae	Cystobasidiomycetes	Tremellomycetes
assembly	ERR4179389	1	1	1	1	1	0	0
assembly	ERR4179390	1	1	1	1	1	1	1
assembly	ERR4179391	1	1	1	1	1	0	1
assembly	GTX0158	1	1	1	1	1	0	1
assembly	GTX0161	1	1	0	1	1	1	0
assembly	GTX0163	1	1	1	1	1	0	1
assembly	SRR11456913	1	1	1	1	1	1	0
assembly	SRR11456914	1	1	1	1	1	0	0
assembly	SRR11456915	1	1	1	1	0	0	0
assembly	SRR11456917	1	1	1	1	1	0	0
assembly	SRR11456918	1	1	1	1	0	0	0
assembly	SRR11456919	1	1	1	1	0	0	0
assembly	SRR11456921	1	0	1	1	1	0	0
assembly	SRR11456922	0	0	1	1	0	0	0
assembly	SRR11456923	1	1	1	1	0	0	0
assembly	SRR12240174	1	1	1	1	1	0	0
assembly	SRR12240175	1	1	1	1	1	0	0
assembly	SRR12240177	1	1	1	1	1	0	0
assembly	SRR12240178	1	1	1	0	1	0	0
assembly	SRR12240179	1	0	1	1	1	0	0
assembly	SRR12240180	1	0	1	1	1	0	0
assembly	SRR12240181	1	0	0	1	1	0	0
assembly	SRR12240182	1	1	1	1	1	0	0
assembly	SRR12240183	1	1	1	1	1	0	0
assembly	SRR12240184	1	0	1	1	1	0	0
assembly	SRR12240187	1	1	0	1	1	0	0
assembly	SRR12240188	1	1	0	0	1	0	0
assembly	SRR13125477	1	1	1	1	1	1	0
assembly	SRR13125985	1	0	0	0	1	0	0
assembly	SRR13126647	0	0	1	1	1	0	0
assembly	SRR13126796	1	1	1	0	1	0	0
assembly	SRR13126828	1	1	1	0	1	0	0
assembly	SRR13126859	1	1	1	0	1	0	0
assembly	SRR13167197	1	0	1	0	1	0	0
assembly	SRR13685140	1	1	0	1	0	0	1
assembly	SRR13685142	1	1	0	0	1	0	1
assembly	SRR13685153	1	0	0	0	1	0	0
assembly	SRR13685154	0	0	1	1	1	0	0
assembly	SRR13685157	1	0	1	1	1	0	0
assembly	SRR13685158	0	0	0	1	1	0	0
assembly	SRR13685159	1	0	0	0	0	0	0
assembly	SRR13685161	0	1	0	1	1	0	0
assembly	SRR13685162	1	1	0	0	1	0	0
assembly	SRR13685164	1	1	1	0	1	1	0
assembly	SRR13685165	0	1	1	0	1	1	0
assembly	SRR14721922	1	1	1	1	1	0	0
assembly	SRR14721923	1	1	1	1	1	0	0
assembly	SRR14721925	1	1	1	1	1	0	0
assembly	SRR14721926	1	1	1	1	1	0	0
assembly	SRR14721927	1	1	1	1	0	0	0
assembly	SRR14721928	1	0	1	1	0	0	0
assembly	SRR14721929	1	1	1	1	1	0	0
assembly	SRR14721930	1	1	1	1	0	0	0
assembly	SRR14721931	1	1	1	1	0	0	0
assembly	SRR14721932	0	1	1	0	0	0	0
assembly	SRR14721933	0	1	1	1	1	0	0
assembly	SRR14721935	1	1	1	1	1	0	0
assembly	SRR14721936	1	1	1	0	0	0	0
assembly	SRR14721937	1	1	1	1	1	0	0
assembly	SRR14721938	1	1	1	1	0	0	0
assembly	SRR14721939	1	1	1	1	1	0	0
assembly	SRR14721941	1	0	1	0	1	0	0
assembly	SRR14721942	0	1	1	1	1	0	0
assembly	SRR14721943	1	1	1	1	1	0	0
assembly	SRR14721944	1	1	1	0	1	0	0
assembly	SRR14721946	0	0	0	1	0	0	0
assembly	SRR14721947	1	1	1	0	1	0	0
assembly	SRR14721948	1	1	0	0	1	0	0
assembly	SRR14721949	1	1	1	0	1	0	0
assembly	SRR14721950	1	1	1	1	1	0	0
assembly	SRR14721952	1	1	1	0	1	0	0
assembly	SRR14721953	1	0	0	1	0	0	0
assembly	SRR14721954	1	0	1	1	0	0	0
assembly	SRR14721955	1	1	1	1	1	0	0
assembly	SRR14721956	1	1	1	1	1	0	0
assembly	SRR14721957	1	1	1	1	0	0	0
assembly	SRR14721959	1	1	1	1	1	0	0
assembly	SRR14721960	1	0	1	1	1	0	0
assembly	SRR14721961	1	1	1	1	0	0	0
assembly	SRR14721962	1	1	1	0	1	0	0
assembly	SRR14721964	1	0	1	1	1	0	0
assembly	SRR14721965	1	1	1	1	1	0	0
assembly	SRR14721966	1	1	0	0	1	0	0
assembly	SRR14721968	0	0	0	1	1	0	0
assembly	SRR14721970	1	0	1	1	0	0	0
assembly	SRR14721971	1	0	1	1	0	0	0
assembly	SRR14721972	1	0	1	1	0	0	0
assembly	SRR14721973	0	1	0	0	0	0	0
assembly	SRR14721974	1	1	1	1	1	0	0
assembly	SRR14721975	0	0	0	1	0	0	0
assembly	SRR14721977	1	0	0	1	0	0	0
assembly	SRR14721978	1	1	1	1	0	0	0
assembly	SRR14721979	1	1	1	1	1	0	0
assembly	SRR14721980	0	1	1	0	1	0	0
assembly	SRR14721982	1	1	0	0	1	0	0
assembly	SRR14721983	1	0	0	1	0	0	0
assembly	SRR14721984	1	1	0	1	1	0	0
assembly	SRR14721985	1	1	1	1	1	0	0
assembly	SRR14721986	1	1	0	0	1	0	0
assembly	SRR14721987	1	1	1	1	1	0	0
assembly	SRR14721990	1	1	1	1	1	0	0
assembly	SRR14721991	1	1	1	1	1	0	0
assembly	SRR14721992	1	1	1	1	0	0	0
assembly	SRR14721993	1	1	1	0	1	0	0
assembly	SRR14721995	1	1	1	0	1	0	0
assembly	SRR14721996	1	1	1	1	1	0	0
assembly	SRR14721997	1	1	1	0	1	0	0
assembly	SRR14721998	1	1	0	0	1	0	0
assembly	SRR14721999	1	1	1	0	1	0	0
assembly	SRR14722000	1	1	1	1	1	0	0
assembly	SRR14722002	1	1	1	0	1	0	0
assembly	SRR14722003	1	1	1	0	1	1	0
assembly	SRR14722004	1	1	1	0	0	0	0
assembly	SRR14722005	1	1	1	1	1	0	0
assembly	SRR14722006	1	1	1	1	1	0	0
assembly	SRR14722007	1	1	1	0	1	0	0
assembly	SRR14722008	1	1	1	1	0	0	0
assembly	SRR14722009	1	1	0	0	1	0	0
assembly	SRR14722010	1	0	0	0	1	0	0
assembly	SRR14722013	1	1	1	0	1	0	0
assembly	SRR14722014	1	1	1	1	1	0	0
assembly	SRR14722015	1	1	1	1	0	0	0
assembly	SRR14722016	1	1	0	0	1	0	0
assembly	SRR14722017	1	1	1	1	1	0	0
assembly	SRR14722018	0	0	1	1	1	0	0
assembly	SRR14722019	0	1	1	0	1	0	0
assembly	SRR14722020	1	1	1	1	1	0	0
assembly	SRR14722021	1	1	1	1	1	0	1
assembly	SRR14722022	1	1	1	0	1	1	0
assembly	SRR14722023	1	1	1	0	1	1	0
assembly	SRR14722024	1	0	0	1	1	0	1
assembly	SRR14722026	1	1	1	0	1	0	1
assembly	SRR14722028	1	1	1	1	1	0	0
assembly	SRR14722030	1	1	0	0	0	0	0
assembly	SRR14722031	1	1	1	0	1	0	1
assembly	SRR14722033	1	1	1	0	1	0	0
assembly	SRR14722034	0	0	0	1	1	0	0
assembly	SRR14722035	1	1	0	1	0	0	0
assembly	SRR14722036	0	1	1	1	1	0	0
assembly	SRR14722037	1	1	0	0	1	0	0
assembly	SRR14722038	1	1	1	1	1	0	0
assembly	SRR14722039	1	1	1	1	1	0	0
assembly	SRR14722041	1	1	1	1	0	0	0
assembly	SRR14722042	1	1	1	1	1	0	0
assembly	SRR14722043	1	1	1	1	1	0	0
assembly	SRR14722044	1	1	1	1	0	0	0
assembly	SRR14722045	1	1	1	1	0	0	0
assembly	SRR14722046	1	1	1	0	1	0	0
assembly	SRR14722047	1	1	1	1	1	1	0
assembly	SRR14722048	1	1	1	1	1	0	0
assembly	SRR14722049	1	1	1	1	1	0	0
assembly	SRR14722050	1	1	0	0	1	0	0
assembly	SRR14722051	1	1	0	0	1	0	0
assembly	SRR14722054	1	0	0	1	1	0	0
assembly	SRR14722056	1	1	0	0	1	0	0
