Taxa	total_occ
Eukaryota;Fungi;Ascomycota;Pezizomycotina;Unclassified Pezizomycotina	427
Bacteria;Unclassified Bacteria;;;	418
Eukaryota;Unclassified Eukaryota;;;	417
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Unclassified Rhizobiales	416
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	416
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae	414
Eukaryota;Fungi;Ascomycota;Pezizomycotina;Lecanoromycetes	414
Bacteria;Proteobacteria;Alphaproteobacteria;Unclassified Alphaproteobacteria;	412
Eukaryota;Fungi;Unclassified Fungi;;	411
Bacteria;Proteobacteria;Unclassified Proteobacteria;;	409
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae	405
Eukaryota;Fungi;Ascomycota;Pezizomycotina;Chaetothyriales	405
Eukaryota;Fungi;Ascomycota;Pezizomycotina;Capnodiales	400
Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Trebouxiophyceae	399
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae	396
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae	392
Eukaryota;Fungi;Ascomycota;Pezizomycotina;Dothideomycetes	392
Eukaryota;Fungi;Ascomycota;Unclassified Ascomycota;	391
Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae	390
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Unclassified Sphingomonadales	390
Bacteria;Proteobacteria;Gammaproteobacteria;Unclassified Gammaproteobacteria;	386
Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Unclassified Chlorophyta	386
Eukaryota;Fungi;Ascomycota;Pezizomycotina;Sordariomycetes	386
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae	385
Bacteria;Actinobacteria;Actinobacteria;Unclassified Actinobacteria;	376
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Unclassified Rhodospirillales	371
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae	366
Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Unclassified Solirubrobacterales	364
Eukaryota;Fungi;Ascomycota;Pezizomycotina;Leotiomycetes	362
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae	359
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylocystaceae	350
Bacteria;Acidobacteria;Acidobacteria;Unclassified Acidobacteria;	349
Bacteria;Verrucomicrobia;Spartobacteria;Chthoniobacterales;Unclassified Chthoniobacterales	337
