query,reference,similarity,query_study,reference_study
SRR13685124,SRR14721922,1,PRJNA700635,PRJNA731936
SRR13685125,SRR14721925,1,PRJNA700635,PRJNA731936
SRR13685126,SRR14721936,1,PRJNA700635,PRJNA731936
SRR13685127,SRR14721947,1,PRJNA700635,PRJNA731936
SRR13685128,SRR14721956,1,PRJNA700635,PRJNA731936
SRR13685129,SRR14721965,1,PRJNA700635,PRJNA731936
SRR13685130,SRR14721984,1,PRJNA700635,PRJNA731936
SRR13685167,SRR14721985,1,PRJNA700635,PRJNA731936
SRR13685132,SRR14721987,1,PRJNA700635,PRJNA731936
SRR13685133,SRR14721994,1,PRJNA700635,PRJNA731936
SRR13685168,SRR14721996,1,PRJNA700635,PRJNA731936
SRR13685134,SRR14722000,1,PRJNA700635,PRJNA731936
SRR13685135,SRR14722009,1,PRJNA700635,PRJNA731936
SRR13685136,SRR14722010,1,PRJNA700635,PRJNA731936
SRR13685137,SRR14722017,1,PRJNA700635,PRJNA731936
SRR13685173,SRR14722018,1,PRJNA700635,PRJNA731936
SRR13685138,SRR14722020,1,PRJNA700635,PRJNA731936
SRR13685139,SRR14722022,1,PRJNA700635,PRJNA731936
SRR13685143,SRR14722068,1,PRJNA700635,PRJNA731936
SRR13685144,SRR14722075,1,PRJNA700635,PRJNA731936
SRR13685145,SRR14722081,1,PRJNA700635,PRJNA731936
SRR13685146,SRR14722087,1,PRJNA700635,PRJNA731936
SRR13685147,SRR14722115,1,PRJNA700635,PRJNA731936
SRR13685148,SRR14722116,1,PRJNA700635,PRJNA731936
SRR13685149,SRR14722135,1,PRJNA700635,PRJNA731936
SRR13685150,SRR14722136,1,PRJNA700635,PRJNA731936
SRR13685151,SRR14722137,1,PRJNA700635,PRJNA731936
SRR13685152,SRR14722138,1,PRJNA700635,PRJNA731936
SRR13685123,SRR14722170,1,PRJNA700635,PRJNA731936
SRR13685155,SRR14722171,1,PRJNA700635,PRJNA731936
SRR13685141,SRR14722174,1,PRJNA700635,PRJNA731936
SRR13685156,SRR14722230,1,PRJNA700635,PRJNA731936
SRR13685160,SRR14722233,1,PRJNA700635,PRJNA731936
SRR13685169,SRR14722277,1,PRJNA700635,PRJNA731936
SRR13685170,SRR14722290,1,PRJNA700635,PRJNA731936
SRR13685171,SRR14722293,1,PRJNA700635,PRJNA731936
SRR13685172,SRR14722294,1,PRJNA700635,PRJNA731936
SRR13685174,SRR14722301,1,PRJNA700635,PRJNA731936
SRR13685175,SRR14722310,1,PRJNA700635,PRJNA731936
SRR13685176,SRR14722316,1,PRJNA700635,PRJNA731936
SRR13685178,SRR14722325,1,PRJNA700635,PRJNA731936
SRR13685179,SRR14722329,1,PRJNA700635,PRJNA731936
SRR13685180,SRR14722330,1,PRJNA700635,PRJNA731936
