label	n
Acetobacteraceae	341
Acidobacteriaceae	297
Beijerinckiaceae	291
unclassified_Rhizobiales	261
Sphingomonadaceae	230
Isosphaeraceae	212
Caulobacteraceae	208
Bryobacteraceae	173
unclassified_Chthoniobacterales	172
Burkholderiaceae	171
unclassified_Mycobacteriales	168
Chitinophagaceae	158
Solirubrobacteraceae	157
Sphingobacteriaceae	118
Pseudonocardiaceae	107
unclassified_Actinomycetales	81
unclassified_Solirubrobacterales	81
Propionibacteriaceae	77
Nostocaceae	72
Pyrinomonadaceae	69
Xanthobacteraceae	68
Micromonosporaceae	64
unclassified_Burkholderiales	63
Polyangiaceae	60
Gemmataceae	59
Hymenobacteraceae	59
Jatrophihabitantaceae	57
Spirosomaceae	57
Mycobacteriaceae	54
Baltobacteraceae	52
Capsulimonadaceae	50
Gemmatimonadaceae	48
Streptosporangiaceae	46
unclassified_Saccharimonadales	46
70-9	45
Microbacteriaceae	44
UBA10450	42
unclassified_Cytophagales	40
Ktedonobacteraceae	38
unclassified_Acidimicrobiales	37
Fimbriimonadaceae	36
UBA1321	34
Nocardioidaceae	33
Rhizobiaceae	33
unclassified_Acidobacteriales	29
Flavobacteriaceae	25
UBA4665	24
unclassified_Chitinophagales	23
unclassified_Armatimonadales	22
unclassified_Propionibacteriales	21
Steroidobacteraceae	20
unclassified_Cyanobacteriales	20
Chthonomonadaceae	19
Rhodobacteraceae	19
Opitutaceae	18
UBA6265	16
Abditibacteriaceae	15
Ilumatobacteraceae	15
Obscuribacteraceae	15
unclassified_Caulobacterales	15
Nakamurellaceae	14
Dermatophilaceae	13
Myxococcaceae	13
unclassified_Flavobacteriales	13
Rhodanobacteraceae	12
unclassified_Polyangiales	12
Deinococcaceae	11
Parachlamydiaceae	11
Staphylococcaceae	11
unclassified_UBA9983_A	11
unclassified_Vicinamibacterales	11
Geodermatophilaceae	10
Micropepsaceae	10
Pseudomonadaceae	10
RAAP-2	10
Rubrobacteraceae	10
UBA2163	10
Armatimonadaceae	9
Chthoniobacteraceae	9
Frankiaceae	9
Xanthomonadaceae	9
B-17BO	8
Cyclobacteriaceae	8
Devosiaceae	8
Streptomycetaceae	8
Trueperaceae	8
UBA1018	8
unclassified_Chthonomonadales	8
Micrococcaceae	7
UBA2999	7
Reyranellaceae	6
UBA9973	6
unclassified_Bacteroidales	6
unclassified_Gemmatimonadales	6
unclassified_Pedosphaerales	6
unclassified_Sphingomonadales	6
unclassified_UBA1018	6
unclassified_Xanthomonadales	6
2-12-FULL-66-21	5
Kineosporiaceae	5
Bdellovibrionaceae	4
Micavibrionaceae	4
Peptostreptococcaceae	4
Saccharimonadaceae	4
Streptococcaceae	4
unclassified_Chlamydiales	4
unclassified_Deinococcales	4
unclassified_Pirellulales	4
unclassified_Thermomicrobiales	4
unclassified_Verrucomicrobiales	4
Akkermansiaceae	3
Anoxybacillaceae	3
Cellulomonadaceae	3
Chloroflexaceae	3
Crocinitomicaceae	3
Gaiellaceae	3
Hyphomicrobiaceae	3
Leptolyngbyaceae	3
Longimicrobiaceae	3
Methylopilaceae	3
Motilibacteraceae	3
Nevskiaceae	3
UBA11346	3
unclassified_Chloroflexales	3
unclassified_Fimbriimonadales	3
unclassified_Gemmatales	3
unclassified_Methylacidiphilales	3
unclassified_Pseudomonadales	3
unclassified_SBR1031	3
unclassified_UBA5704	3
Verrucomicrobiaceae	3
Azospirillaceae	2
Blattabacteriaceae	2
Chamaesiphonaceae	2
CSP1-4	2
Enterobacteriaceae	2
Ga0077539	2
Ga0077560	2
Geminicoccaceae	2
Hyphomonadaceae	2
Kineococcaceae	2
Koribacteraceae	2
Kribbellaceae	2
Legionellaceae	2
Moraxellaceae	2
PALSA-555	2
Pasteurellaceae	2
Peptoniphilaceae	2
Pirellulaceae	2
Planctomycetaceae	2
Quadrisphaeraceae	2
Rhodocyclaceae	2
Roseiflexaceae	2
Saprospiraceae	2
SXRF01	2
UBA11358	2
UBA5272	2
UBA7541	2
UBA7656	2
UBA8260	2
UBA920	2
unclassified_Babeliales	2
unclassified_Bdellovibrionales	2
Weeksellaceae	2
Zambryskibacteraceae	2
2-01-FULL-59-12	1
2-02-FULL-58-16	1
2013-40CM-41-45	1
40CM-4-68-19	1
54-19	1
Actinomycetaceae	1
Amoebophilaceae	1
Babeliaceae	1
Bacillaceae_D	1
Bacillaceae_M	1
Bacteroidaceae	1
Berkiellaceae	1
Bog-793	1
CAIPTA01	1
Casimicrobiaceae	1
Catenulisporaceae	1
Cellvibrionaceae	1
Chroococcidiopsidaceae	1
Clostridiaceae	1
Cytophagaceae	1
Dormibacteraceae	1
DSM-16500	1
F1-60-MAGs149	1
Fusobacteriaceae	1
Halomonadaceae	1
IMCC26256	1
J036	1
JACDFO01	1
JACDGC01	1
LD1	1
Magnetospirillaceae	1
Methylophilaceae	1
Microcoleaceae	1
Microcystaceae	1
Palsa-948	1
Phormidesmiaceae	1
PHOS-HE28	1
QHBO01	1
QQVD01	1
Rhabdochlamydiaceae	1
Rhodomicrobiaceae	1
SG-bin7	1
SG8-39	1
SM1A02	1
Stellaceae	1
Terrimicrobiaceae	1
UBA11063	1
UBA1568	1
UBA1609	1
UBA2279	1
UBA2466	1
UBA4664	1
UBA5704	1
UBA6821	1
unclassified_CAIPTA01	1
unclassified_Enterobacterales	1
unclassified_Ktedonobacterales	1
unclassified_Lactobacillales	1
unclassified_Nanopelagicales	1
V1-33	1
VBWQ01	1
Veillonellaceae	1
