label	n	percentage
Acetobacteraceae	372	99.2
Beijerinckiaceae	363	96.8
Acidobacteriaceae	355	94.6666666666667
unclassified_Rhizobiales	355	94.6666666666667
Caulobacteraceae	344	91.7333333333333
Sphingomonadaceae	342	91.2
Isosphaeraceae	336	89.6
Burkholderiaceae	314	83.7333333333333
Solirubrobacteraceae	298	79.4666666666667
unclassified_Mycobacteriales	294	78.4
Bryobacteraceae	291	77.6
unclassified_Chthoniobacterales	287	76.5333333333333
Pseudonocardiaceae	254	67.7333333333333
Chitinophagaceae	246	65.6
Mycobacteriaceae	240	64
Sphingobacteriaceae	237	63.2
unclassified_Solirubrobacterales	232	61.8666666666667
Propionibacteriaceae	222	59.2
unclassified_Acidobacteriales	222	59.2
Xanthobacteraceae	214	57.0666666666667
Jatrophihabitantaceae	210	56
UBA10450	206	54.9333333333333
Baltobacteraceae	205	54.6666666666667
unclassified_Actinomycetales	205	54.6666666666667
Capsulimonadaceae	204	54.4
Streptosporangiaceae	203	54.1333333333333
unclassified_Caulobacterales	199	53.0666666666667
unclassified_Burkholderiales	196	52.2666666666667
Micromonosporaceae	194	51.7333333333333
Polyangiaceae	193	51.4666666666667
Microbacteriaceae	186	49.6
unclassified_Acidimicrobiales	176	46.9333333333333
Gemmataceae	175	46.6666666666667
70-9	166	44.2666666666667
Nocardioidaceae	160	42.6666666666667
Nostocaceae	158	42.1333333333333
Fimbriimonadaceae	156	41.6
Hymenobacteraceae	152	40.5333333333333
unclassified_Armatimonadales	142	37.8666666666667
Steroidobacteraceae	140	37.3333333333333
Gemmatimonadaceae	137	36.5333333333333
Spirosomaceae	137	36.5333333333333
unclassified_Cyanobacteriales	130	34.6666666666667
Chthoniobacteraceae	124	33.0666666666667
unclassified_Cytophagales	121	32.2666666666667
Pyrinomonadaceae	120	32
unclassified_Propionibacteriales	120	32
UBA1321	114	30.4
UBA4665	112	29.8666666666667
unclassified_Saccharimonadales	108	28.8
Rhizobiaceae	105	28
Micropepsaceae	99	26.4
Chthonomonadaceae	98	26.1333333333333
unclassified_Chitinophagales	96	25.6
Nakamurellaceae	91	24.2666666666667
UBA1018	90	24
Ktedonobacteraceae	87	23.2
Myxococcaceae	84	22.4
Ilumatobacteraceae	83	22.1333333333333
Devosiaceae	81	21.6
Dermatophilaceae	80	21.3333333333333
unclassified_Vicinamibacterales	78	20.8
Rhodanobacteraceae	77	20.5333333333333
Geodermatophilaceae	73	19.4666666666667
Obscuribacteraceae	73	19.4666666666667
Opitutaceae	71	18.9333333333333
Armatimonadaceae	68	18.1333333333333
unclassified_Chthonomonadales	67	17.8666666666667
Pseudomonadaceae	66	17.6
Flavobacteriaceae	65	17.3333333333333
SXRF01	65	17.3333333333333
UBA6265	64	17.0666666666667
Abditibacteriaceae	62	16.5333333333333
unclassified_Polyangiales	58	15.4666666666667
unclassified_Xanthomonadales	58	15.4666666666667
Rhodobacteraceae	57	15.2
Streptomycetaceae	56	14.9333333333333
2-12-FULL-66-21	55	14.6666666666667
Reyranellaceae	53	14.1333333333333
unclassified_Pirellulales	51	13.6
Enterobacteriaceae	50	13.3333333333333
RAAP-2	50	13.3333333333333
Gaiellaceae	49	13.0666666666667
Parachlamydiaceae	49	13.0666666666667
Staphylococcaceae	49	13.0666666666667
Xanthomonadaceae	49	13.0666666666667
Bdellovibrionaceae	48	12.8
UBA2999	47	12.5333333333333
unclassified_UBA1018	45	12
unclassified_Gemmatimonadales	44	11.7333333333333
Deinococcaceae	43	11.4666666666667
unclassified_UBA9983_A	41	10.9333333333333
DSM-16500	40	10.6666666666667
Kineococcaceae	40	10.6666666666667
unclassified_Pedosphaerales	40	10.6666666666667
Legionellaceae	39	10.4
unclassified_Gemmatales	39	10.4
B-17BO	37	9.86666666666667
Cyclobacteriaceae	37	9.86666666666667
Kineosporiaceae	36	9.6
Micrococcaceae	36	9.6
Stellaceae	36	9.6
Streptococcaceae	36	9.6
UBA7541	36	9.6
unclassified_Chloroflexales	36	9.6
Micavibrionaceae	34	9.06666666666667
Saccharimonadaceae	34	9.06666666666667
UBA2163	34	9.06666666666667
Koribacteraceae	32	8.53333333333333
unclassified_Sphingomonadales	31	8.26666666666667
unclassified_Chlamydiales	30	8
Frankiaceae	29	7.73333333333333
Hyphomicrobiaceae	29	7.73333333333333
Rubrobacteraceae	29	7.73333333333333
unclassified_Bdellovibrionales	29	7.73333333333333
Rickettsiaceae	28	7.46666666666667
Roseiflexaceae	27	7.2
unclassified_Flavobacteriales	27	7.2
Ga0077539	23	6.13333333333333
Methylopilaceae	23	6.13333333333333
Nevskiaceae	23	6.13333333333333
UBA9219	23	6.13333333333333
unclassified_Fimbriimonadales	23	6.13333333333333
UBA2466	22	5.86666666666667
GWC2-71-9	21	5.6
Paenibacillaceae	21	5.6
Planctomycetaceae	21	5.6
unclassified_Myxococcales	21	5.6
unclassified_Rickettsiales	21	5.6
unclassified_Verrucomicrobiales	21	5.6
Geminicoccaceae	20	5.33333333333333
Quadrisphaeraceae	20	5.33333333333333
Rhodomicrobiaceae	20	5.33333333333333
Azospirillaceae	19	5.06666666666667
CAIMNF01	19	5.06666666666667
Cellulomonadaceae	19	5.06666666666667
Kribbellaceae	19	5.06666666666667
Peptoniphilaceae	19	5.06666666666667
unclassified_Deinococcales	19	5.06666666666667
unclassified_Ktedonobacterales	19	5.06666666666667
unclassified_Pseudomonadales	19	5.06666666666667
unclassified_Thermomicrobiales	19	5.06666666666667
Akkermansiaceae	18	4.8
Hyphomonadaceae	18	4.8
unclassified_Methylacidiphilales	18	4.8
Moraxellaceae	17	4.53333333333333
Motilibacteraceae	17	4.53333333333333
Pirellulaceae	17	4.53333333333333
SM1A02	17	4.53333333333333
UBA9973	17	4.53333333333333
Aestuariivirgaceae	16	4.26666666666667
CSP1-4	16	4.26666666666667
Ga0077529	16	4.26666666666667
Labraceae	16	4.26666666666667
unclassified_Babeliales	16	4.26666666666667
Verrucomicrobiaceae	16	4.26666666666667
CAIPTA01	15	4
Cryptosporangiaceae	15	4
Leptolyngbyaceae	15	4
Methylophilaceae	15	4
UBA6821	15	4
2-01-FULL-59-12	14	3.73333333333333
Longimicrobiaceae	14	3.73333333333333
unclassified_UBA5704	14	3.73333333333333
Chitinibacteraceae	13	3.46666666666667
Crocinitomicaceae	13	3.46666666666667
Dormibacteraceae	13	3.46666666666667
Microcoleaceae	13	3.46666666666667
Thermosynechococcaceae	13	3.46666666666667
Trueperaceae	13	3.46666666666667
UBA11346	13	3.46666666666667
IMCC26256	12	3.2
SG8-41	12	3.2
UBA12049	12	3.2
UBA5704	12	3.2
UBA920	12	3.2
unclassified_IMCC26256	12	3.2
WQYP01	12	3.2
2-12-FULL-35-15	11	2.93333333333333
Chloroflexaceae	11	2.93333333333333
JACDGC01	11	2.93333333333333
LD1	11	2.93333333333333
Neisseriaceae	11	2.93333333333333
Pasteurellaceae	11	2.93333333333333
Rhabdochlamydiaceae	11	2.93333333333333
SG8-39	11	2.93333333333333
UBA3002	11	2.93333333333333
unclassified_SBR1031	11	2.93333333333333
Weeksellaceae	11	2.93333333333333
Caedimonadaceae	10	2.66666666666667
Lachnospiraceae	10	2.66666666666667
UBA8260	10	2.66666666666667
unclassified_AKYH767	10	2.66666666666667
CAILIB01	9	2.4
CAJBBX01	9	2.4
Cellvibrionaceae	9	2.4
JACDCH01	9	2.4
Methyloligellaceae	9	2.4
UBA11393	9	2.4
UBA4664	9	2.4
UBA9655	9	2.4
A4b	8	2.13333333333333
Actinomycetaceae	8	2.13333333333333
Bacteroidaceae	8	2.13333333333333
Catenulisporaceae	8	2.13333333333333
Cytophagaceae	8	2.13333333333333
Dongiaceae	8	2.13333333333333
Rhodocyclaceae	8	2.13333333333333
Saprospiraceae	8	2.13333333333333
SZUA-35	8	2.13333333333333
Terrimicrobiaceae	8	2.13333333333333
UBA11358	8	2.13333333333333
UBA7656	8	2.13333333333333
2013-40CM-41-45	7	1.86666666666667
40CM-4-68-19	7	1.86666666666667
Aerococcaceae	7	1.86666666666667
Amorphaceae	7	1.86666666666667
Chroococcidiopsidaceae	7	1.86666666666667
Gemellaceae	7	1.86666666666667
Kaistiaceae	7	1.86666666666667
Rhizobiaceae_A	7	1.86666666666667
SCN-69-37	7	1.86666666666667
SZUA-47	7	1.86666666666667
UBA11073	7	1.86666666666667
UBA1161	7	1.86666666666667
UBA2020	7	1.86666666666667
UKL13-2	7	1.86666666666667
unclassified_Gaiellales	7	1.86666666666667
unclassified_Lactobacillales	7	1.86666666666667
unclassified_Rhodothermales	7	1.86666666666667
V1-33	7	1.86666666666667
Vampirovibrionaceae	7	1.86666666666667
Veillonellaceae	7	1.86666666666667
54-19	6	1.6
AC-14	6	1.6
Amoebophilaceae	6	1.6
Anoxybacillaceae	6	1.6
Dermabacteraceae	6	1.6
Elainellaceae	6	1.6
F1-60-MAGs149	6	1.6
SIRW01	6	1.6
unclassified_Nanopelagicales	6	1.6
unclassified_Staphylococcales	6	1.6
Vicinamibacteraceae	6	1.6
172606-1	5	1.33333333333333
AWTP1-31	5	1.33333333333333
Blattabacteriaceae	5	1.33333333333333
Clostridiaceae	5	1.33333333333333
Halomonadaceae	5	1.33333333333333
JACDFO01	5	1.33333333333333
