metagenome	bacteria_other	mycobiont	fungi_other	photobiont_chloro	algae_other	photobiont_cyano	cephalodia_cyano	mycobiont_missassigned	cypho	tremella	total	Lichen.metagenomes	Source	Produced	Batch	architecture	family	order	class	depth
ERR4179389	20	1	0	0	0	0	0	0	0	0	21	Cladonia furcata	Wicaksono et al 2020	GRAZ UNIVERSITY OF TECHNOLOGY	third	macro	Cladoniaceae	Lecanorales	Lecanoromycetes	10693128900
ERR4179390	44	1	1	4	0	0	0	0	0	0	50	Lobaria pulmonaria	Wicaksono et al 2020	GRAZ UNIVERSITY OF TECHNOLOGY	third	macro	Lobariaceae	Peltigerales	Lecanoromycetes	34830147881
ERR4179391	14	0	0	0	1	2	0	0	0	0	17	Peltigera polydactylon	Wicaksono et al 2020	GRAZ UNIVERSITY OF TECHNOLOGY	third	macro	Peltigeraceae	Peltigerales	Lecanoromycetes	10854216148
GTX0158	15	1	0	0	0	0	0	0	0	0	16	Gomphillus americanus	Tagirdzhanova et al. 2021a	Spribille Lab, University of Alberta	second	crust		Gyalectales	Lecanoromycetes	24881678400
GTX0161	1	1	0	1	0	0	0	0	0	0	3	Alectoria fallacina	Tagirdzhanova et al. 2021a	Spribille Lab, University of Alberta	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	32118972600
GTX0163	23	1	0	1	0	0	0	0	0	0	25	Heterodermia speciosa	Tagirdzhanova et al. 2021a	Spribille Lab, University of Alberta	second	macro	Physciaceae	Caliciales	Lecanoromycetes	19017090000
SRR11456913	36	1	0	0	0	2	0	0	0	0	39	Peltigera malacea	Cornet et al. 2021	Sequenced in University of Iowa, Submitted by University of Liege	second	macro	Peltigeraceae	Peltigerales	Lecanoromycetes	20745690476
SRR11456914	40	1	0	0	0	1	0	0	0	0	42	Peltigera extenuata	Cornet et al. 2021	Sequenced in University of Iowa, Submitted by University of Liege	second	macro	Peltigeraceae	Peltigerales	Lecanoromycetes	35095207098
SRR11456915	19	1	0	1	0	0	1	0	0	0	22	Peltigera aphthosa	Cornet et al. 2021	Sequenced in University of Iowa, Submitted by University of Liege	second	macro	Peltigeraceae	Peltigerales	Lecanoromycetes	15218326096
SRR11456917	5	1	0	0	0	1	0	0	0	0	7	Peltigera phyllidiosa	Cornet et al. 2021	Sequenced in Duke University, Submitted by University of Liege	second	macro	Peltigeraceae	Peltigerales	Lecanoromycetes	12749704932
SRR11456918	9	1	0	0	0	1	0	0	0	0	11	Peltigera dolichorhiza	Cornet et al. 2021	Sequenced in University of Iowa, Submitted by University of Liege	third	macro	Peltigeraceae	Peltigerales	Lecanoromycetes	12580023514
SRR11456919	15	1	0	1	0	0	1	0	0	0	18	Solorina crocea	Cornet et al. 2021	Sequenced in Duke University, Submitted by University of Liege	second	macro	Peltigeraceae	Peltigerales	Lecanoromycetes	15005117036
SRR11456921	26	1	0	0	0	1	0	0	0	0	28	Peltigera evansiana	Cornet et al. 2021	Sequenced in University of Iowa, Submitted by University of Liege	second	macro	Peltigeraceae	Peltigerales	Lecanoromycetes	23249913362
SRR11456922	7	1	0	0	0	3	0	0	0	0	11	Peltigera hydrothyria	Cornet et al. 2021	Sequenced in University of Iowa, Submitted by University of Liege	third	macro	Peltigeraceae	Peltigerales	Lecanoromycetes	17025986880
SRR11456923	8	1	0	0	0	1	0	0	0	0	10	Peltigera hydrothyria	Cornet et al. 2021	Sequenced in University of Iowa, Submitted by University of Liege	third	macro	Peltigeraceae	Peltigerales	Lecanoromycetes	12708455960
SRR12240174	7	1	0	0	0	0	0	0	0	0	8	Xanthoparmelia neocumberlandia	Smith et al. 2020	Brigham Young University	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	1329976068
SRR12240175	1	1	0	0	0	0	0	0	0	0	2	Xanthoparmelia neocumberlandia	Smith et al. 2020	Brigham Young University	third	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	1101309616
SRR12240177	3	1	0	0	0	0	0	0	0	0	4	Xanthoparmelia maricopensis	Smith et al. 2020	Brigham Young University	third	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	1887998081
SRR12240178	0	1	0	0	0	0	0	0	0	0	1	Xanthoparmelia aff plittii¾	Smith et al. 2020	Brigham Young University	third	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	1141955117
SRR12240179	3	1	0	0	0	0	0	0	0	0	4	Xanthoparmelia aff mexicana	Smith et al. 2020	Brigham Young University	third	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	1772170559
SRR12240180	3	1	0	0	0	0	0	0	0	0	4	Xanthoparmelia aff.chlorochroa	Smith et al. 2020	Brigham Young University	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	3598375506
SRR12240181	3	1	0	0	0	0	0	0	0	0	4	Rinodina sp	Smith et al. 2020	Brigham Young University	third	crust	Physciaceae	Caliciales	Lecanoromycetes	1669402964
SRR12240182	6	1	0	0	0	0	0	0	0	0	7	Physciella chloantha	Smith et al. 2020	Brigham Young University	second	macro	Physciaceae	Caliciales	Lecanoromycetes	2790137756
SRR12240183	6	1	0	0	0	0	0	0	0	0	7	Physcia biziana	Smith et al. 2020	Brigham Young University	second	macro	Physciaceae	Caliciales	Lecanoromycetes	2592537340
SRR12240184	6	1	0	0	0	0	0	0	0	0	7	Oxnerella safavidiorum	Smith et al. 2020	Brigham Young University	third	crust	Physciaceae	Caliciales	Lecanoromycetes	1500967204
SRR12240185	0	1	0	0	0	0	0	0	0	0	1	Mobergia calculiformis	Smith et al. 2020	Brigham Young University	second	macro	Physciaceae	Caliciales	Lecanoromycetes	3154402494
SRR12240187	4	1	0	0	0	0	0	0	0	0	5	Xanthoparmelia aff chlorochroa	Smith et al. 2020	Brigham Young University	third	macro	Lecanoraceae	Lecanorales	Lecanoromycetes	1713022087
SRR12240188	2	1	0	0	0	0	0	0	0	0	3	Xanthoparmelia aff chlorochroa	Smith et al. 2020	Brigham Young University	third	macro	Lecanoraceae	Lecanorales	Lecanoromycetes	1795584881
