Lichen.metagenomes	Source	Produced	Run	Batch	architecture	family	order	class	photobiont	bacteria_other	mycobiont	fungi_other	photobiont_chloro	algae_other	photobiont_cyano	cephalodia_cyano	mycobiont_missassigned	cypho	tremella	mycobiont_all	depth
Bachmanniomyces_S44760	Resl et al. 2021	Spribille Lab, University of Alberta	T1894	second	crust		Ostropomycetidae ins. ced.	Lecanoromycetes	?	609.550177721	397.6989411	0	29.894928375	0	0	0	0	0	0	397.6989411	25018821000
Ptychographa_xylographoides	Resl et al. 2021	Spribille Lab, University of Alberta	T1868	second	crust		Baeomycetales	Lecanoromycetes	trebouxioid	129.899397002	31.9809157	0	1.855087081	0	0	0	0	0	0	31.9809157	3312900600
Puttea_exsequens	Resl et al. 2021	Spribille Lab, University of Alberta	T1888	second	crust		Lecanorales	Lecanoromycetes	trebouxioid	767.70027072	461.025237	8.698470188	3.062976861	0	0	0	0	0	0	461.025237	27582553500
Toensbergia_leucococca	Resl et al. 2021	Spribille Lab, University of Alberta	T1904	second	crust		Rhizocarpales	Lecanoromycetes	trebouxioid	587.368307241	469.3947053	7.538824905	45.291563678	0	0	0	0	0	0	469.3947053	28165630200
Xylographa_vitiligo	Resl et al. 2021	Spribille Lab, University of Alberta	T1867	second	crust		Baeomycetales	Lecanoromycetes	trebouxioid	40.038349872	31.90867185	0	45.73839453	0	0	0	0	0	0	31.90867185	4840140300
Gomphillus americanus	Tagirdzhanova et al. 2021a	Spribille Lab, University of Alberta	GTX0158	second	crust		Gyalectales	Lecanoromycetes	trebouxioid	503.849856202	478.4846251	0	0	0	0	0	0	0	0	478.4846251	24881678400
Heterodermia speciosa	Tagirdzhanova et al. 2021a	Spribille Lab, University of Alberta	GTX0163	second	macro	Physciaceae	Caliciales	Lecanoromycetes	trebouxioid	224.912792423	193.9601668	0	11.76513098	0	0	0	0	0	0	193.9601668	19017090000
Imshaugia aleurites	Tagirdzhanova et al. 2021a	Spribille Lab, University of Alberta	TS1974	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	trebouxioid	631.17058596	100.7753032	0	27.83154052	0	0	0	0	0	0	100.7753032	11716287600
Xanthoparmelia neocumberlandia	Smith et al. 2020	Brigham Young University	SRR12240174	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	trebouxioid	32.387464634	8.793474167	0	0	0	0	0	0	0	0	8.793474167	1329976068
Physciella chloantha	Smith et al. 2020	Brigham Young University	SRR12240182	second	macro	Physciaceae	Caliciales	Lecanoromycetes	trebouxioid	52.015257901	23.44060135	0	0	0	0	0	0	0	0	23.44060135	2790137756
Peltigera malacea	Cornet et al. 2021	Sequenced in University of Iowa, Submitted by University of Liege	SRR11456913	second	macro	Peltigeraceae	Peltigerales	Lecanoromycetes	cyano	480.202930407	81.86762256	0	0	0	246.62653325	0	0	0	0	81.86762256	20745690476
Peltigera extenuata	Cornet et al. 2021	Sequenced in University of Iowa, Submitted by University of Liege	SRR11456914	second	macro	Peltigeraceae	Peltigerales	Lecanoromycetes	cyano	528.930707055	377.1830326	0	0	0	331.0344162	0	0	0	0	377.1830326	35095207098
Peltigera aphthosa	Cornet et al. 2021	Sequenced in University of Iowa, Submitted by University of Liege	SRR11456915	second	macro	Peltigeraceae	Peltigerales	Lecanoromycetes	trebouxioid_cyano	183.012995251	106.4503179	0	17.99545173	0	0	93.92711852	0	0	0	106.4503179	15218326096
Solorina crocea	Cornet et al. 2021	Sequenced in Duke University, Submitted by University of Liege	SRR11456919	second	macro	Peltigeraceae	Peltigerales	Lecanoromycetes	trebouxioid_cyano	137.851155052	54.09128917	0	61.45261996	0	0	44.53185208	0	0	0	54.09128917	15005117036
Peltigera evansiana	Cornet et al. 2021	Sequenced in University of Iowa, Submitted by University of Liege	SRR11456921	second	macro	Peltigeraceae	Peltigerales	Lecanoromycetes	trebouxioid_cyano	494.86641196	154.5886994	0	0	0	330.3449348	0	0	0	0	154.5886994	23249913362
Evernia prunastri	Meiser et al. 2017	Senckenberg Biodiversity and Climate Research Centre	SRR5808930	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	trebouxioid	105.05929985	88.37833099	0	3.067365292	0	0	0	0	0	0	88.37833099	10528646549
Usnea cornuta	Lendemer et al. 2019	University of Colorado, Boulder	SRR13685165	first	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	trebouxioid	13.927683058	8.210993444	0	0	0	0	0	0	0	0	8.210993444	728229512
Cladonia polycarpoides	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721939	second	macro	Cladoniaceae	Lecanorales	Lecanoromycetes	trebouxioid	7.104299151	6.589786368	0	0	0	0	0	0	0	0	6.589786368	991726022
Porpidia subsimplex	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721941	second	crust		Lecideales	Lecanoromycetes	trebouxioid	29.596247997	17.86360209	0	0	0	0	0	0	0	0	17.86360209	1286751030
Pyrrhospora varians	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721944	second	crust	Lecanoraceae	Lecanorales	Lecanoromycetes	trebouxioid	22.946461891	8.766455908	0	0	0	0	0	0	0	0	8.766455908	1492914048
Collema furfuraceum	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721954	second	macro		Peltigerales	Lecanoromycetes	cyano	17.3568435	6.066597642	0	0	0	31.077628	0	0	0	0	6.066597642	2031774158
Halecania pepegospora	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721955	second	crust		Leprocaulales	Lecanoromycetes	trebouxioid	10.142599471	8.42961414	7.315005254	0	0	0	0	0	0	0	8.42961414	1448166708
