Lichen.metagenomes	Source	Produced	Run	Batch	architecture	family	order	class	bacteria_other	mycobiont	fungi_other	photobiont_chloro	algae_other	photobiont_cyano	cephalodia_cyano	mycobiont_missassigned	cypho	tremella	mycobiont_all	depth
Acarospora_spec	Resl et al. 2021	Spribille Lab, University of Alberta	T1882	second	crust		Acarosporales	Lecanoromycetes	0	373.7090139	0	11.10729421	0	0	0	0	0	0	373.7090139	16086931500
Hypocenomyce_scalaris	Resl et al. 2021	Spribille Lab, University of Alberta	T1881	second	crust		Umbilicariales	Lecanoromycetes	0	438.5081097	0	53.349952857	0	0	0	0	0	0	438.5081097	21838551300
Bachmanniomyces_S44760	Resl et al. 2021	Spribille Lab, University of Alberta	T1894	second	crust		Ostropomycetidae ins. ced.	Lecanoromycetes	609.550177721	397.6989411	0	29.894928375	0	0	0	0	0	0	397.6989411	25018821000
Lignoscripta_atroalba	Resl et al. 2021	Spribille Lab, University of Alberta	T1887	second	crust		Baeomycetales	Lecanoromycetes	477.456427862	634.5182909	0	0	0	0	0	0	0	0	634.5182909	26592286200
Loxospora_cismonica	Resl et al. 2021	Spribille Lab, University of Alberta	X13	second	crust		Sarrameanales	Lecanoromycetes	0	475.5638505	0	0	0	0	0	0	0	0	475.5638505	13332657500
Mycoblastus_sanguinarius	Resl et al. 2021	Spribille Lab, University of Alberta	T1914	second	crust	Tephromelataceae	Lecanorales	Lecanoromycetes	83.393665156	265.1281541	8.998266111	20.01470432	0	0	0	0	0	0	265.1281541	18930750600
Ptychographa_xylographoides	Resl et al. 2021	Spribille Lab, University of Alberta	T1868	second	crust		Baeomycetales	Lecanoromycetes	129.899397002	31.9809157	0	1.855087081	0	0	0	0	0	0	31.9809157	3312900600
Puttea_exsequens	Resl et al. 2021	Spribille Lab, University of Alberta	T1888	second	crust		Lecanorales	Lecanoromycetes	767.70027072	461.025237	8.698470188	3.062976861	0	0	0	0	0	0	461.025237	27582553500
Schaereria_dolodes	Resl et al. 2021	Spribille Lab, University of Alberta	X15	second	crust		Schaereriales	Lecanoromycetes	32.986997259	339.4158112	0	0	0	0	0	0	0	0	339.4158112	11546747000
Thelotrema_lepadinum	Resl et al. 2021	Spribille Lab, University of Alberta	T1916	second	crust		Gyalectales	Lecanoromycetes	277.599092733	345.5421265	0	1.196660411	0	0	0	0	0	0	345.5421265	22997863800
Toensbergia_leucococca	Resl et al. 2021	Spribille Lab, University of Alberta	T1904	second	crust		Rhizocarpales	Lecanoromycetes	587.368307241	469.3947053	7.538824905	45.291563678	0	0	0	0	0	0	469.3947053	28165630200
Varicellaria_rhodocarpa	Resl et al. 2021	Spribille Lab, University of Alberta	T1912	second	crust		Pertusariales	Lecanoromycetes	0	244.5866875	0	7.875486712	0	0	0	0	0	0	244.5866875	18875462100
Xylographa_carneopallida	Resl et al. 2021	Spribille Lab, University of Alberta	T1889	second	crust		Baeomycetales	Lecanoromycetes	317.674441405	567.3664697	0	23.20027397	0	0	0	0	0	0	567.3664697	24626097300
Xylographa_vitiligo	Resl et al. 2021	Spribille Lab, University of Alberta	T1867	second	crust		Baeomycetales	Lecanoromycetes	40.038349872	31.90867185	0	45.73839453	0	0	0	0	0	0	31.90867185	4840140300
Gomphillus americanus	Tagirdzhanova et al. 2021a	Spribille Lab, University of Alberta	GTX0158	second	crust		Gyalectales	Lecanoromycetes	503.849856202	478.4846251	0	0	0	0	0	0	0	0	478.4846251	24881678400
Alectoria fallacina	Tagirdzhanova et al. 2021a	Spribille Lab, University of Alberta	GTX0161	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	58.38352607	309.2222305	0	61.69219399	0	0	0	0	0	0	309.2222305	32118972600
Heterodermia speciosa	Tagirdzhanova et al. 2021a	Spribille Lab, University of Alberta	GTX0163	second	macro	Physciaceae	Caliciales	Lecanoromycetes	224.912792423	193.9601668	0	11.76513098	0	0	0	0	0	0	193.9601668	19017090000
Imshaugia aleurites	Tagirdzhanova et al. 2021a	Spribille Lab, University of Alberta	TS1974	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	631.17058596	100.7753032	0	27.83154052	0	0	0	0	0	0	100.7753032	11716287600
Xanthoparmelia neocumberlandia	Smith et al. 2020	Brigham Young University	SRR12240174	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	32.387464634	8.793474167	0	0	0	0	0	0	0	0	8.793474167	1329976068
Xanthoparmelia aff.chlorochroa	Smith et al. 2020	Brigham Young University	SRR12240180	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	15.017812466	43.60362959	0	0	0	0	0	0	0	0	43.60362959	3598375506
Physciella chloantha	Smith et al. 2020	Brigham Young University	SRR12240182	second	macro	Physciaceae	Caliciales	Lecanoromycetes	52.015257901	23.44060135	0	0	0	0	0	0	0	0	23.44060135	2790137756
Mobergia calculiformis	Smith et al. 2020	Brigham Young University	SRR12240185	second	macro	Physciaceae	Caliciales	Lecanoromycetes	0	56.74945205	0	0	0	0	0	0	0	0	56.74945205	3154402494
Physcia biziana	Smith et al. 2020	Brigham Young University	SRR12240183	second	macro	Physciaceae	Caliciales	Lecanoromycetes	34.36880911	39.18639866	0	0	0	0	0	0	0	0	39.18639866	2592537340
Peltigera malacea	Cornet et al. 2021	Sequenced in University of Iowa, Submitted by University of Liege	SRR11456913	second	macro	Peltigeraceae	Peltigerales	Lecanoromycetes	480.202930407	81.86762256	0	0	0	246.62653325	0	0	0	0	81.86762256	20745690476
Peltigera extenuata	Cornet et al. 2021	Sequenced in University of Iowa, Submitted by University of Liege	SRR11456914	second	macro	Peltigeraceae	Peltigerales	Lecanoromycetes	528.930707055	377.1830326	0	0	0	331.0344162	0	0	0	0	377.1830326	35095207098
Peltigera aphthosa	Cornet et al. 2021	Sequenced in University of Iowa, Submitted by University of Liege	SRR11456915	second	macro	Peltigeraceae	Peltigerales	Lecanoromycetes	183.012995251	106.4503179	0	17.99545173	0	0	93.92711852	0	0	0	106.4503179	15218326096
Peltigera phyllidiosa	Cornet et al. 2021	Sequenced in Duke University, Submitted by University of Liege	SRR11456917	second	macro	Peltigeraceae	Peltigerales	Lecanoromycetes	21.884355559	57.56240792	0	0	0	230.8690603	0	0	0	0	57.56240792	12749704932
Solorina crocea	Cornet et al. 2021	Sequenced in Duke University, Submitted by University of Liege	SRR11456919	second	macro	Peltigeraceae	Peltigerales	Lecanoromycetes	137.851155052	54.09128917	0	61.45261996	0	0	44.53185208	0	0	0	54.09128917	15005117036
Peltigera evansiana	Cornet et al. 2021	Sequenced in University of Iowa, Submitted by University of Liege	SRR11456921	second	macro	Peltigeraceae	Peltigerales	Lecanoromycetes	494.86641196	154.5886994	0	0	0	330.3449348	0	0	0	0	154.5886994	23249913362
Letharia lupina	Tuovinen et al. 2019	Uppsala University	SRR7232214	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	0	261.2568414	0	9.041693909	0	0	0	0	1.49882401	6.906584787	261.2568414	12080153888
Letharia columbiana	Tuovinen et al. 2019	Uppsala University	SRR7232213	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	2.175737017	247.4597533	0	8.937094383	0	0	0	0	1.028807614	0	247.4597533	12478175288
Letharia rugosa	Tuovinen et al. 2019	Uppsala University	SRR7232212	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	0.833652648	232.6518826	0	7.905548901	0	0	0	0	9.01591423	5.834717338	232.6518826	11983139856
Letharia vulpina	Tuovinen et al. 2019	Uppsala University	SRR7232211	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	8.775349515	272.001811	0	9.910764302	0	0	0	0	1.071627372	1.555710049	272.001811	11915952768
Evernia prunastri	Meiser et al. 2017	Senckenberg Biodiversity and Climate Research Centre	SRR5808930	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	105.05929985	88.37833099	0	3.067365292	0	0	0	0	0	0	88.37833099	10528646549
Pseudevernia furfuracea	Meiser et al. 2017	Senckenberg Biodiversity and Climate Research Centre	SRR5808932	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	6.07780477	102.2372158	0	7.562090907	0	0	0	0	0	0	102.2372158	9873816669
Arthonia susa	Lendemer et al. 2019	University of Colorado, Boulder	SRR13685140	first	crust		Arthoniales	Arthoniomycetes	0	32.99173917	0	0	0	0	0	0	0	0	32.99173917	1409896362
Opegrapha vulgata	Lendemer et al. 2019	University of Colorado, Boulder	SRR13685142	first	crust		Arthoniales	Arthoniomycetes	2.693409138	0	0	0	0	0	0	0	0	0	0	433080986
Lecanora cinereofusca	Lendemer et al. 2019	University of Colorado, Boulder	SRR13685153	first	crust	Lecanoraceae	Lecanorales	Lecanoromycetes	2.046688676	0	0	0	0	0	0	0	0	0	0	700670804
Gomphillus americanus	Lendemer et al. 2019	University of Colorado, Boulder	SRR13685154	first	crust		Gyalectales	Lecanoromycetes	0	13.0594473	0	0	0	0	0	0	0	0	13.0594473	585379284
Phyllopsora corallina	Lendemer et al. 2019	University of Colorado, Boulder	SRR13685157	first	crust	Ramalinaceae	Lecanorales	Lecanoromycetes	0	4.055682723	0	0	0	0	0	0	0	0	4.055682723	595991866
Phlyctis boliviensis	Lendemer et al. 2019	University of Colorado, Boulder	SRR13685158	first	crust		Gyalectales	Lecanoromycetes	0	9.766070727	0	0	0	0	0	0	0	0	9.766070727	722120656
Icmadophila ericetorum	Lendemer et al. 2019	University of Colorado, Boulder	SRR13685159	first	crust		Pertusariales	Lecanoromycetes	0	0	0	5.585584681	0	0	0	0	0	0	0	567138182
Heterodermia casarettiana	Lendemer et al. 2019	University of Colorado, Boulder	SRR13685161	first	macro	Physciaceae	Caliciales	Lecanoromycetes	0	6.813010838	0	0	0	0	0	0	0	0	6.813010838	628949730
Usnea subfusca	Lendemer et al. 2019	University of Colorado, Boulder	SRR13685162	first	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	1.90384164	6.610062552	0	0	0	0	0	0	0	0	6.610062552	579616520
Menegazzia subsimilis	Lendemer et al. 2019	University of Colorado, Boulder	SRR13685163	first	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	0	0	0	0	0	0	0	0	0	0	0	497008648
Usnea ceratina	Lendemer et al. 2019	University of Colorado, Boulder	SRR13685164	first	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	2.338005973	12.36074091	0	0	0	0	0	0	0	0	12.36074091	798545984
Usnea cornuta	Lendemer et al. 2019	University of Colorado, Boulder	SRR13685165	first	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	13.927683058	8.210993444	0	0	0	0	0	0	0	0	8.210993444	728229512
Enchylium coccophorum	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721921	second	macro		Peltigerales	Lecanoromycetes	0	0	0	0	0	0	0	0	0	0	0	1570243564
Heterodermia albicans	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721922	second	macro	Physciaceae	Caliciales	Lecanoromycetes	0	13.33408795	0	0	0	0	0	0	0	0	13.33408795	1722459416
Acanthothecis fontana	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721923	second	crust	Graphidaceae Dumort.	Gyalectales	Lecanoromycetes	0	17.30489111	0	0	0	0	0	0	0	0	17.30489111	1351992392
Placidium arboreum	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721924	second	crust		Verrucariales	Eurotiomycetes	0	0	0	0	0	0	0	0	0	0	0	1459312320
Heterodermia speciosa	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721925	second	macro	Physciaceae	Caliciales	Lecanoromycetes	2.754346618	16.15563539	0	0	0	0	0	0	0	0	16.15563539	1626183024
Buellia mamillana	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721926	second	crust		Caliciales	Lecanoromycetes	0	30.18136169	0	0	0	0	0	0	0	0	30.18136169	1588561676
Crespoa crozalsiana	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721927	second	crust	Parmeliaceae	Lecanorales	Lecanoromycetes	0	16.70264549	0	0	0	0	0	0	0	0	16.70264549	1605062352
Leptogium hirsutum	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721928	second	macro		Peltigerales	Lecanoromycetes	0	0	0	0	0	8.359593288	0	0	0	0	0	1373385468
Buellia stillingiana	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721929	second	crust		Caliciales	Lecanoromycetes	19.386667828	47.94034245	5.703824251	0	0	0	0	0	0	0	47.94034245	4463683518
