bac_genus2	occ_total	bac_family	bac_order	bac_phylum
Lichenihabitans	139	Beijerinckiaceae	Rhizobiales	Proteobacteria
CAHJXG01	103	Acetobacteraceae	Acetobacterales	Proteobacteria
Acetobacteraceae gen. sp.	79	Acetobacteraceae	Acetobacterales	Proteobacteria
LMUY01	79	Acetobacteraceae	Acetobacterales	Proteobacteria
EB88	59	Acidobacteriaceae	Acidobacteriales	Acidobacteriota
RH-AL1	59	Beijerinckiaceae	Rhizobiales	Proteobacteria
CAIMSN01	56	Acetobacteraceae	Acetobacterales	Proteobacteria
CAHJWO01	54	UBA10450	Chthoniobacterales	Verrucomicrobiota
Terriglobus	45	Acidobacteriaceae	Acidobacteriales	Acidobacteriota
Nostoc	43	Nostocaceae	Cyanobacteriales	Cyanobacteria
Sphingomonas	43	Sphingomonadaceae	Sphingomonadales	Proteobacteria
CAHJWL01	40	Acidobacteriaceae	Acidobacteriales	Acidobacteriota
VCDI01	40	Acetobacteraceae	Acetobacterales	Proteobacteria
Tous-C9LFEB	37	Acidobacteriaceae	Acidobacteriales	Acidobacteriota
BOG-908	35	Acetobacteraceae	Acetobacterales	Proteobacteria
Granulicella_C	33	Acidobacteriaceae	Acidobacteriales	Acidobacteriota
Bryobacteraceae gen. sp.	32	Bryobacteraceae	Bryobacterales	Acidobacteriota
Methylobacterium	25	Beijerinckiaceae	Rhizobiales	Proteobacteria
Capsulimonadaceae gen. sp.	24	Capsulimonadaceae	Armatimonadales	Armatimonadota
CAHJWH01	23	Caulobacteraceae	Caulobacterales	Proteobacteria
DTNP01	22	Ktedonobacteraceae	Ktedonobacterales	Chloroflexota
Bog-532	17	Streptosporangiaceae	Streptosporangiales	Actinobacteriota
Sphingomonas_N	17	Sphingomonadaceae	Sphingomonadales	Proteobacteria
Ktedonobacteraceae gen. sp.	15	Ktedonobacteraceae	Ktedonobacterales	Chloroflexota
Enterovirga	13	Beijerinckiaceae	Rhizobiales	Proteobacteria
PMMR1	13	Caulobacteraceae	Caulobacterales	Proteobacteria
UBA10450 gen. sp.	12	UBA10450	Chthoniobacterales	Verrucomicrobiota
Bryocella	11	Acidobacteriaceae	Acidobacteriales	Acidobacteriota
HMF7410	11	Sphingobacteriaceae	Sphingobacteriales	Bacteroidota
CAHJWT01	10	Sphingomonadaceae	Sphingomonadales	Proteobacteria
Caulobacteraceae gen. sp.	10	Caulobacteraceae	Caulobacterales	Proteobacteria
Hymenobacter	10	Hymenobacteraceae	Cytophagales	Bacteroidota
Amnibacterium	9	Microbacteriaceae	Actinomycetales	Actinobacteriota
CAHJXF01	9	Burkholderiaceae	Burkholderiales	Proteobacteria
Jatrophihabitans	8	Jatrophihabitantaceae	Mycobacteriales	Actinobacteriota
Sphingomonadaceae gen. sp.	8	Sphingomonadaceae	Sphingomonadales	Proteobacteria
Cutibacterium	7	Propionibacteriaceae	Propionibacteriales	Actinobacteriota
Dictyobacter	7	Ktedonobacteraceae	Ktedonobacterales	Chloroflexota
Rhizobacter	7	Burkholderiaceae	Burkholderiales	Proteobacteria
Sphingomonas_I	7	Sphingomonadaceae	Sphingomonadales	Proteobacteria
Spirosoma	7	Spirosomaceae	Cytophagales	Bacteroidota
Friedmanniella	6	Propionibacteriaceae	Propionibacteriales	Actinobacteriota
GCA-002050365	6	Pyrinomonadaceae	Pyrinomonadales	Acidobacteriota
Jatrophihabitantaceae gen. sp.	6	Jatrophihabitantaceae	Mycobacteriales	Actinobacteriota
Kineosporia	6	Kineosporiaceae	Actinomycetales	Actinobacteriota
Nakamurella	6	Nakamurellaceae	Mycobacteriales	Actinobacteriota
Pseudonocardia	6	Pseudonocardiaceae	Mycobacteriales	Actinobacteriota
SCSIO-52909	6	Rubrobacteraceae	Rubrobacterales	Actinobacteriota
Sphingomonas_G	6	Sphingomonadaceae	Sphingomonadales	Proteobacteria
Aestuariivirga	5	Aestuariivirgaceae	Rhizobiales	Proteobacteria
Baltobacteraceae gen. sp.	5	Baltobacteraceae	Baltobacterales	Eremiobacterota
CAIVAU01	5	Nostocaceae	Cyanobacteriales	Cyanobacteria
Granulicella_B	5	Acidobacteriaceae	Acidobacteriales	Acidobacteriota
Tardiphaga	5	Xanthobacteraceae	Rhizobiales	Proteobacteria
Truepera	5	Trueperaceae	Deinococcales	Deinococcota
Unknown gen. sp.	5	Unknown	Hat2	Chlamydiota
Unknown gen. sp.	5	Unknown	Actinomycetales	Actinobacteriota
Unknown gen. sp.	5	Unknown	Chthoniobacterales	Verrucomicrobiota
WQZC01	5	Jatrophihabitantaceae	Mycobacteriales	Actinobacteriota
CADCWK01	4	UBA6265	Thermomicrobiales	Chloroflexota
