bac_order	n	bac_phylum
Acidobacteriales	120	Acidobacteriota
Acetobacterales	118	Proteobacteria
Sphingomonadales	62	Proteobacteria
Rhizobiales	58	Proteobacteria
Mycobacteriales	28	Actinobacteriota
Chthoniobacterales	27	Verrucomicrobiota
Cyanobacteriales	25	Cyanobacteria
Caulobacterales	22	Proteobacteria
Cytophagales	20	Bacteroidota
Actinomycetales	18	Actinobacteriota
Armatimonadales	18	Armatimonadota
Ktedonobacterales	18	Chloroflexota
Burkholderiales	17	Proteobacteria
Bryobacterales	16	Acidobacteriota
Pyrinomonadales	15	Acidobacteriota
Chitinophagales	14	Bacteroidota
Sphingobacteriales	12	Bacteroidota
Solirubrobacterales	9	Actinobacteriota
Propionibacteriales	7	Actinobacteriota
Deinococcales	6	Deinococcota
Baltobacterales	4	Eremiobacterota
Streptosporangiales	4	Actinobacteriota
Polyangiales	3	Myxococcota
Abditibacteriales	2	Armatimonadota
Bdellovibrionales	2	Bdellovibrionota
Fimbriimonadales	2	Armatimonadota
Leptolyngbyales	2	Cyanobacteria
Nevskiales	2	Proteobacteria
Rubrobacterales	2	Actinobacteriota
Thermomicrobiales	2	Chloroflexota
UBA5704	2	Acidobacteriota
Chthonomonadales	1	Armatimonadota
Flavobacteriales	1	Bacteroidota
Gemmatales	1	Planctomycetota
Hat2	1	Chlamydiota
Mycoplasmatales	1	Firmicutes
Oligoflexales	1	Bdellovibrionota
Pedosphaerales	1	Verrucomicrobiota
Rhodobacterales	1	Proteobacteria
RP-AC37	1	Actinobacteriota
Saccharimonadales	1	Patescibacteria
SBR1031	1	Chloroflexota
Steroidobacterales	1	Proteobacteria
UBA1161	1	Planctomycetota
UBA4664	1	Patescibacteria
UBA9983_A	1	Patescibacteria
Verrucomicrobiales	1	Verrucomicrobiota
Xanthomonadales	1	Proteobacteria
