bac_order	occ_total	bac_phylum
Acetobacterales	405	Proteobacteria
Rhizobiales	258	Proteobacteria
Acidobacteriales	240	Acidobacteriota
Sphingomonadales	103	Proteobacteria
Chthoniobacterales	72	Verrucomicrobiota
Cyanobacteriales	62	Cyanobacteria
Caulobacterales	50	Proteobacteria
Ktedonobacterales	46	Chloroflexota
Mycobacteriales	44	Actinobacteriota
Bryobacterales	36	Acidobacteriota
Armatimonadales	28	Armatimonadota
Actinomycetales	26	Actinobacteriota
Burkholderiales	26	Proteobacteria
Cytophagales	25	Bacteroidota
Streptosporangiales	21	Actinobacteriota
Propionibacteriales	18	Actinobacteriota
Pyrinomonadales	17	Acidobacteriota
Sphingobacteriales	16	Bacteroidota
Chitinophagales	15	Bacteroidota
Solirubrobacterales	14	Actinobacteriota
Baltobacterales	9	Eremiobacterota
Deinococcales	9	Deinococcota
Rubrobacterales	6	Actinobacteriota
Thermomicrobiales	6	Chloroflexota
Abditibacteriales	3	Armatimonadota
Polyangiales	3	Myxococcota
Bdellovibrionales	2	Bdellovibrionota
Fimbriimonadales	2	Armatimonadota
Flavobacteriales	2	Bacteroidota
Leptolyngbyales	2	Cyanobacteria
Nevskiales	2	Proteobacteria
UBA1161	2	Planctomycetota
UBA5704	2	Acidobacteriota
Xanthomonadales	2	Proteobacteria
Chthonomonadales	1	Armatimonadota
Gemmatales	1	Planctomycetota
Hat2	1	Chlamydiota
Mycoplasmatales	1	Firmicutes
Oligoflexales	1	Bdellovibrionota
Pedosphaerales	1	Verrucomicrobiota
Rhodobacterales	1	Proteobacteria
RP-AC37	1	Actinobacteriota
Saccharimonadales	1	Patescibacteria
SBR1031	1	Chloroflexota
Steroidobacterales	1	Proteobacteria
UBA4664	1	Patescibacteria
UBA9983_A	1	Patescibacteria
Verrucomicrobiales	1	Verrucomicrobiota
