label	n
Acetobacteraceae	361
Acidobacteriaceae	318
Beijerinckiaceae	313
unclassified_Rhizobiales	277
Sphingomonadaceae	254
Isosphaeraceae	222
Caulobacteraceae	221
Burkholderiaceae	186
unclassified_Mycobacteriales	183
Bryobacteraceae	182
unclassified_Chthoniobacterales	182
Chitinophagaceae	175
Solirubrobacteraceae	174
Sphingobacteriaceae	125
Pseudonocardiaceae	122
unclassified_Solirubrobacterales	90
unclassified_Actinomycetales	88
Propionibacteriaceae	83
Pyrinomonadaceae	77
Nostocaceae	76
Xanthobacteraceae	75
Micromonosporaceae	71
unclassified_Burkholderiales	71
Gemmataceae	67
Polyangiaceae	64
Hymenobacteraceae	62
Jatrophihabitantaceae	62
Spirosomaceae	60
Mycobacteriaceae	57
Baltobacteraceae	55
70-9	51
Gemmatimonadaceae	51
Streptosporangiaceae	51
Capsulimonadaceae	50
Microbacteriaceae	48
unclassified_Saccharimonadales	47
UBA10450	45
unclassified_Cytophagales	42
unclassified_Acidimicrobiales	40
Ktedonobacteraceae	38
Rhizobiaceae	37
Fimbriimonadaceae	36
Nocardioidaceae	36
UBA1321	36
unclassified_Acidobacteriales	31
Flavobacteriaceae	28
UBA4665	27
unclassified_Armatimonadales	24
unclassified_Chitinophagales	24
unclassified_Propionibacteriales	23
Steroidobacteraceae	22
Opitutaceae	21
Rhodobacteraceae	21
Chthonomonadaceae	20
unclassified_Cyanobacteriales	20
Obscuribacteraceae	17
UBA6265	17
Abditibacteriaceae	16
Ilumatobacteraceae	16
Rhodanobacteraceae	16
unclassified_Caulobacterales	16
unclassified_Vicinamibacterales	16
unclassified_Flavobacteriales	15
Nakamurellaceae	14
Dermatophilaceae	13
Myxococcaceae	13
Rubrobacteraceae	13
unclassified_UBA9983_A	13
Micropepsaceae	12
Parachlamydiaceae	12
unclassified_Polyangiales	12
Deinococcaceae	11
Pseudomonadaceae	11
Staphylococcaceae	11
Xanthomonadaceae	11
Geodermatophilaceae	10
RAAP-2	10
Streptomycetaceae	10
UBA2163	10
Armatimonadaceae	9
Chthoniobacteraceae	9
Devosiaceae	9
Frankiaceae	9
2-12-FULL-66-21	8
B-17BO	8
Cyclobacteriaceae	8
Trueperaceae	8
UBA1018	8
unclassified_Chthonomonadales	8
Micrococcaceae	7
UBA2999	7
unclassified_Xanthomonadales	7
Reyranellaceae	6
UBA9973	6
unclassified_Bacteroidales	6
unclassified_Gemmatimonadales	6
unclassified_Pedosphaerales	6
unclassified_Sphingomonadales	6
unclassified_UBA1018	6
Bdellovibrionaceae	5
Kineosporiaceae	5
unclassified_Chloroflexales	5
Chloroflexaceae	4
Longimicrobiaceae	4
Micavibrionaceae	4
Peptostreptococcaceae	4
Saccharimonadaceae	4
Saprospiraceae	4
Streptococcaceae	4
unclassified_Chlamydiales	4
unclassified_Deinococcales	4
unclassified_Pirellulales	4
unclassified_Thermomicrobiales	4
unclassified_Verrucomicrobiales	4
Akkermansiaceae	3
Anoxybacillaceae	3
Cellulomonadaceae	3
Crocinitomicaceae	3
Gaiellaceae	3
Hyphomicrobiaceae	3
Hyphomonadaceae	3
Leptolyngbyaceae	3
Methylopilaceae	3
Motilibacteraceae	3
Nevskiaceae	3
Roseiflexaceae	3
SXRF01	3
UBA11346	3
UBA11358	3
unclassified_Fimbriimonadales	3
unclassified_Gemmatales	3
unclassified_Methylacidiphilales	3
unclassified_Pseudomonadales	3
unclassified_SBR1031	3
unclassified_UBA5704	3
Verrucomicrobiaceae	3
2-01-FULL-59-12	2
Azospirillaceae	2
Blattabacteriaceae	2
Chamaesiphonaceae	2
CSP1-4	2
DSM-16500	2
Enterobacteriaceae	2
Ga0077539	2
Ga0077560	2
Geminicoccaceae	2
Kineococcaceae	2
Koribacteraceae	2
Kribbellaceae	2
Legionellaceae	2
Moraxellaceae	2
PALSA-555	2
Pasteurellaceae	2
Peptoniphilaceae	2
Pirellulaceae	2
Planctomycetaceae	2
Quadrisphaeraceae	2
Rhodocyclaceae	2
Rhodomicrobiaceae	2
UBA5272	2
UBA7541	2
UBA7656	2
UBA8260	2
UBA920	2
unclassified_Babeliales	2
unclassified_Bdellovibrionales	2
Weeksellaceae	2
Zambryskibacteraceae	2
2-02-FULL-58-16	1
2013-40CM-41-45	1
40CM-4-68-19	1
54-19	1
Actinomycetaceae	1
Amoebophilaceae	1
Babeliaceae	1
Bacillaceae_D	1
Bacillaceae_M	1
Bacteroidaceae	1
Berkiellaceae	1
Bog-793	1
CAIPTA01	1
Casimicrobiaceae	1
Catenulisporaceae	1
Cellvibrionaceae	1
Chitinibacteraceae	1
Chroococcidiopsidaceae	1
Clostridiaceae	1
Cytophagaceae	1
Dormibacteraceae	1
F1-60-MAGs149	1
Fusobacteriaceae	1
Ga0077529	1
Halomonadaceae	1
IMCC26256	1
J036	1
JACDFO01	1
JACDGC01	1
LD1	1
Magnetospirillaceae	1
Methylophilaceae	1
Microcoleaceae	1
Microcystaceae	1
Palsa-948	1
Phormidesmiaceae	1
PHOS-HE28	1
QHBO01	1
QQVD01	1
Rhabdochlamydiaceae	1
SG-bin7	1
SG8-39	1
SG8-41	1
SM1A02	1
Stellaceae	1
Terrimicrobiaceae	1
UBA11063	1
UBA1568	1
UBA1609	1
UBA2279	1
UBA2466	1
UBA4664	1
UBA5704	1
UBA6821	1
unclassified_CAIPTA01	1
unclassified_Enterobacterales	1
unclassified_Ktedonobacterales	1
unclassified_Lactobacillales	1
unclassified_Nanopelagicales	1
V1-33	1
VBWQ01	1
Veillonellaceae	1
WHTK01	1
