label	n
Acetobacteraceae	331
Beijerinckiaceae	323
Acidobacteriaceae	315
unclassified_Rhizobiales	315
Sphingomonadaceae	307
Caulobacteraceae	303
Isosphaeraceae	298
Burkholderiaceae	279
Solirubrobacteraceae	260
unclassified_Mycobacteriales	257
Bryobacteraceae	252
unclassified_Chthoniobacterales	251
Pseudonocardiaceae	221
Chitinophagaceae	214
Sphingobacteriaceae	211
Mycobacteriaceae	207
unclassified_Acidobacteriales	199
Propionibacteriaceae	198
unclassified_Solirubrobacterales	198
Capsulimonadaceae	190
Xanthobacteraceae	184
Jatrophihabitantaceae	182
unclassified_Actinomycetales	179
Streptosporangiaceae	176
UBA10450	176
Baltobacteraceae	175
unclassified_Caulobacterales	173
unclassified_Burkholderiales	170
Micromonosporaceae	165
Polyangiaceae	165
Microbacteriaceae	162
unclassified_Acidimicrobiales	149
Gemmataceae	147
70-9	141
Hymenobacteraceae	136
Nocardioidaceae	136
unclassified_Armatimonadales	134
Fimbriimonadaceae	133
Nostocaceae	131
Steroidobacteraceae	116
Gemmatimonadaceae	115
Spirosomaceae	115
unclassified_Cyanobacteriales	109
unclassified_Cytophagales	106
Chthoniobacteraceae	103
Pyrinomonadaceae	99
unclassified_Propionibacteriales	98
UBA1321	97
UBA4665	90
Chthonomonadaceae	89
unclassified_Saccharimonadales	89
Rhizobiaceae	87
Micropepsaceae	84
Ktedonobacteraceae	80
unclassified_Chitinophagales	80
Nakamurellaceae	77
UBA1018	77
Dermatophilaceae	72
Myxococcaceae	69
Rhodanobacteraceae	68
Devosiaceae	66
Geodermatophilaceae	66
Ilumatobacteraceae	65
Obscuribacteraceae	63
Armatimonadaceae	60
unclassified_Chthonomonadales	60
unclassified_Vicinamibacterales	60
Pseudomonadaceae	58
SXRF01	58
Opitutaceae	56
Flavobacteriaceae	54
Abditibacteriaceae	53
unclassified_Polyangiales	53
Rhodobacteraceae	49
UBA6265	49
unclassified_Xanthomonadales	49
Staphylococcaceae	47
Streptomycetaceae	46
Enterobacteriaceae	45
Parachlamydiaceae	44
Reyranellaceae	44
Bdellovibrionaceae	42
RAAP-2	42
2-12-FULL-66-21	41
Xanthomonadaceae	41
Gaiellaceae	39
