bin,median_cov
cov_private_GTX0158_concoct_bin.31.fa,433.0
cov_private_GTX0158_metawrap_bin.1.fa,8.0
cov_private_GTX0158_metawrap_bin.2.fa,21.0
cov_private_GTX0158_metawrap_bin.3.fa,10.0
cov_private_GTX0158_metawrap_bin.4.fa,13.0
cov_private_GTX0158_metawrap_bin.5.fa,169.0
cov_private_GTX0158_metawrap_bin.6.fa,196.0
cov_private_GTX0158_metawrap_bin.7.fa,8.0
cov_private_GTX0158_metawrap_bin.8.fa,5.0
cov_private_GTX0161_concoct_bin.0.fa,58.0
cov_private_GTX0161_concoct_merged.0.fa,329.0
cov_private_GTX0161_metawrap_bin.1.fa,55.0
cov_private_GTX0163_concoct_bin.14.fa,179.0
cov_private_GTX0163_concoct_bin.46.fa,11.0
cov_private_GTX0163_metawrap_bin.10.fa,16.0
cov_private_GTX0163_metawrap_bin.11.fa,9.0
cov_private_GTX0163_metawrap_bin.12.fa,15.0
cov_private_GTX0163_metawrap_bin.13.fa,17.0
cov_private_GTX0163_metawrap_bin.14.fa,7.0
cov_private_GTX0163_metawrap_bin.15.fa,11.0
cov_private_GTX0163_metawrap_bin.16.fa,20.0
cov_private_GTX0163_metawrap_bin.17.fa,10.0
cov_private_GTX0163_metawrap_bin.18.fa,27.0
cov_private_GTX0163_metawrap_bin.19.fa,5.0
cov_private_GTX0163_metawrap_bin.1.fa,9.0
cov_private_GTX0163_metawrap_bin.20.fa,6.0
cov_private_GTX0163_metawrap_bin.2.fa,6.0
cov_private_GTX0163_metawrap_bin.3.fa,7.0
cov_private_GTX0163_metawrap_bin.4.fa,5.0
cov_private_GTX0163_metawrap_bin.5.fa,11.0
cov_private_GTX0163_metawrap_bin.6.fa,7.0
cov_private_GTX0163_metawrap_bin.7.fa,6.0
cov_private_GTX0163_metawrap_bin.8.fa,12.0
cov_private_GTX0163_metawrap_bin.9.fa,33.0
cov_private_T1867_concoct_bin.8.fa,28.0
cov_private_T1867_metabat2_bin.4.fa,40.0
cov_private_T1867_metawrap_bin.1.fa,7.0
cov_private_T1867_metawrap_bin.2.fa,10.0
cov_private_T1867_metawrap_bin.3.fa,5.0
cov_private_T1867_metawrap_bin.4.fa,5.0
cov_private_T1868_concoct_bin.12.fa,26.0
cov_private_T1868_metawrap_bin.1.fa,10.0
cov_private_T1868_metawrap_bin.2.fa,7.0
cov_private_T1868_metawrap_bin.4.fa,9.0
cov_private_T1868_metawrap_bin.5.fa,9.0
cov_private_T1881_metabat2_bin.1.fa,54.0
cov_private_T1881_metabat2_bin.5.fa,450.0
cov_private_T1882_concoct_bin.24.fa,337.0
cov_private_T1882_metabat2_merged.0.fa,10.0
cov_private_T1887_metabat2_bin.36.fa,616.0
cov_private_T1887_metawrap_bin.10.fa,8.0
cov_private_T1887_metawrap_bin.11.fa,13.0
cov_private_T1887_metawrap_bin.12.fa,12.0
cov_private_T1887_metawrap_bin.13.fa,7.0
cov_private_T1887_metawrap_bin.14.fa,8.0
cov_private_T1887_metawrap_bin.15.fa,24.0
cov_private_T1887_metawrap_bin.16.fa,69.0
