Species,Taxonomy,Source,ID
Cyphobasidium from Alectoria,Basidiomycota; Pucciniomycotina; Cyphobasidiales,Tagirdzhanova et al. GBE 13 evab129 (2021),CAJHEP01
Cystobasidium minutum,Basidiomycota; Pucciniomycotina; Cystobasidiales,Camiolo et al. Yeast 36 53-64 (2019),Rhomi1
Letharia lupina,Ascomycota; Pezizomycotina; Lecanorales,McKenzie et al. Genomics 112 3150-3156 (2020),GCF_014066315.1
Tremella from Alectoria,Basidiomycota; Agaricomycotina; Tremellales,Tagirdzhanova et al. GBE 13 evab129 (2021),GCA_904859935.1
Blumeria hordei,Ascomycota; Pezizomycotina; Leotiomycetes; Erysiphales,Frantzeskakis et al. BMC Genomics 19 381 (2018),GCA_000151065.3
Arthrobotrys oligospora,Ascomycota; Pezizomycotina; Orbiliomycetes; Orbiliales,Yang et al.  PLoS Pathog. 7 e1002179 (2011),GCF_000225545.1
Rhytidhysteron rufulum,Ascomycota; Pezizomycotina;Dothideomycetes; Hysteriales,Ohm et al. PLoS Pathog. 8 e1003037 (2012),GCA_000467735.1
Cladophialophora bantiana CBS 173.52,Ascomycota; Pezizomycotina; Eurotiomycetes; Chaetothyriales,Teixeira et al. Stud Mycol 86 1-28 (2017),GCF_000835475.1
Phaeomoniella chlamydospora,Ascomycota; Pezizomycotina; Eurotiomycetes; Phaeomoniellales,Morales-Cruz et al. BMC Genomics 16 469 (2015),GCA_001006345.1
Chlamydomonas eustigma,Chlorophyta; Chlorophyceaea,Hirooka et al. PNAS 114 E8304-E8313 (2017),GCA_002335675.1
Picochlorum soloecismus,Chlorophyta; Trebouxiophyceaea,Gonzalez-Esquer et al. Genome Announc 25 (2018),GCA_002818215.1
Meliniomyces variabilis,Ascomycota; Pezizomycotina; Leotiomycetes; Helotiales,Martino et al. New Phytol. 217 1213-1229 (2018),GCA_002865655.1
Picocystis,Chlorophyta; Picocystophyceae,Sumbitted by University of Oklahoma,GCA_003665715.1
Ascobolus immersus,Ascomycota; Pezizomycotina; Pezizomycetes; Pezizales,Murat et al. Nat Ecol Evol. 2 1956-1965 (2018),GCA_003788565.2
