X,private_T1887_metawrap_bin.15.faa,private_T1887_metawrap_bin.3.faa,private_T1888_metawrap_bin.6.faa,private_T1889_metawrap_bin.2.faa,private_T1894_metawrap_bin.4.faa,private_T1894_metawrap_bin.9.faa,private_T1904_metawrap_bin.1.faa,private_T1916_metawrap_bin.13.faa,private_T1916_metawrap_bin.2.faa,private_T1916_metawrap_bin.6.faa,private_TS1974_metawrap_bin.3.faa,private_TS1974_metawrap_bin.5.faa,private_TS1974_metawrap_bin.6.faa,private_VT16_metawrap_bin.4.faa,private_VT1_metawrap_bin.1.faa,private_VT1_metawrap_bin.2.faa,private_VT1_metawrap_bin.3.faa,private_VT22_metawrap_bin.8.faa,private_VT26_metawrap_bin.1.faa,private_VT34_metawrap_bin.3.faa,private_VT34_metawrap_bin.4.faa,private_X11_metawrap_bin.3.faa,private_X15_metawrap_bin.2.faa,private_X16_metawrap_bin.17.faa,private_X1_metawrap_bin.1.faa,private_X3_metawrap_bin.2.faa,private_X3_metawrap_bin.3.faa,private_X5_metawrap_bin.1.faa,private_X9_metawrap_bin.1.faa,public_ERR4179389_metawrap_bin.2.faa,public_ERR4179390_metawrap_bin.2.faa,public_SRR11456913_metawrap_bin.11.faa,public_SRR11456914_metawrap_bin.12.faa,public_SRR11456915_metawrap_bin.3.faa,public_SRR11456915_metawrap_bin.9.faa,public_SRR11456918_metawrap_bin.3.faa,public_SRR11456918_metawrap_bin.7.faa,public_SRR11456919_metawrap_bin.1.faa,public_SRR11456919_metawrap_bin.13.faa,public_SRR11456919_metawrap_bin.2.faa,public_SRR11456919_metawrap_bin.3.faa,public_SRR11456919_metawrap_bin.5.faa,public_SRR11456921_metawrap_bin.3.faa,public_SRR11456923_metawrap_bin.7.faa,public_SRR13125477_metawrap_bin.5.faa,public_SRR14721954_metawrap_bin.4.faa,public_SRR14721985_metawrap_bin.2.faa,public_SRR14722049_metawrap_bin.2.faa,public_SRR14722050_metawrap_bin.2.faa,public_SRR14722071_metawrap_bin.1.faa,public_SRR14722081_metawrap_bin.1.faa,public_SRR14722088_metawrap_bin.5.faa,public_SRR14722095_metawrap_bin.2.faa,public_SRR14722117_metawrap_bin.2.faa,public_SRR14722123_metawrap_bin.1.faa,public_SRR14722145_metawrap_bin.2.faa,public_SRR14722154_metawrap_bin.3.faa,public_SRR14722157_metawrap_bin.1.faa,public_SRR14722161_metawrap_bin.1.faa,public_SRR14722229_metawrap_bin.6.faa,public_SRR1531545_metawrap_bin.1.faa,public_SRR2387885_metawrap_bin.6.faa,public_SRR7232211_metawrap_bin.1.faa,
iron_aquisition-iron_transport,,10,2,0,6,4,5,0,2,0,3,5,0,3,0,0,5,7,2,2,14,2,5,4,0,2,2,2,10,3,2,0,5,2,4,0,6,2,2,14,10,9,8,12,0,3,12,3,4,0,7,2,2,0,2,5,8,2,2,8,4,8,0,3
iron_aquisition-heme_transport,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
iron_aquisition-heme_oxygenase,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iron_aquisition-siderophore_synthesis,,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,13,0,15,0,0,0,0,0,13,21,5,0,5,3,0,0,0,0,0,0,0,0,19,0,0,8,0,3,0,0
iron_aquisition-siderophore_transport,,2,24,9,0,4,4,3,4,15,6,1,4,3,8,8,4,5,10,9,9,11,4,3,3,4,8,5,11,3,12,15,2,9,12,5,21,17,9,5,4,2,22,7,2,6,28,3,4,5,5,2,4,4,2,3,21,5,7,16,7,42,4,1
iron_aquisition-siderophore_transport_potential,,3,7,8,2,6,10,6,5,8,3,9,7,5,8,7,20,3,8,7,6,5,5,4,8,6,8,6,5,6,6,8,6,3,5,20,5,7,6,2,17,2,6,7,5,7,7,6,4,8,6,5,8,7,17,0,5,8,8,6,4,7,7,5
iron_gene_regulation,,14,6,18,8,9,6,4,19,17,12,9,18,5,12,7,15,6,16,11,15,9,6,9,10,6,13,7,13,8,7,11,12,8,15,13,13,11,6,18,15,10,11,9,15,12,18,6,15,11,9,8,10,8,22,20,15,19,14,15,17,26,9,11
iron_oxidation,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
possible_iron_oxidation_and_possible_iron_reduction,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
probable_iron_reduction,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
