KO	gene	name	module_kegg	module_informal	type	note
K00855	PRK	phosphoribulokinase	Reductive pentose phosphate cycle (Calvin cycle)	Calvin cycle	carbon metabolism	
K01601	rbcL	ribulose-bisphosphate carboxylase large chain	Reductive pentose phosphate cycle (Calvin cycle)	Calvin cycle	carbon metabolism	
K01602	rbcS	ribulose-bisphosphate carboxylase small chain	Reductive pentose phosphate cycle (Calvin cycle)	Calvin cycle	carbon metabolism	
K08928	pufL	photosynthetic reaction center L subunit	Anoxygenic photosystem II	Anoxygenic photosystem II RC-LH1	photosynthesis	
K08929	pufM	photosynthetic reaction center M subunit	Anoxygenic photosystem II	Anoxygenic photosystem II RC-LH1	photosynthesis	
K13992	pufC	photosynthetic reaction center cytochrome c subunit	Anoxygenic photosystem II	Anoxygenic photosystem II RC-LH1	photosynthesis	
K13991	puhA	photosynthetic reaction center H subunit	Anoxygenic photosystem II	Anoxygenic photosystem II RC-LH1	photosynthesis	
K08926	pufA	light-harvesting complex 1 alpha chain	Anoxygenic photosystem II	Anoxygenic photosystem II RC-LH1	photosynthesis	
K08927	pufB	light-harvesting complex 1 beta chain	Anoxygenic photosystem II	Anoxygenic photosystem II RC-LH1	photosynthesis	
K04035	acsF	magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase	Porphyrin metabolism	bacteriochlorophyll synthesis	photosynthesis	
K19073	DVR	divinyl chlorophyllide a 8-vinyl-reductase	Porphyrin metabolism	bacteriochlorophyll synthesis	photosynthesis	
K04037	chlL	light-independent protochlorophyllide reductase subunit L	Porphyrin metabolism	bacteriochlorophyll synthesis	photosynthesis	
K04038	chlN	light-independent protochlorophyllide reductase subunit N	Porphyrin metabolism	bacteriochlorophyll synthesis	photosynthesis	
K04039	chlB	light-independent protochlorophyllide reductase subunit B	Porphyrin metabolism	bacteriochlorophyll synthesis	photosynthesis	
K11336	bchF	3-vinyl bacteriochlorophyllide hydratase	Porphyrin metabolism	bacteriochlorophyll synthesis	photosynthesis	
K11334	bchY	"3,8-divinyl chlorophyllide a/chlorophyllide a reductase subunit Y"	Porphyrin metabolism	bacteriochlorophyll synthesis	photosynthesis	
K11335	bchZ	"3,8-divinyl chlorophyllide a/chlorophyllide a reductase subunit Z"	Porphyrin metabolism	bacteriochlorophyll synthesis	photosynthesis	
K11333	bchX	"3,8-divinyl chlorophyllide a/chlorophyllide a reductase subunit X"	Porphyrin metabolism	bacteriochlorophyll synthesis	photosynthesis	
K11337	bchC	bacteriochlorophyllide a dehydrogenase	Porphyrin metabolism	bacteriochlorophyll synthesis	photosynthesis	
K04040	bchG	chlorophyll/bacteriochlorophyll a synthas	Porphyrin metabolism	bacteriochlorophyll synthesis	photosynthesis	
K10960	bchP	geranylgeranyl diphosphate/geranylgeranyl-bacteriochlorophyllide a reductase	Porphyrin metabolism	bacteriochlorophyll synthesis	photosynthesis	
K02291	crtB	15-cis-phytoene synthase	Carotenoid biosynthesis	Carotenoid biosynthesis 	photosynthesis	
K10027	crtI	phytoene desaturase	Carotenoid biosynthesis	Carotenoid biosynthesis 	photosynthesis	
K09844	crtC	"carotenoid 1,2-hydratase"	Carotenoid biosynthesis	Carotenoid biosynthesis: spirilloxanthin	photosynthesis	
K09845Ê	crtD	"1-hydroxycarotenoid 3,4-desaturase"	Carotenoid biosynthesis	Carotenoid biosynthesis: spirilloxanthin	photosynthesis	
K09846	crtF	demethylspheroidene O-methyltransferase	Carotenoid biosynthesis	Carotenoid biosynthesis: spirilloxanthin	photosynthesis	
K06443	crtY	lycopene beta-cyclase	Carotenoid biosynthesis	Carotenoid biosynthesis: carotenes	photosynthesis	
K15746Ê	crtZ	beta-carotene 3-hydroxylase	Carotenoid biosynthesis	Carotenoid biosynthesis: carotenes	photosynthesis	
K09836Ê	crtW	beta-carotene/zeaxanthin 4-ketolase	Carotenoid biosynthesis	Carotenoid biosynthesis: carotenes	photosynthesis	
K14596Ê	crtX	zeaxanthin glucosyltransferase	Carotenoid biosynthesis	Carotenoid biosynthesis: carotenes	photosynthesis	
K02586	nifD	nitrogenase molybdenum-iron protein alpha chain	"Nitrogen fixation, nitrogen => ammonia"	Nitrogen fixation	nitrogen metabolism	
K02591	nifK	nitrogenase molybdenum-iron protein beta chain	"Nitrogen fixation, nitrogen => ammonia"	Nitrogen fixation	nitrogen metabolism	
K02588	nifH	nitrogenase iron protein NifH	"Nitrogen fixation, nitrogen => ammonia"	Nitrogen fixation	nitrogen metabolism	
K22896	vnfD	vanadium-dependent nitrogenase alpha chain	"Nitrogen fixation, nitrogen => ammonia"	Nitrogen fixation	nitrogen metabolism	
K22897	vnfK	vanadium-dependent nitrogenase beta chain	"Nitrogen fixation, nitrogen => ammonia"	Nitrogen fixation	nitrogen metabolism	
K22898	vnfG	vanadium nitrogenase delta subunit	"Nitrogen fixation, nitrogen => ammonia"	Nitrogen fixation	nitrogen metabolism	
K22899	vnfH	vanadium nitrogenase iron protein	"Nitrogen fixation, nitrogen => ammonia"	Nitrogen fixation	nitrogen metabolism	
K00372	nasA	assimilatory nitrate reductase catalytic subunit	"Assimilatory nitrate reduction, nitrate => ammonia"	Assimilatory nitrate reduction	nitrogen metabolism	alternative to K00367
K00366	nirA	ferredoxin-nitrite reductase	"Assimilatory nitrate reduction, nitrate => ammonia"	Assimilatory nitrate reduction	nitrogen metabolism	
K00367	narB	ferredoxin-nitrate reductase	"Assimilatory nitrate reduction, nitrate => ammonia"	Assimilatory nitrate reduction	nitrogen metabolism	alternative to K00372
K00798	MMAB	cob(I)alamin adenosyltransferase	"Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin"	Cobalamin biosynthesis	cofactors	
K19221	cobA	cob(I)alamin adenosyltransferase	"Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin"	Cobalamin biosynthesis	cofactors	
K02232	cobQ	adenosylcobyric acid synthase	"Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin"	Cobalamin biosynthesis	cofactors	
K02225	cobC1	cobalamin biosynthesis protein CobC	"Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin"	Cobalamin biosynthesis	cofactors	
K02227	cbiB	adenosylcobinamide-phosphate synthase	"Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin"	Cobalamin biosynthesis	cofactors	
K02231	cobP	adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase	"Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin"	Cobalamin biosynthesis	cofactors	
K00768	cobU-cobT	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	"Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin"	Cobalamin biosynthesis	cofactors	
