Genome	bac_family	bac_order	bac_phylum	hdbscan	kmeans	apcluster
private_GTX0158_metawrap_bin.1	Hymenobacteraceae	Cytophagales	Bacteroidota	9	9	4
private_GTX0158_metawrap_bin.2	Sphingobacteriaceae	Sphingobacteriales	Bacteroidota	9	11	4
private_GTX0158_metawrap_bin.3	Propionibacteriaceae	Propionibacteriales	Actinobacteriota	0	7	6
private_GTX0158_metawrap_bin.4	Sphingobacteriaceae	Sphingobacteriales	Bacteroidota	9	9	4
private_GTX0158_metawrap_bin.6	Beijerinckiaceae	Rhizobiales	Proteobacteria	4	12	2
private_GTX0163_metawrap_bin.1	UBA10450	Chthoniobacterales	Verrucomicrobiota	8	5	7
private_GTX0163_metawrap_bin.10	Sphingomonadaceae	Sphingomonadales	Proteobacteria	4	13	8
private_GTX0163_metawrap_bin.12	Burkholderiaceae	Burkholderiales	Proteobacteria	0	6	10
private_GTX0163_metawrap_bin.15	Sphingomonadaceae	Sphingomonadales	Proteobacteria	4	13	8
private_GTX0163_metawrap_bin.3	Armatimonadaceae	Armatimonadales	Armatimonadota	5	8	14
private_GTX0163_metawrap_bin.9	Hymenobacteraceae	Cytophagales	Bacteroidota	9	11	4
private_T1868_metawrap_bin.4	Capsulimonadaceae	Armatimonadales	Armatimonadota	5	8	14
private_T1868_metawrap_bin.5	Acetobacteraceae	Acetobacterales	Proteobacteria	4	10	17
private_T1887_metawrap_bin.1	Quadrisphaeraceae	Actinomycetales	Actinobacteriota	6	7	6
private_T1887_metawrap_bin.10	SCTD01	Mycobacteriales	Actinobacteriota	6	7	6
private_T1887_metawrap_bin.11	Beijerinckiaceae	Rhizobiales	Proteobacteria	4	12	2
private_T1887_metawrap_bin.12	Angustibacteraceae	Actinomycetales	Actinobacteriota	6	7	6
private_T1887_metawrap_bin.15	Acetobacteraceae	Acetobacterales	Proteobacteria	4	12	2
private_T1887_metawrap_bin.17	Hymenobacteraceae	Cytophagales	Bacteroidota	9	11	4
private_T1887_metawrap_bin.3	Sphingomonadaceae	Sphingomonadales	Proteobacteria	4	13	8
private_T1887_metawrap_bin.4	Sphingomonadaceae	Sphingomonadales	Proteobacteria	4	13	8
private_T1887_metawrap_bin.5	Hymenobacteraceae	Cytophagales	Bacteroidota	0	9	4
private_T1887_metawrap_bin.6	Sphingomonadaceae	Sphingomonadales	Proteobacteria	4	13	8
private_T1887_metawrap_bin.7	Unknown	Actinomycetales	Actinobacteriota	6	7	6
private_T1888_metawrap_bin.12	Caulobacteraceae	Caulobacterales	Proteobacteria	4	13	11
private_T1888_metawrap_bin.13	Fimbriimonadaceae	Fimbriimonadales	Armatimonadota	5	8	14
private_T1888_metawrap_bin.4	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3	4	1
private_T1888_metawrap_bin.5	UBA10450	Chthoniobacterales	Verrucomicrobiota	8	5	7
private_T1888_metawrap_bin.6	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3	4	3
private_T1888_metawrap_bin.8	Caulobacteraceae	Caulobacterales	Proteobacteria	0	6	13
private_T1889_metawrap_bin.1	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3	4	1
private_T1889_metawrap_bin.2	Acetobacteraceae	Acetobacterales	Proteobacteria	4	10	17
private_T1894_metawrap_bin.10	Acetobacteraceae	Acetobacterales	Proteobacteria	4	10	17
private_T1894_metawrap_bin.11	Acetobacteraceae	Acetobacterales	Proteobacteria	4	10	11
private_T1894_metawrap_bin.12	Acetobacteraceae	Acetobacterales	Proteobacteria	4	12	2
private_T1894_metawrap_bin.4	Acetobacteraceae	Acetobacterales	Proteobacteria	4	10	17
private_T1894_metawrap_bin.8	Acetobacteraceae	Acetobacterales	Proteobacteria	4	10	17
private_T1894_metawrap_bin.9	Beijerinckiaceae	Rhizobiales	Proteobacteria	4	10	11
private_T1904_metawrap_bin.1	Acetobacteraceae	Acetobacterales	Proteobacteria	4	10	17
private_T1904_metawrap_bin.3	Acetobacteraceae	Acetobacterales	Proteobacteria	4	10	17
private_T1904_metawrap_bin.4	Acetobacteraceae	Acetobacterales	Proteobacteria	4	10	17
private_T1914_metawrap_bin.3	Acetobacteraceae	Acetobacterales	Proteobacteria	4	10	17
private_T1914_metawrap_bin.4	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3	4	3
private_T1916_metawrap_bin.13	Beijerinckiaceae	Rhizobiales	Proteobacteria	4	12	2
private_T1916_metawrap_bin.2	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3	4	3
private_T1916_metawrap_bin.4	Sphingomonadaceae	Sphingomonadales	Proteobacteria	4	13	8
private_T1916_metawrap_bin.5	Beijerinckiaceae	Rhizobiales	Proteobacteria	4	10	11
private_T1916_metawrap_bin.6	Beijerinckiaceae	Rhizobiales	Proteobacteria	4	12	11
private_TS1974_metawrap_bin.1	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3	4	1
private_TS1974_metawrap_bin.10	Acetobacteraceae	Acetobacterales	Proteobacteria	4	10	17
private_TS1974_metawrap_bin.12	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3	4	1
private_TS1974_metawrap_bin.2	Capsulimonadaceae	Armatimonadales	Armatimonadota	5	8	14
private_TS1974_metawrap_bin.3	Beijerinckiaceae	Rhizobiales	Proteobacteria	4	10	17
private_TS1974_metawrap_bin.4	Acetobacteraceae	Acetobacterales	Proteobacteria	4	10	2
private_TS1974_metawrap_bin.5	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3	4	3
private_TS1974_metawrap_bin.6	Acetobacteraceae	Acetobacterales	Proteobacteria	4	12	2
private_TS1974_metawrap_bin.7	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3	4	15
private_TS1974_metawrap_bin.9	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3	4	3
private_VT1_metawrap_bin.1	Acetobacteraceae	Acetobacterales	Proteobacteria	4	10	2
private_VT1_metawrap_bin.2	UBA10450	Chthoniobacterales	Verrucomicrobiota	8	5	7
private_VT1_metawrap_bin.3	Acetobacteraceae	Acetobacterales	Proteobacteria	4	10	11
private_VT15_metawrap_bin.1	Acetobacteraceae	Acetobacterales	Proteobacteria	4	10	17
private_VT16_metawrap_bin.4	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3	4	3
private_VT22_metawrap_bin.4	Jatrophihabitantaceae	Mycobacteriales	Actinobacteriota	6	7	6
private_VT22_metawrap_bin.6	Capsulimonadaceae	Armatimonadales	Armatimonadota	5	8	14
private_VT22_metawrap_bin.8	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3	4	15
private_VT22_metawrap_bin.9	Sphingobacteriaceae	Sphingobacteriales	Bacteroidota	9	11	4
private_VT26_metawrap_bin.1	Beijerinckiaceae	Rhizobiales	Proteobacteria	4	10	11
private_VT26_metawrap_bin.2	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3	4	1
private_VT34_metawrap_bin.2	Sphingomonadaceae	Sphingomonadales	Proteobacteria	4	13	8
private_VT34_metawrap_bin.3	Acetobacteraceae	Acetobacterales	Proteobacteria	4	12	2
private_VT34_metawrap_bin.4	Sphingomonadaceae	Sphingomonadales	Proteobacteria	4	13	8
private_X1_metawrap_bin.1	Acetobacteraceae	Acetobacterales	Proteobacteria	4	10	17
private_X11_metawrap_bin.1	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3	4	3
private_X11_metawrap_bin.2	Caulobacteraceae	Caulobacterales	Proteobacteria	4	13	11
private_X11_metawrap_bin.3	Acetobacteraceae	Acetobacterales	Proteobacteria	4	10	11
private_X15_metawrap_bin.2	Acetobacteraceae	Acetobacterales	Proteobacteria	4	12	2
private_X16_metawrap_bin.1	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3	4	15
private_X16_metawrap_bin.13	Burkholderiaceae	Burkholderiales	Proteobacteria	0	6	10
private_X16_metawrap_bin.15	Chthoniobacteraceae	Chthoniobacterales	Verrucomicrobiota	8	5	7
private_X16_metawrap_bin.17	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3	4	1
private_X16_metawrap_bin.22	Chitinophagaceae	Chitinophagales	Bacteroidota	9	11	4
private_X16_metawrap_bin.23	Motilibacteraceae	RP-AC37	Actinobacteriota	0	7	6
private_X16_metawrap_bin.3	Cyclobacteriaceae	Cytophagales	Bacteroidota	9	11	4
private_X16_metawrap_bin.30	SCTD01	Mycobacteriales	Actinobacteriota	6	7	6
private_X16_metawrap_bin.31	Bdellovibrionaceae	Bdellovibrionales	Bdellovibrionota	0	9	5
private_X16_metawrap_bin.4	Sphingomonadaceae	Sphingomonadales	Proteobacteria	0	13	10
private_X16_metawrap_bin.6	Acetobacteraceae	Acetobacterales	Proteobacteria	4	12	2
private_X16_metawrap_bin.8	Pyrinomonadaceae	Pyrinomonadales	Acidobacteriota	7	9	12
private_X3_metawrap_bin.2	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3	4	3
private_X3_metawrap_bin.3	Sphingomonadaceae	Sphingomonadales	Proteobacteria	4	13	8
private_X4_metawrap_bin.1	UBA10450	Chthoniobacterales	Verrucomicrobiota	0	9	5
private_X4_metawrap_bin.11	Caulobacteraceae	Caulobacterales	Proteobacteria	4	13	10
private_X4_metawrap_bin.12	UBA1161	UBA1161	Planctomycetota	0	5	14
private_X4_metawrap_bin.14	Micromonosporaceae	Mycobacteriales	Actinobacteriota	6	7	6
private_X4_metawrap_bin.2	Pyrinomonadaceae	Pyrinomonadales	Acidobacteriota	0	11	12
private_X4_metawrap_bin.3	Pyrinomonadaceae	Pyrinomonadales	Acidobacteriota	0	9	12
private_X4_metawrap_bin.5	Chitinophagaceae	Chitinophagales	Bacteroidota	0	11	4
private_X4_metawrap_bin.7	Solirubrobacteraceae	Solirubrobacterales	Actinobacteriota	0	5	6
private_X4_metawrap_bin.9	Pyrinomonadaceae	Pyrinomonadales	Acidobacteriota	7	11	12
private_X5_metawrap_bin.1	Nostocaceae	Cyanobacteriales	Cyanobacteria	2	1	9
private_X5_metawrap_bin.2	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3	4	15
private_X5_metawrap_bin.6	Chitinophagaceae	Chitinophagales	Bacteroidota	9	11	4
private_X5_metawrap_bin.7	UBA10450	Chthoniobacterales	Verrucomicrobiota	0	9	5
private_X9_metawrap_bin.1	Acetobacteraceae	Acetobacterales	Proteobacteria	4	10	17
public_ERR4179389_metawrap_bin.2	Sphingomonadaceae	Sphingomonadales	Proteobacteria	4	13	8
public_ERR4179389_metawrap_bin.8	Burkholderiaceae	Burkholderiales	Proteobacteria	0	6	13
public_ERR4179390_metawrap_bin.1	Sphingobacteriaceae	Sphingobacteriales	Bacteroidota	9	11	4
public_ERR4179390_metawrap_bin.12	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3	4	3
public_ERR4179390_metawrap_bin.13	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3	4	1
public_ERR4179390_metawrap_bin.2	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3	4	3
public_ERR4179390_metawrap_bin.8	Polyangiaceae	Polyangiales	Myxococcota	0	5	7
public_ERR4179391_metawrap_bin.4	Burkholderiaceae	Burkholderiales	Proteobacteria	0	2	10
public_SRR11456913_metawrap_bin.11	Nostocaceae	Cyanobacteriales	Cyanobacteria	2	1	9
public_SRR11456913_metawrap_bin.13	Beijerinckiaceae	Rhizobiales	Proteobacteria	4	12	11
public_SRR11456913_metawrap_bin.14	Nakamurellaceae	Mycobacteriales	Actinobacteriota	6	7	6
public_SRR11456913_metawrap_bin.15	Beijerinckiaceae	Rhizobiales	Proteobacteria	4	10	11
public_SRR11456913_metawrap_bin.16	Sphingomonadaceae	Sphingomonadales	Proteobacteria	4	13	8
public_SRR11456913_metawrap_bin.18	Solirubrobacteraceae	Solirubrobacterales	Actinobacteriota	8	5	7
public_SRR11456913_metawrap_bin.19	Propionibacteriaceae	Propionibacteriales	Actinobacteriota	6	7	6
public_SRR11456913_metawrap_bin.21	UBA10450	Chthoniobacterales	Verrucomicrobiota	8	5	7
public_SRR11456913_metawrap_bin.22	Chitinophagaceae	Chitinophagales	Bacteroidota	9	11	4
public_SRR11456913_metawrap_bin.23	Microbacteriaceae	Actinomycetales	Actinobacteriota	6	7	6
public_SRR11456913_metawrap_bin.25	Jatrophihabitantaceae	Mycobacteriales	Actinobacteriota	6	7	6
public_SRR11456913_metawrap_bin.3	Sphingobacteriaceae	Sphingobacteriales	Bacteroidota	9	11	4
public_SRR11456913_metawrap_bin.6	Acetobacteraceae	Acetobacterales	Proteobacteria	4	12	2
public_SRR11456913_metawrap_bin.8	Jatrophihabitantaceae	Mycobacteriales	Actinobacteriota	6	7	6
public_SRR11456914_metawrap_bin.11	UBA10450	Chthoniobacterales	Verrucomicrobiota	8	5	7
public_SRR11456914_metawrap_bin.12	Acetobacteraceae	Acetobacterales	Proteobacteria	4	12	2
public_SRR11456914_metawrap_bin.13	Microbacteriaceae	Actinomycetales	Actinobacteriota	6	7	6
public_SRR11456914_metawrap_bin.14	Deinococcaceae	Deinococcales	Deinococcota	0	3	16
public_SRR11456914_metawrap_bin.15	Armatimonadaceae	Armatimonadales	Armatimonadota	5	8	14
