Module	Module Description	KO	Symbol	Name	EC	InterPro
M00572	"Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP"	K02169	bioC	malonyl-CoA O-methyltransferase	2.1.1.197	IPR011814
M00572	"Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP"	K00647	fabB	3-oxoacyl-[acyl-carrier-protein] synthase I	2.3.1.41	IPR000794
M00572	"Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP"	K09458	fabF	3-oxoacyl-[acyl-carrier-protein] synthase II	2.3.1.179	IPR017568
M00572	"Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP"	K00059	fabG	3-oxoacyl-[acyl-carrier protein] reductase	1.1.1.100	IPR011284
M00572	"Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP"	K02372	fabZ	3-hydroxyacyl-[acyl-carrier-protein] dehydratase	4.2.1.59	IPR010084
M00572	"Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP"	K00208	fabI	enoyl-[acyl-carrier protein] reductase I	1.3.1.9;1.3.1.10	IPR014358
M00572	"Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP"	K02170	bioH	pimeloyl-[acyl-carrier protein] methyl ester esterase	3.1.1.85	IPR010076
M00572	"Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP"	K09789	bioG	pimeloyl-[acyl-carrier protein] methyl ester esterase	3.1.1.85	IPR007398
M00572	"Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP"	K19560	bioK	pimeloyl-[acyl-carrier protein] methyl ester esterase	3.1.1.85	
M00572	"Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP"	K19561	bioJ	pimeloyl-[acyl-carrier protein] methyl ester esterase	3.1.1.85	
M00123	"Biotin biosynthesis, pimeloyl-ACP/CoA => biotin"	K00652	bioF	8-amino-7-oxononanoate synthase	2.3.1.47Ê	
M00123	"Biotin biosynthesis, pimeloyl-ACP/CoA => biotin"	K00833	bioA	adenosylmethionine---8-amino-7-oxononanoate aminotransferase	2.6.1.62	IPR005815
M00123	"Biotin biosynthesis, pimeloyl-ACP/CoA => biotin"	K19563	bioA	lysine---8-amino-7-oxononanoate aminotransferase	2.6.1.105	IPR005815
M00123	"Biotin biosynthesis, pimeloyl-ACP/CoA => biotin"	K01935	bioD	dethiobiotin synthetase	6.3.3.3	IPR004472
M00123	"Biotin biosynthesis, pimeloyl-ACP/CoA => biotin"	K19562	BIO3-BIO1	bifunctional dethiobiotin synthetase;adenosylmethionine---8-amino-7-oxononanoate aminotransferase	2.6.1.62;6.3.3.3	
M00123	"Biotin biosynthesis, pimeloyl-ACP/CoA => biotin"	K01012	bioB	biotin synthase	2.8.1.6	IPR024177
