Genome	group	locustag	lichen_species	role_in_lichen	classification	NCBI_ID
private_GTX0158_concoct_bin.31	fungus	GTX0158b31	Gomphillus americanus	mycobiont	Gomphillus americanus	1940652 248111 1130097 71598 38074 388283 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
private_GTX0163_concoct_bin.14	fungus	GTX0163b14	Heterodermia speciosa	mycobiont	Heterodermia speciosa	116794 114962 50934 1302181 388435 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
private_T1867_concoct_bin.8	fungus	T1867b8	Xylographa vitiligo	mycobiont	Xylographa vitiligo	223429 223428 1520784 1520783 388283 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
private_T1868_concoct_bin.12	fungus	T1868b12	Ptychographa xylographoides	mycobiont	Ptychographa xylographoides	223409 223408 1520784 1520783 388283 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
private_T1881_metabat2_bin.5	fungus	T1881b5	Hypocenomyce scalaris	mycobiont	Hypocenomyce scalaris	318760 318731 145976 452227 1520791 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
private_T1882_concoct_bin.24	fungus	T1882b24	Acarospora aff. strigata	mycobiont	Acarospora aff. strigata	2871812 88747 88746 157821 388282 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
private_T1888_metabat2_bin.51	fungus	T1888b51	Puttea exsequens	mycobiont	Puttea exsequens	2918520 1206384 202888 5197 388435 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
private_T1888_metabat2_bin.52	fungus	T1888b52	Puttea exsequens	fungi_other	Eurotiomycetes	147545 716546 147538 716545 4890 451864 4751 33154 2759 131567 
private_T1889_concoct_bin.13	fungus	T1889b13	Xylographa carneopallida	mycobiont	Xylographa carneopallida	1590122 223428 1520784 1520783 388283 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
private_T1889_concoct_bin.16	alga	T1889b16	Xylographa carneopallida	photobiont_chloro	Elliptochloris clade	2511161 75981 75966 2692248 3041 33090 2759 131567 
private_T1894_concoct_bin.66	alga	T1894b66	Bachmanniomyces sp. S44760	photobiont_chloro	Elliptochloris clade	2511161 75981 75966 2692248 3041 33090 2759 131567 
private_T1894_metabat2_bin.4	fungus	T1894b4	Bachmanniomyces sp. S44760	mycobiont	Bachmanniomyces sp. S44760	2918519 2918518 2029767 388397 388283 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
private_T1904_concoct_bin.38	alga	T1904b38	Toensbergia leucococca	photobiont_chloro	Trebouxia	13786 2507902 2507901 75966 2692248 3041 33090 2759 131567 
private_T1904_metabat2_bin.21	fungus	T1904b21	Toensbergia leucococca	mycobiont	Toensbergia leucococca	1453789 1454054 1454053 1500427 388435 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
private_T1914_concoct_bin.19	fungus	T1914b19	Mycoblastus sanguinarius	fungi_other	Eurotiomycetes	147545 716546 147538 716545 4890 451864 4751 33154 2759 131567 
private_T1914_metabat2_bin.5	fungus	T1914b5	Mycoblastus sanguinarius	mycobiont	Mycoblastus sanguinarius	312200 312194 312193 157822 5197 388435 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
private_T1916_concoct_bin.29	fungus	T1916b29	Thelotrema lepadinum	mycobiont	Thelotrema lepadinum	209281 208717 1130107 1130102 71598 38074 388283 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
private_TS1974_concoct_bin.10	fungus	TS1974b10	Imshaugia aleurites	mycobiont	Imshaugia aleurites	172621 172620 78060 157822 5197 388435 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
private_VT12_concoct_bin.10	fungus	VT12b10	Kaernefeltia merrillii	mycobiont	Kaernefeltia merrillii	78118 78117 78060 157822 5197 388435 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
private_VT15_metabat2_bin.1	fungus	VT15b1	Flavocetraria cucullata	mycobiont	Flavocetraria cucullata	78068 78067 78060 157822 5197 388435 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
private_VT16_concoct_bin.11	fungus	VT16b11	Punctelia caseana	mycobiont	Punctelia caseana	797090 172638 78060 157822 5197 388435 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
private_VT2_concoct_bin.17	fungus	VT2b17	Vulpicida juniperinus	mycobiont	Vulpicida juniperinus	87264 78076 78060 157822 5197 388435 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
private_VT31_metabat2_bin.4	fungus	VT31b4	Bryoria fremontii	mycobiont	Bryoria fremontii	283295 87254 78060 157822 5197 388435 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
private_VT33_concoct_bin.0	fungus	VT33b0	Allantoparmelia	mycobiont	Allantoparmelia	180469 78060 157822 5197 388435 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
private_VT34_metabat2_bin.11	fungus	VT34b11	Gypsoplaca macrophylla	mycobiont	Gypsoplaca macrophylla	400696 400695 388442 157822 5197 388435 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
private_X10_concoct_bin.7	alga	X10b7	Sulcaria badia	photobiont_chloro	Trebouxia	13786 2507902 2507901 75966 2692248 3041 33090 2759 131567 
private_X13_concoct_bin.5	fungus	X13b5	Loxospora cismonica	mycobiont	Loxospora cismonica	404707 107435 388443 1519617 388283 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
private_X14_concoct_bin.2	fungus	X14b2	Hypogymnia physodes	mycobiont	Hypogymnia physodes	87259 87258 78060 157822 5197 388435 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
private_X15_concoct_bin.2	fungus	X15b2	Schaereria dolodes	mycobiont	Schaereria dolodes	1042397 129545 1520785 1519617 388283 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
