	cluster	Rank_1	Rank_2	Rank_3	Description
M00001_1	1	Pathway Modules	Carbohydrate metabolism	Central carbohydrate metabolism	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
M00002_1	1	Pathway Modules	Carbohydrate metabolism	Central carbohydrate metabolism	Glycolysis, core module involving three-carbon compounds
M00003_1	1	Pathway Modules	Carbohydrate metabolism	Central carbohydrate metabolism	Gluconeogenesis, oxaloacetate => fructose-6P
M00307_1	1	Pathway Modules	Carbohydrate metabolism	Central carbohydrate metabolism	Pyruvate oxidation, pyruvate => acetyl-CoA
M00009_1	1	Pathway Modules	Carbohydrate metabolism	Central carbohydrate metabolism	Citrate cycle (TCA cycle, Krebs cycle)
M00010_1	1	Pathway Modules	Carbohydrate metabolism	Central carbohydrate metabolism	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate
M00011_1	1	Pathway Modules	Carbohydrate metabolism	Central carbohydrate metabolism	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
M00004_1	1	Pathway Modules	Carbohydrate metabolism	Central carbohydrate metabolism	Pentose phosphate pathway (Pentose phosphate cycle)
M00006_1	1	Pathway Modules	Carbohydrate metabolism	Central carbohydrate metabolism	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P
M00007_1	1	Pathway Modules	Carbohydrate metabolism	Central carbohydrate metabolism	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P
M00580_1	1	Pathway Modules	Carbohydrate metabolism	Central carbohydrate metabolism	Pentose phosphate pathway, archaea, fructose 6P => ribose 5P
M00005_1	1	Pathway Modules	Carbohydrate metabolism	Central carbohydrate metabolism	PRPP biosynthesis, ribose 5P => PRPP
M00008_1	1	Pathway Modules	Carbohydrate metabolism	Central carbohydrate metabolism	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate
M00308_1	1	Pathway Modules	Carbohydrate metabolism	Central carbohydrate metabolism	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P
M00014_1	2	Pathway Modules	Carbohydrate metabolism	Other carbohydrate metabolism	Glucuronate pathway (uronate pathway)
