metagenome_group	bac_family	bac_order	bac_phylum	occ_total
Whole dataset	Acetobacteraceae	Acetobacterales	Proteobacteria	405
Whole dataset	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	240
Whole dataset	Beijerinckiaceae	Rhizobiales	Proteobacteria	238
Whole dataset	Sphingomonadaceae	Sphingomonadales	Proteobacteria	103
Whole dataset	UBA10450	Chthoniobacterales	Verrucomicrobiota	68
Whole dataset	Nostocaceae	Cyanobacteriales	Cyanobacteria	55
Whole dataset	Caulobacteraceae	Caulobacterales	Proteobacteria	50
Whole dataset	Ktedonobacteraceae	Ktedonobacterales	Chloroflexota	46
Whole dataset	Bryobacteraceae	Bryobacterales	Acidobacteriota	36
Whole dataset	Burkholderiaceae	Burkholderiales	Proteobacteria	26
Acarosporales	Acetobacteraceae	Acetobacterales	Proteobacteria	4
Acarosporales	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	4
Acarosporales	Bryobacteraceae	Bryobacterales	Acidobacteriota	4
Acarosporales	Ktedonobacteraceae	Ktedonobacterales	Chloroflexota	4
Acarosporales	Beijerinckiaceae	Rhizobiales	Proteobacteria	2
Acarosporales	Capsulimonadaceae	Armatimonadales	Armatimonadota	1
Acarosporales	Chroococcidiopsidaceae	Cyanobacteriales	Cyanobacteria	1
Acarosporales	Nostocaceae	Cyanobacteriales	Cyanobacteria	1
Arthoniomycetes	Acetobacteraceae	Acetobacterales	Proteobacteria	6
Arthoniomycetes	Jatrophihabitantaceae	Mycobacteriales	Actinobacteriota	4
Arthoniomycetes	UBA10450	Chthoniobacterales	Verrucomicrobiota	3
Arthoniomycetes	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	2
Arthoniomycetes	Microbacteriaceae	Actinomycetales	Actinobacteriota	1
Arthoniomycetes	Sphingomonadaceae	Sphingomonadales	Proteobacteria	1
Baeomycetales	Acetobacteraceae	Acetobacterales	Proteobacteria	43
Baeomycetales	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	15
Baeomycetales	Beijerinckiaceae	Rhizobiales	Proteobacteria	9
Baeomycetales	Sphingomonadaceae	Sphingomonadales	Proteobacteria	6
Baeomycetales	Hymenobacteraceae	Cytophagales	Bacteroidota	3
Baeomycetales	Capsulimonadaceae	Armatimonadales	Armatimonadota	2
Baeomycetales	Nostocaceae	Cyanobacteriales	Cyanobacteria	2
Baeomycetales	Rubrobacteraceae	Rubrobacterales	Actinobacteriota	2
Baeomycetales	Trueperaceae	Deinococcales	Deinococcota	2
Baeomycetales	Abditibacteriaceae	Abditibacteriales	Armatimonadota	1
Caliciales	Beijerinckiaceae	Rhizobiales	Proteobacteria	15
Caliciales	Acetobacteraceae	Acetobacterales	Proteobacteria	13
Caliciales	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	10
Caliciales	Sphingomonadaceae	Sphingomonadales	Proteobacteria	10
Caliciales	UBA10450	Chthoniobacterales	Verrucomicrobiota	7
Caliciales	Bryobacteraceae	Bryobacterales	Acidobacteriota	5
Caliciales	Nostocaceae	Cyanobacteriales	Cyanobacteria	5
Caliciales	Hymenobacteraceae	Cytophagales	Bacteroidota	4
Caliciales	Solirubrobacteraceae	Solirubrobacterales	Actinobacteriota	3
Caliciales	Burkholderiaceae	Burkholderiales	Proteobacteria	2
Dothideomycetes	Acetobacteraceae	Acetobacterales	Proteobacteria	2
Dothideomycetes	Kineosporiaceae	Actinomycetales	Actinobacteriota	1
Dothideomycetes	MT37	Mycoplasmatales	Firmicutes	1
Dothideomycetes	UBA10450	Chthoniobacterales	Verrucomicrobiota	1
Eurotiomycetes	Acetobacteraceae	Acetobacterales	Proteobacteria	2
Eurotiomycetes	Ktedonobacteraceae	Ktedonobacterales	Chloroflexota	2
Eurotiomycetes	Beijerinckiaceae	Rhizobiales	Proteobacteria	1
Eurotiomycetes	Kineosporiaceae	Actinomycetales	Actinobacteriota	1
Eurotiomycetes	Propionibacteriaceae	Propionibacteriales	Actinobacteriota	1
Eurotiomycetes	Rubrobacteraceae	Rubrobacterales	Actinobacteriota	1
Eurotiomycetes	Trueperaceae	Deinococcales	Deinococcota	1
Gyalectales	Beijerinckiaceae	Rhizobiales	Proteobacteria	11
Gyalectales	Acetobacteraceae	Acetobacterales	Proteobacteria	10
Gyalectales	Caulobacteraceae	Caulobacterales	Proteobacteria	6
Gyalectales	UBA10450	Chthoniobacterales	Verrucomicrobiota	5
Gyalectales	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	4
Gyalectales	Sphingobacteriaceae	Sphingobacteriales	Bacteroidota	3
Gyalectales	Bryobacteraceae	Bryobacterales	Acidobacteriota	1
Gyalectales	Hymenobacteraceae	Cytophagales	Bacteroidota	1
Gyalectales	Ktedonobacteraceae	Ktedonobacterales	Chloroflexota	1
Gyalectales	Nostocaceae	Cyanobacteriales	Cyanobacteria	1
Lecanorales	Acetobacteraceae	Acetobacterales	Proteobacteria	225
Lecanorales	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	142
Lecanorales	Beijerinckiaceae	Rhizobiales	Proteobacteria	122
Lecanorales	UBA10450	Chthoniobacterales	Verrucomicrobiota	31
Lecanorales	Caulobacteraceae	Caulobacterales	Proteobacteria	28
