metagenome_group	bac_genus2	bac_family	bac_order	bac_phylum	occ_total
Whole dataset	Lichenihabitans	Beijerinckiaceae	Rhizobiales	Proteobacteria	139
Whole dataset	CAHJXG01	Acetobacteraceae	Acetobacterales	Proteobacteria	103
Whole dataset	Acetobacteraceae gen. sp.	Acetobacteraceae	Acetobacterales	Proteobacteria	79
Whole dataset	LMUY01	Acetobacteraceae	Acetobacterales	Proteobacteria	79
Whole dataset	EB88	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	59
Whole dataset	RH-AL1	Beijerinckiaceae	Rhizobiales	Proteobacteria	59
Whole dataset	CAIMSN01	Acetobacteraceae	Acetobacterales	Proteobacteria	56
Whole dataset	CAHJWO01	UBA10450	Chthoniobacterales	Verrucomicrobiota	54
Whole dataset	Terriglobus	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	45
Whole dataset	Nostoc	Nostocaceae	Cyanobacteriales	Cyanobacteria	43
Acarosporales	Bryobacteraceae gen. sp.	Bryobacteraceae	Bryobacterales	Acidobacteriota	4
Acarosporales	CAHJXG01	Acetobacteraceae	Acetobacterales	Proteobacteria	2
Acarosporales	DTNP01	Ktedonobacteraceae	Ktedonobacterales	Chloroflexota	2
Acarosporales	Ktedonobacteraceae gen. sp.	Ktedonobacteraceae	Ktedonobacterales	Chloroflexota	2
Acarosporales	Lichenihabitans	Beijerinckiaceae	Rhizobiales	Proteobacteria	2
Acarosporales	Tous-C9LFEB	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	2
Acarosporales	CAIVAU01	Nostocaceae	Cyanobacteriales	Cyanobacteria	1
Acarosporales	Capsulimonadaceae gen. sp.	Capsulimonadaceae	Armatimonadales	Armatimonadota	1
Acarosporales	Chroococcidiopsidaceae gen. sp.	Chroococcidiopsidaceae	Cyanobacteriales	Cyanobacteria	1
Acarosporales	Rhodopila	Acetobacteraceae	Acetobacterales	Proteobacteria	1
Arthoniomycetes	Acetobacteraceae gen. sp.	Acetobacteraceae	Acetobacterales	Proteobacteria	4
Arthoniomycetes	Jatrophihabitans	Jatrophihabitantaceae	Mycobacteriales	Actinobacteriota	4
Arthoniomycetes	CAHJWO01	UBA10450	Chthoniobacterales	Verrucomicrobiota	3
Arthoniomycetes	VCDI01	Acetobacteraceae	Acetobacterales	Proteobacteria	2
Arthoniomycetes	Allosphingosinicella	Sphingomonadaceae	Sphingomonadales	Proteobacteria	1
Arthoniomycetes	Amnibacterium	Microbacteriaceae	Actinomycetales	Actinobacteriota	1
Arthoniomycetes	CAHJWL01	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	1
Arthoniomycetes	EB88	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	1
Baeomycetales	CAHJXG01	Acetobacteraceae	Acetobacterales	Proteobacteria	11
Baeomycetales	LMUY01	Acetobacteraceae	Acetobacterales	Proteobacteria	11
Baeomycetales	CAIMSN01	Acetobacteraceae	Acetobacterales	Proteobacteria	7
Baeomycetales	VCDI01	Acetobacteraceae	Acetobacterales	Proteobacteria	7
Baeomycetales	EB88	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	5
Baeomycetales	Lichenihabitans	Beijerinckiaceae	Rhizobiales	Proteobacteria	5
Baeomycetales	Terriglobus	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3
Baeomycetales	Acetobacteraceae gen. sp.	Acetobacteraceae	Acetobacterales	Proteobacteria	2
Baeomycetales	BOG-908	Acetobacteraceae	Acetobacterales	Proteobacteria	2
Baeomycetales	Capsulimonadaceae gen. sp.	Capsulimonadaceae	Armatimonadales	Armatimonadota	2
Caliciales	Lichenihabitans	Beijerinckiaceae	Rhizobiales	Proteobacteria	14
Caliciales	CAHJXG01	Acetobacteraceae	Acetobacterales	Proteobacteria	13
Caliciales	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Proteobacteria	6
Caliciales	Bryobacteraceae gen. sp.	Bryobacteraceae	Bryobacterales	Acidobacteriota	5
Caliciales	CAHJWO01	UBA10450	Chthoniobacterales	Verrucomicrobiota	5
Caliciales	Nostoc	Nostocaceae	Cyanobacteriales	Cyanobacteria	5
Caliciales	EB88	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	4
Caliciales	Hymenobacter	Hymenobacteraceae	Cytophagales	Bacteroidota	4
Caliciales	Terriglobus	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	4
Caliciales	Solirubrobacteraceae gen. sp.	Solirubrobacteraceae	Solirubrobacterales	Actinobacteriota	2
Dothideomycetes	Acetobacteraceae gen. sp.	Acetobacteraceae	Acetobacterales	Proteobacteria	1
Dothideomycetes	CAHJWO01	UBA10450	Chthoniobacterales	Verrucomicrobiota	1
Dothideomycetes	Spiroplasma_C	MT37	Mycoplasmatales	Firmicutes	1
Dothideomycetes	VCDI01	Acetobacteraceae	Acetobacterales	Proteobacteria	1
Eurotiomycetes	Acetobacteraceae gen. sp.	Acetobacteraceae	Acetobacterales	Proteobacteria	1
Eurotiomycetes	CAIMSN01	Acetobacteraceae	Acetobacterales	Proteobacteria	1
Eurotiomycetes	DTNP01	Ktedonobacteraceae	Ktedonobacterales	Chloroflexota	1
Eurotiomycetes	Kineosporia	Kineosporiaceae	Actinomycetales	Actinobacteriota	1
Eurotiomycetes	Ktedonobacteraceae gen. sp.	Ktedonobacteraceae	Ktedonobacterales	Chloroflexota	1
Eurotiomycetes	Lichenihabitans	Beijerinckiaceae	Rhizobiales	Proteobacteria	1
Eurotiomycetes	Propionibacteriaceae gen. sp.	Propionibacteriaceae	Propionibacteriales	Actinobacteriota	1
Eurotiomycetes	SCSIO-52909	Rubrobacteraceae	Rubrobacterales	Actinobacteriota	1
Eurotiomycetes	Truepera	Trueperaceae	Deinococcales	Deinococcota	1
Gyalectales	Lichenihabitans	Beijerinckiaceae	Rhizobiales	Proteobacteria	6
Gyalectales	CAHJWO01	UBA10450	Chthoniobacterales	Verrucomicrobiota	5
Gyalectales	LMUY01	Acetobacteraceae	Acetobacterales	Proteobacteria	4
Gyalectales	RH-AL1	Beijerinckiaceae	Rhizobiales	Proteobacteria	4
Gyalectales	Mucilaginibacter	Sphingobacteriaceae	Sphingobacteriales	Bacteroidota	3
Gyalectales	CAHJWH01	Caulobacteraceae	Caulobacterales	Proteobacteria	2
Gyalectales	CAHJXG01	Acetobacteraceae	Acetobacterales	Proteobacteria	2
Gyalectales	Caulobacteraceae gen. sp.	Caulobacteraceae	Caulobacterales	Proteobacteria	2
Gyalectales	PMMR1	Caulobacteraceae	Caulobacterales	Proteobacteria	2
Gyalectales	VCDI01	Acetobacteraceae	Acetobacterales	Proteobacteria	2
Lecanorales	Lichenihabitans	Beijerinckiaceae	Rhizobiales	Proteobacteria	68
Lecanorales	LMUY01	Acetobacteraceae	Acetobacterales	Proteobacteria	55
Lecanorales	Acetobacteraceae gen. sp.	Acetobacteraceae	Acetobacterales	Proteobacteria	52
Lecanorales	RH-AL1	Beijerinckiaceae	Rhizobiales	Proteobacteria	46
Lecanorales	CAIMSN01	Acetobacteraceae	Acetobacterales	Proteobacteria	37
Lecanorales	CAHJWO01	UBA10450	Chthoniobacterales	Verrucomicrobiota	31
Lecanorales	EB88	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	31
Lecanorales	CAHJXG01	Acetobacteraceae	Acetobacterales	Proteobacteria	27
Lecanorales	CAHJWL01	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	26
Lecanorales	Granulicella_C	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	26
Lecideales	EB88	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	5
Lecideales	CAHJXG01	Acetobacteraceae	Acetobacterales	Proteobacteria	4
Lecideales	Acetobacteraceae gen. sp.	Acetobacteraceae	Acetobacterales	Proteobacteria	3
Lecideales	Tous-C9LFEB	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3
Lecideales	LMUY01	Acetobacteraceae	Acetobacterales	Proteobacteria	2
Lecideales	Terriglobus	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	2
Lecideales	Bryobacteraceae gen. sp.	Bryobacteraceae	Bryobacterales	Acidobacteriota	1
Lecideales	CAHJWL01	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	1
Lecideales	CAHJWT01	Sphingomonadaceae	Sphingomonadales	Proteobacteria	1
Lecideales	Lichenihabitans	Beijerinckiaceae	Rhizobiales	Proteobacteria	1
Leprocaulales	CAHJXG01	Acetobacteraceae	Acetobacterales	Proteobacteria	2
Leprocaulales	Bryobacteraceae gen. sp.	Bryobacteraceae	Bryobacterales	Acidobacteriota	1
Leprocaulales	Dictyobacter	Ktedonobacteraceae	Ktedonobacterales	Chloroflexota	1
Leprocaulales	Ktedonobacteraceae gen. sp.	Ktedonobacteraceae	Ktedonobacterales	Chloroflexota	1
Leprocaulales	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Proteobacteria	1
Lichinomycetes	DTNP01	Ktedonobacteraceae	Ktedonobacterales	Chloroflexota	2
Lichinomycetes	Bryobacteraceae gen. sp.	Bryobacteraceae	Bryobacterales	Acidobacteriota	1
Lichinomycetes	CAIVAU01	Nostocaceae	Cyanobacteriales	Cyanobacteria	1
Lichinomycetes	Calothrix	Nostocaceae	Cyanobacteriales	Cyanobacteria	1
Lichinomycetes	CF-113	Ktedonobacteraceae	Ktedonobacterales	Chloroflexota	1
Lichinomycetes	Chroococcidiopsis	Chroococcidiopsidaceae	Cyanobacteriales	Cyanobacteria	1
Lichinomycetes	Ktedonobacteraceae gen. sp.	Ktedonobacteraceae	Ktedonobacterales	Chloroflexota	1
Lichinomycetes	Leptolyngbya	Leptolyngbyaceae	Leptolyngbyales	Cyanobacteria	1
Lichinomycetes	Leptolyngbyaceae gen. sp.	Leptolyngbyaceae	Leptolyngbyales	Cyanobacteria	1
Lichinomycetes	Pseudonocardia	Pseudonocardiaceae	Mycobacteriales	Actinobacteriota	1
Ostropomycetidae ins. ced.	CAIMSN01	Acetobacteraceae	Acetobacterales	Proteobacteria	5
Ostropomycetidae ins. ced.	BOG-908	Acetobacteraceae	Acetobacterales	Proteobacteria	2
