label_genus	median_relative_cov	bac_family2	bac_order	bac_phylum
70-9 gen. sp.	0.0531755547415469	Unknown	Solirubrobacterales	Actinobacteriota
Abditibacterium	0.0611919612286933	Abditibacterium	Abditibacteriales	Armatimonadota
Acetobacteraceae gen. sp.	0.0812923902713358	Unknown	Acetobacterales	Proteobacteria
Acidisphaera	0.189291360953021	Acidisphaera	Acetobacterales	Proteobacteria
Acidobacteriaceae gen. sp.	0.0415632414467265	Unknown	Acidobacteriales	Acidobacteriota
Acidocella	0.215944798726087	Acidocella	Acetobacterales	Proteobacteria
Actinoplanes	0.0347478384174349	Actinoplanes	Mycobacteriales	Actinobacteriota
Aestuariivirga	0.566167424035212	Aestuariivirga	Rhizobiales	Proteobacteria
Allosphingosinicella	0.380362729346881	Allosphingosinicella	Sphingomonadales	Proteobacteria
Amnibacterium	0.133334059650849	Amnibacterium	Actinomycetales	Actinobacteriota
Armatimonadaceae gen. sp.	0.0297471817930338	Unknown	Armatimonadales	Armatimonadota
Aureimonas_A	0.286492922197796	Aureimonas_A	Rhizobiales	Proteobacteria
Baltobacteraceae gen. sp.	0.320316924405046	Unknown	Baltobacterales	Eremiobacterota
Beijerinckiaceae gen. sp.	0.262221671206326	Unknown	Rhizobiales	Proteobacteria
Bog-113	0.194827387434187	Bog-113	Bryobacterales	Acidobacteriota
Bog-532	0.194766436090818	Bog-532	Streptosporangiales	Actinobacteriota
BOG-908	0.0890480329085449	BOG-908	Acetobacterales	Proteobacteria
Bradyrhizobium	1.22600669014899	Bradyrhizobium	Rhizobiales	Proteobacteria
Bryobacteraceae gen. sp.	0.113421747025034	Unknown	Bryobacterales	Acidobacteriota
Bryocella	0.119588233045138	Bryocella	Acidobacteriales	Acidobacteriota
Caballeronia	0.0164821674779459	Caballeronia	Burkholderiales	Proteobacteria
CADCVW01	0.0446840638900801	CADCVW01	Sphingomonadales	Proteobacteria
CADCWK01	0.0264569797200369	CADCWK01	Thermomicrobiales	Chloroflexota
CAHJWH01	0.1334708455562	CAHJWH01	Caulobacterales	Proteobacteria
CAHJWL01	0.0806927415714577	CAHJWL01	Acidobacteriales	Acidobacteriota
CAHJWO01	0.10428645852573	CAHJWO01	Chthoniobacterales	Verrucomicrobiota
CAHJWT01	0.141015080524841	CAHJWT01	Sphingomonadales	Proteobacteria
CAHJXF01	0.126710835074741	CAHJXF01	Burkholderiales	Proteobacteria
CAHJXG01	0.0843464446066853	CAHJXG01	Acetobacterales	Proteobacteria
CAIMSN01	0.048982786839888	CAIMSN01	Acetobacterales	Proteobacteria
CAIOYC01	0.20188524968481	CAIOYC01	Caulobacterales	Proteobacteria
CAIQPK01	0.85969668836201	CAIQPK01	Acidobacteriales	Acidobacteriota
CAIVAU01	0.715220602514622	CAIVAU01	Cyanobacteriales	Cyanobacteria
CAJCIS01	1.21343603474417	CAJCIS01	Acetobacterales	Proteobacteria
CAJCIY01	0.381838486782845	CAJCIY01	Mycobacteriales	Actinobacteriota
Calothrix	0.0806308521758334	Calothrix	Cyanobacteriales	Cyanobacteria
Capsulimonadaceae gen. sp.	0.0622188693120965	Unknown	Armatimonadales	Armatimonadota
Caulobacteraceae gen. sp.	0.0940226460747961	Unknown	Caulobacterales	Proteobacteria
CF-113	1.33340198591192	CF-113	Ktedonobacterales	Chloroflexota
Chitinophagaceae gen. sp.	0.0241451067304315	Unknown	Chitinophagales	Bacteroidota
Chroococcidiopsidaceae gen. sp.	0.421664940799875	Unknown	Cyanobacteriales	Cyanobacteria
Chroococcidiopsis	1.48527045853503	Chroococcidiopsis	Cyanobacteriales	Cyanobacteria
Chthoniobacteraceae gen. sp.	0.073549194514947	Unknown	Chthoniobacterales	Verrucomicrobiota
Chthonomonadaceae gen. sp.	0.222434546227716	Unknown	Chthonomonadales	Armatimonadota
Cutibacterium	0.0125518239660525	Cutibacterium	Propionibacteriales	Actinobacteriota
Cyclobacteriaceae gen. sp.	0.15745587910143	Unknown	Cytophagales	Bacteroidota
Cyphobasidium	0.00494722483072793	NA	NA	NA
Deinococcaceae gen. sp.	0.0415433848707011	Unknown	Deinococcales	Deinococcota
Deinococcus	0.0187260914477307	Deinococcus	Deinococcales	Deinococcota
Devosia	0.142747846030458	Devosia	Rhizobiales	Proteobacteria
Dictyobacter	0.20266385884615	Dictyobacter	Ktedonobacterales	Chloroflexota
DTNP01	0.272453719391546	DTNP01	Ktedonobacterales	Chloroflexota
EB88	0.146274479718105	EB88	Acidobacteriales	Acidobacteriota
Enterovirga	0.0225129274414313	Enterovirga	Rhizobiales	Proteobacteria
Ferruginibacter	0.0773282232555091	Ferruginibacter	Chitinophagales	Bacteroidota
Fibrella	0.0890647050286521	Fibrella	Cytophagales	Bacteroidota
Fimbriiglobus	0.0254078536485048	Fimbriiglobus	Gemmatales	Planctomycetota
Fimbriimonas	0.0237153851426446	Fimbriimonas	Fimbriimonadales	Armatimonadota
Flavihumibacter	0.0514908213525551	Flavihumibacter	Chitinophagales	Bacteroidota
Friedmanniella	0.0492837529616914	Friedmanniella	Propionibacteriales	Actinobacteriota
GCA-002050365	0.151606595301279	GCA-002050365	Pyrinomonadales	Acidobacteriota
GCA-003244245	0.366339121639728	GCA-003244245	Mycobacteriales	Actinobacteriota
Granulicella_B	0.28384014954194	Granulicella_B	Acidobacteriales	Acidobacteriota
Granulicella_C	0.113656542067773	Granulicella_C	Acidobacteriales	Acidobacteriota
Green Algal Photobiont	0.0454192408331354	NA	NA	NA
Hassallia	0.130586595951992	Hassallia	Cyanobacteriales	Cyanobacteria
HMF7410	0.223654023591571	HMF7410	Sphingobacteriales	Bacteroidota
Hydrocarboniphaga	0.092909060013736	Hydrocarboniphaga	Nevskiales	Proteobacteria
Hymenobacter	0.0686720584760712	Hymenobacter	Cytophagales	Bacteroidota
Hymenobacteraceae gen. sp.	0.0581666352877678	Unknown	Cytophagales	Bacteroidota
Hyphomicrobium	0.240121542294005	Hyphomicrobium	Rhizobiales	Proteobacteria
Ilyomonas	0.0489972069332156	Ilyomonas	Chitinophagales	Bacteroidota
Iso899	0.289414606520852	Iso899	Mycobacteriales	Actinobacteriota
JAAFHZ01	0.737665291806475	JAAFHZ01	Cyanobacteriales	Cyanobacteria
JAAFIG01 gen. sp.	0.327658421572606	Unknown	Deinococcales	Deinococcota
JABFXA01	0.131989115280452	JABFXA01	Propionibacteriales	Actinobacteriota
JACCRA01	0.313464846323357	JACCRA01	Pyrinomonadales	Acidobacteriota
JACCTI01	0.129570456066147	JACCTI01	Chthoniobacterales	Verrucomicrobiota
JACCYI01	0.4345217609956	JACCYI01	Solirubrobacterales	Actinobacteriota
JACCYX01	0.0842057488035872	JACCYX01	Thermomicrobiales	Chloroflexota
JACDEG01	0.938648459621158	JACDEG01	Pyrinomonadales	Acidobacteriota
JACMIU01	0.0158126157130855	JACMIU01	Armatimonadales	Armatimonadota
JACMJD01	0.0660350424398917	JACMJD01	UBA1161	Planctomycetota
JACMLC01	1.17967154262154	JACMLC01	Pyrinomonadales	Acidobacteriota
JACMOY01	0.0179984835654444	JACMOY01	Actinomycetales	Actinobacteriota
Jatrophihabitans	0.310586168859042	Jatrophihabitans	Mycobacteriales	Actinobacteriota
Jatrophihabitantaceae gen. sp.	0.197231456476256	Unknown	Mycobacteriales	Actinobacteriota
KBS-83	0.15073587142277	KBS-83	Acidobacteriales	Acidobacteriota
KBS-96	0.281072935010653	KBS-96	Bryobacterales	Acidobacteriota
