sample	bac_genus2	bac_family	bac_order	cluster_id	mibig_class	jaccard	nearest_mibig
private_T1887_metawrap_bin.15	CAHJXG01	Acetobacteraceae	Acetobacterales	CDHNFEPB_16_emrld_1	Other	0.583	BGC0000902
private_T1887_metawrap_bin.15	CAHJXG01	Acetobacteraceae	Acetobacterales	CDHNFEPB_27_emrld_1	Terpene	0.597	BGC0000663
private_T1887_metawrap_bin.15	CAHJXG01	Acetobacteraceae	Acetobacterales	CDHNFEPB_49_emrld_1	Other	0.688	BGC0001223
private_T1887_metawrap_bin.3	Sphingomonas	Sphingomonadaceae	Sphingomonadales	NDKDIEMC_12_emrld_1	Saccharide	0.648	BGC0000768
private_T1887_metawrap_bin.3	Sphingomonas	Sphingomonadaceae	Sphingomonadales	NDKDIEMC_24_emrld_1	Polyketide	0.615	BGC0000282
private_T1887_metawrap_bin.3	Sphingomonas	Sphingomonadaceae	Sphingomonadales	NDKDIEMC_55_emrld_1	Terpene	0.300	BGC0000656
private_T1889_metawrap_bin.2	CAIMSN01	Acetobacteraceae	Acetobacterales	BDPGLLEC_11_emrld_1	Saccharide	0.645	BGC0001589
private_T1889_metawrap_bin.2	CAIMSN01	Acetobacteraceae	Acetobacterales	BDPGLLEC_26_emrld_1	Polyketide	0.476	BGC0000228
private_T1894_metawrap_bin.4	VCDI01	Acetobacteraceae	Acetobacterales	BNBIICDD_16_emrld_1	Polyketide	0.560	BGC0000228
private_T1894_metawrap_bin.4	VCDI01	Acetobacteraceae	Acetobacterales	BNBIICDD_17_emrld_1	RiPP	0.588	BGC0000575
private_T1894_metawrap_bin.4	VCDI01	Acetobacteraceae	Acetobacterales	BNBIICDD_19_emrld_1	NRP	0.625	BGC0001993
private_T1894_metawrap_bin.4	VCDI01	Acetobacteraceae	Acetobacterales	BNBIICDD_5_emrld_1	Saccharide	0.603	BGC0000728
private_T1894_metawrap_bin.4	VCDI01	Acetobacteraceae	Acetobacterales	BNBIICDD_6_emrld_1	Other	0.651	BGC0001191
private_T1894_metawrap_bin.4	VCDI01	Acetobacteraceae	Acetobacterales	BNBIICDD_8_emrld_1	Other	0.512	BGC0002008
private_T1894_metawrap_bin.4	VCDI01	Acetobacteraceae	Acetobacterales	BNBIICDD_83_emrld_1	Other	0.300	BGC0001217
private_T1894_metawrap_bin.4	VCDI01	Acetobacteraceae	Acetobacterales	BNBIICDD_88_emrld_1	Other	0.400	BGC0001217
private_T1894_metawrap_bin.9	RH-AL1	Beijerinckiaceae	Rhizobiales	DFDLPCHA_10_emrld_1	Polyketide	0.605	BGC0000041
private_T1894_metawrap_bin.9	RH-AL1	Beijerinckiaceae	Rhizobiales	DFDLPCHA_102_emrld_1	Terpene	0.538	BGC0000645
private_T1894_metawrap_bin.9	RH-AL1	Beijerinckiaceae	Rhizobiales	DFDLPCHA_11_emrld_1	Polyketide	0.640	BGC0000228
private_T1894_metawrap_bin.9	RH-AL1	Beijerinckiaceae	Rhizobiales	DFDLPCHA_11_emrld_2	NRP	0.571	BGC0001135
private_T1894_metawrap_bin.9	RH-AL1	Beijerinckiaceae	Rhizobiales	DFDLPCHA_31_emrld_1	Polyketide	0.615	BGC0000131
private_T1894_metawrap_bin.9	RH-AL1	Beijerinckiaceae	Rhizobiales	DFDLPCHA_37_emrld_1	Terpene	0.678	BGC0000663
private_T1894_metawrap_bin.9	RH-AL1	Beijerinckiaceae	Rhizobiales	DFDLPCHA_56_emrld_1	Polyketide	0.677	BGC0000051
private_T1894_metawrap_bin.9	RH-AL1	Beijerinckiaceae	Rhizobiales	DFDLPCHA_65_emrld_1	Terpene	0.647	BGC0000647
private_T1904_metawrap_bin.1	CAIMSN01	Acetobacteraceae	Acetobacterales	BMGPLGCD_15_emrld_1	NRP	0.657	BGC0000426
private_T1904_metawrap_bin.1	CAIMSN01	Acetobacteraceae	Acetobacterales	BMGPLGCD_2_emrld_1	Polyketide	0.611	BGC0000228
private_T1904_metawrap_bin.1	CAIMSN01	Acetobacteraceae	Acetobacterales	BMGPLGCD_22_emrld_1	RiPP	0.692	BGC0001733
private_T1904_metawrap_bin.1	CAIMSN01	Acetobacteraceae	Acetobacterales	BMGPLGCD_3_emrld_1	Other	0.538	BGC0000920
private_T1904_metawrap_bin.1	CAIMSN01	Acetobacteraceae	Acetobacterales	BMGPLGCD_6_emrld_2	Saccharide	0.679	BGC0001589
