mibig	mibig_class	function	compaund	full_name
BGC0000645	Terpene	Carotenoid	carotenoid	carotenoid biosynthetic gene cluster from Halobacillus halophilus DSM 226
BGC0000647	Terpene	Carotenoid	carotenoid	carotenoid biosynthetic gene cluster from Rhodobacter sphaeroide
BGC0000637	Terpene	Carotenoid	carotenoid	Putative C(50) carotenoid beta-cyclase subunit A [Dietzia sp. CQ4]
BGC0000644	Terpene	Carotenoid	carotenoid	carotenoid biosynthetic gene cluster from Dietzia sp. CQ4
BGC0000630	Terpene	Carotenoid	hydroxyastaxanthin	"(2R,3S,3'S)-2-hydroxyastaxanthin biosynthetic gene cluster from Paracoccus haeundaensis"
BGC0000656	Terpene	Carotenoid	zeoxanthine	zeaxanthin biosynthetic gene cluster from Xanthobacter autotrophicus Py2
BGC0001456	Terpene	Carotenoid	isorenieratene	isorenieratene biosynthetic gene cluster from Streptomyces argillaceus
BGC0000640	Terpene	Carotenoid	carotenoid	carotenoid biosynthetic gene cluster from Enterobacteriaceae bacterium DC404
BGC0000660	Terpene	Antibiotic	albaflavenone	albaflavenone biosynthetic gene cluster from Streptomyces coelicolor A3(2)
BGC0000653	Terpene	Antibiotic	pentalenolactone	pentalenolactone biosynthetic gene cluster from Streptomyces arenae
BGC0000228	Polyketide	Antibiotic	granaticin	granaticin biosynthetic gene cluster from Streptomyces violaceoruber
BGC0000131	Polyketide	Antibiotic	pyrrolomycin	pyrrolomycin biosynthetic gene cluster from Streptomyces sp. UC 11065
BGC0000018	Polyketide	Antibiotic	angolamycin	angolamycin biosynthetic gene cluster from Streptomyces eurythermus
BGC0000835	Polyketide	Antibiotic	simocyclinone	simocyclinone biosynthetic gene cluster from Streptomyces antibioticus
BGC0000254	Polyketide	Antibiotic	oxytetracycline	oxytetracycline biosynthetic gene cluster from Streptomyces rimosus
BGC0000248	Polyketide	Antibiotic	naphtocyclinone	naphtocyclinone biosynthetic gene cluster from Streptomyces arenae
BGC0000056	Polyketide	Antibiotic	esperamicin	esperamicin biosynthetic gene cluster from Actinomadura verrucosospora
BGC0002000	Polyketide	Antibiotic	setomimycin	setomimycin biosynthetic gene cluster from Streptomyces aurantiacus JA 4570
BGC0000132	Polyketide	Antibiotic	pyrrolomycin	pyrrolomycin biosynthetic gene cluster from Streptomyces sp. UC 11065
BGC0000243	Polyketide	Antibiotic	macrotetrolide	macrotetrolide biosynthetic gene cluster from Streptomyces griseus subsp. griseus
BGC0000118	Polyketide	Antibiotic Cytotoxic	pactamycin	pactamycin biosynthetic gene cluster from Streptomyces pactum
BGC0001917	Polyketide	Antifungal	"5-alkyl-1,2,3,4-tetrahydroquinolines streptoaminals"	"5-alkyl-1,2,3,4-tetrahydroquinolines biosynthetic gene cluster from Streptomyces nigrescens"
BGC0001828	Polyketide	Antibiotic	griseochelin	griseochelin biosynthetic gene cluster from Streptomyces griseus
BGC0001661	Polyketide	Cytotoxic	mayamycin	mayamycin biosynthetic gene cluster from Streptomyces sp.
BGC0000215	Polyketide	Antibiotic	curamycin	curamycin biosynthetic gene cluster from Streptomyces cyaneus
BGC0000025	Polyketide	Cytotoxic	avermectin	avermectin biosynthetic gene cluster from Streptomyces avermitilis
BGC0000231	Polyketide	Antibiotic	griseusin	griseusin biosynthetic gene cluster from Streptomyces griseus
BGC0001064	Polyketide	Cytotoxic	cylindrocyclophane	cylindrocyclophane D biosynthetic gene cluster from Cylindrospermum licheniforme UTEX B 2014
