sample	bac_genus2	bac_family	bac_order	BGC0000018	BGC0000025	BGC0000041	BGC0000043	BGC0000051	BGC0000131	BGC0000228	BGC0000248	BGC0000282	BGC0000284	BGC0000302	BGC0000308	BGC0000310	BGC0000335	BGC0000389	BGC0000400	BGC0000403	BGC0000426	BGC0000427	BGC0000467	BGC0000480	BGC0000484	BGC0000532	BGC0000548	BGC0000575	BGC0000581	BGC0000590	BGC0000593	BGC0000623	BGC0000630	BGC0000644	BGC0000645	BGC0000646	BGC0000647	BGC0000656	BGC0000660	BGC0000661	BGC0000663	BGC0000675	BGC0000728	BGC0000731	BGC0000732	BGC0000733	BGC0000740	BGC0000752	BGC0000754	BGC0000755	BGC0000763	BGC0000768	BGC0000773	BGC0000782	BGC0000786	BGC0000787	BGC0000790	BGC0000800	BGC0000803	BGC0000835	BGC0000849	BGC0000851	BGC0000863	BGC0000866	BGC0000868	BGC0000869	BGC0000892	BGC0000902	BGC0000920	BGC0000948	BGC0000984	BGC0000996	BGC0001018	BGC0001022	BGC0001028	BGC0001031	BGC0001033	BGC0001034	BGC0001054	BGC0001071	BGC0001098	BGC0001125	BGC0001126	BGC0001135	BGC0001150	BGC0001152	BGC0001163	BGC0001168	BGC0001191	BGC0001201	BGC0001217	BGC0001223	BGC0001329	BGC0001331	BGC0001356	BGC0001363	BGC0001380	BGC0001454	BGC0001463	BGC0001467	BGC0001469	BGC0001589	BGC0001595	BGC0001650	BGC0001665	BGC0001733	BGC0001748	BGC0001831	BGC0001844	BGC0001887	BGC0001894	BGC0001938	BGC0001953	BGC0001987	BGC0001993	BGC0001999	BGC0002001	BGC0002005	BGC0002008	BGC0002020
private_X1_metawrap_bin.1	Acetobacteraceae gen. sp.	Acetobacteraceae	Acetobacterales	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
private_VT1_metawrap_bin.3	Acetobacteraceae gen. sp.	Acetobacteraceae	Acetobacterales	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
private_X11_metawrap_bin.3	Acetobacteraceae gen. sp.	Acetobacteraceae	Acetobacterales	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
public_SRR14722071_metawrap_bin.1	Acetobacteraceae gen. sp.	Acetobacteraceae	Acetobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
public_SRR11456914_metawrap_bin.12	CAHJXG01	Acetobacteraceae	Acetobacterales	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
private_VT34_metawrap_bin.3	CAHJXG01	Acetobacteraceae	Acetobacterales	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
private_X15_metawrap_bin.2	CAHJXG01	Acetobacteraceae	Acetobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
private_T1887_metawrap_bin.15	CAHJXG01	Acetobacteraceae	Acetobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
private_T1889_metawrap_bin.2	CAIMSN01	Acetobacteraceae	Acetobacterales	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
private_T1904_metawrap_bin.1	CAIMSN01	Acetobacteraceae	Acetobacterales	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
