# bin	classification	reason	lineage	lineage scores
private_GTX0158_concoct_bin.31.fa	taxid assigned	based on 10951/22473 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546	1.00;1.00;0.98;0.89;0.89;0.84;0.83;0.83;0.82;0.79
private_GTX0161_concoct_bin.0.fa	taxid assigned	based on 34286/75712 ORFs	1;131567;2759;33090;3041;2692248;75966;2507901;2507902;13786;285719;2608996	1.00;1.00;0.98;0.97;0.96;0.95;0.93;0.91;0.91;0.90;0.90;0.90
private_GTX0161_concoct_merged.0.fa	taxid assigned	based on 15513/46972 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;0.99;0.99;0.99;0.99;0.99;0.99;0.98;0.98;0.91;0.91;0.88;0.88;0.88;0.88;0.88
private_GTX0163_concoct_bin.14.fa	taxid assigned	based on 13718/33183 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.96;0.96;0.95;0.94;0.94;0.94;0.92;0.53;0.53
private_GTX0163_concoct_bin.46.fa	taxid assigned	based on 27128/79164 ORFs	1;131567;2759;33090;3041;2692248;75966;2507901;2507902;13786;285719;2608996	1.00;1.00;0.97;0.95;0.92;0.92;0.88;0.83;0.83;0.83;0.83;0.81
private_T1867_concoct_bin.8.fa	taxid assigned	based on 11888/25210 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.96;0.96;0.94;0.93;0.93;0.93;0.92;0.48;0.48
private_T1867_metabat2_bin.4.fa	taxid assigned	based on 27358/76813 ORFs	1;131567;2759;33090;3041;2692248;75966;75981;2511161;41891;248742;574566	1.00;1.00;0.96;0.93;0.88;0.87;0.81;0.71;0.71;0.71;0.70;0.70
private_T1868_concoct_bin.12.fa	taxid assigned	based on 11245/24355 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.96;0.96;0.94;0.94;0.93;0.93;0.92;0.50;0.50
private_T1881_metabat2_bin.1.fa	taxid assigned	based on 26186/57163 ORFs	1;131567;2759;33090;3041;2692248;75966;2507901;2507902;13786;285719;2608996	1.00;1.00;0.99;0.98;0.96;0.96;0.94;0.92;0.92;0.92;0.91;0.91
private_T1881_metabat2_bin.5.fa	taxid assigned	based on 12838/23974 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;1520791;452227;87265;87266;136370	1.00;1.00;0.99;0.98;0.98;0.98;0.97;0.97;0.97;0.96;0.79;0.79;0.75;0.75;0.75;0.75;0.75
private_T1882_concoct_bin.24.fa	taxid assigned	based on 11652/23755 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.96;0.96;0.95;0.94;0.94;0.94;0.92;0.34;0.34
private_T1882_metabat2_merged.0.fa	taxid assigned	based on 30084/80873 ORFs	1;131567;2759;33090;3041;2692248;75966;2507901;2507902;13786;285719;2608996	1.00;1.00;0.98;0.96;0.94;0.94;0.91;0.87;0.87;0.87;0.87;0.86
private_T1887_metabat2_bin.36.fa	taxid assigned	based on 11987/24258 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;1520791;452227;87265;87266;136370	1.00;1.00;0.99;0.97;0.97;0.96;0.95;0.95;0.95;0.93;0.59;0.59;0.37;0.37;0.37;0.37;0.37
private_T1888_metabat2_bin.51.fa	taxid assigned	based on 11857/26159 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;0.99;0.98;0.97;0.97;0.97;0.96;0.96;0.96;0.77;0.77;0.69;0.69;0.69;0.66;0.65
private_T1888_metabat2_bin.52.fa	taxid assigned	based on 14512/29197 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147545;451870	1.00;1.00;0.98;0.96;0.96;0.95;0.94;0.94;0.93;0.92;0.63;0.55
private_T1889_concoct_bin.13.fa	taxid assigned	based on 12020/26586 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.96;0.96;0.94;0.93;0.93;0.93;0.92;0.48;0.48
private_T1889_concoct_bin.16.fa	taxid assigned	based on 27703/75744 ORFs	1;131567;2759;33090;3041;2692248;75966;75981;2511161;41891;248742;574566	1.00;1.00;0.96;0.93;0.88;0.87;0.81;0.71;0.71;0.71;0.70;0.70
private_T1889_concoct_merged.0.fa	taxid assigned	based on 33527/71064 ORFs	1;131567;2759;33090;3041;2692248;75966;2507901;2507902;13786;285719;2608996	1.00;1.00;0.99;0.98;0.97;0.96;0.95;0.93;0.93;0.93;0.93;0.92
private_T1894_concoct_bin.66.fa	taxid assigned	based on 28409/80850 ORFs	1;131567;2759;33090;3041;2692248;75966;75981;2511161;41891;248742;574566	1.00;1.00;0.96;0.93;0.88;0.87;0.81;0.71;0.71;0.71;0.70;0.69
private_T1894_metabat2_bin.4.fa	taxid assigned	based on 9938/21594 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.96;0.96;0.95;0.94;0.94;0.94;0.93;0.53;0.53
private_T1904_concoct_bin.11.fa	taxid assigned	based on 13586/27372 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147545;451870	1.00;1.00;0.98;0.96;0.96;0.95;0.94;0.94;0.93;0.93;0.64;0.56
