fasta	size	BUSCO_lineage	lineage	BAT_euk	median_cov	mag	bat_bacteria
private_GTX0158_metawrap_bin.1.fa	6829525	NA	NA	NA	8	private_GTX0158_metawrap_bin.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Hymenobacteraceae;g__Hymenobacter;s__
private_GTX0158_metawrap_bin.2.fa	4595129	NA	NA	NA	21	private_GTX0158_metawrap_bin.2	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Mucilaginibacter;s__
private_GTX0158_metawrap_bin.3.fa	2414791	NA	NA	NA	10	private_GTX0158_metawrap_bin.3	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes
private_GTX0158_metawrap_bin.4.fa	3367567	NA	NA	NA	13	private_GTX0158_metawrap_bin.4	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Mucilaginibacter;s__
private_GTX0158_metawrap_bin.5.fa	2864271	NA	NA	NA	169	private_GTX0158_metawrap_bin.5	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__
private_GTX0158_metawrap_bin.6.fa	4535280	NA	NA	NA	196	private_GTX0158_metawrap_bin.6	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Lichenihabitans;s__
private_GTX0158_metawrap_bin.7.fa	3618424	NA	NA	NA	8	private_GTX0158_metawrap_bin.7	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Mucilaginibacter;s__
private_GTX0158_metawrap_bin.8.fa	3869393	NA	NA	NA	5	private_GTX0158_metawrap_bin.8	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__;s__
private_GTX0161_metawrap_bin.1.fa	3507978	NA	NA	NA	55	private_GTX0161_metawrap_bin.1	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Granulicella_C;s__
private_GTX0163_metawrap_bin.10.fa	2544535	NA	NA	NA	16	private_GTX0163_metawrap_bin.10	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__
private_GTX0163_metawrap_bin.11.fa	4768684	NA	NA	NA	9	private_GTX0163_metawrap_bin.11	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__;s__
