Table S1. Data for the genome collection employed in this work.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material,Length,GC.content,Present.Markers,Completeness,Redundancy,Weighted.completeness,Weighted.redundancy,Contigs,N50,L50,N90,L90,CDs,
GCF_013004495.1,PRJNA224116,SAMN08802842,JABEPH000000000.1,na,2137761,2137761,Rhizobium sp. SEMIA 4085,strain=SEMIA 4085,,latest,Contig,Major,Full,2020-05-10,ASM1300449v1,Universidade Federal do Rio Grande do Sul,GCA_013004495.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/004/495/GCF_013004495.1_ASM1300449v1,NA,NA,6355406,59.67,104,0.9905,1.0288,0.9724,1.0553,719,14026,137,4204,446,6734,
GCF_000007125.1,PRJNA224116,SAMN02603416,,representative genome,224914,29459,Brucella melitensis bv. 1 str. 16M,strain=16M,,latest,Complete Genome,Major,Full,2001-12-28,ASM712v1,Integrated Genomics,GCA_000007125.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/125/GCF_000007125.1_ASM712v1,,assembly from type material,3294931,57.22,104,0.9905,1.0096,0.9694,1.0125,2,2117144,1,1177787,2,3152,
GCF_000007505.1,PRJNA224116,SAMN02603416,,representative genome,204722,29461,Brucella suis 1330,strain=1330,,latest,Complete Genome,Major,Full,2004-10-13,ASM750v1,NITE/TIGR,GCA_000007505.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/505/GCF_000007505.1_ASM750v1,,assembly from type material,3315175,57.25,105,1,1.0095,1,1.0121,2,2107794,1,1207381,2,3103,
GCF_000009625.1,PRJNA224116,SAMD00061086,,representative genome,266835,2066070,Mesorhizobium japonicum MAFF 303099,strain=MAFF 303099,,latest,Complete Genome,Major,Full,2004-05-11,ASM962v1,Kazusa,GCA_000009625.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/625/GCF_000009625.1_ASM962v1,,assembly from type material,7596297,62.51,104,0.9905,1.0385,0.9814,1.0607,3,7036071,1,7036071,1,7377,
GCF_000010525.1,PRJNA224116,SAMD00060925,,representative genome,438753,7,Azorhizobium caulinodans ORS 571,strain=ORS 571,,latest,Complete Genome,Major,Full,2007-10-16,ASM1052v1,University of Tokyo,GCA_000010525.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/525/GCF_000010525.1_ASM1052v1,,assembly from type material,5369772,67.32,104,0.9905,1,0.9814,1,1,5369772,1,5369772,1,4810,
GCF_000011365.1,PRJNA224116,SAMD00061083,,na,224911,1355477,Bradyrhizobium diazoefficiens USDA 110,strain=USDA110,,latest,Complete Genome,Major,Full,2004-05-11,ASM1136v1,Kazusa,GCA_000011365.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/365/GCF_000011365.1_ASM1136v1,,assembly from type material,9105828,64.06,104,0.9905,1.0096,0.9814,1.0227,1,9105828,1,9105828,1,8498,
GCF_000012725.1,PRJNA224116,SAMN02598308,,representative genome,323098,913,Nitrobacter winogradskyi Nb-255,strain=Nb-255,,latest,Complete Genome,Major,Full,2005-09-12,ASM1272v1,DOE Joint Genome Institute,GCA_000012725.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/725/GCF_000012725.1_ASM1272v1,,assembly from type material,3402093,62.05,104,0.9905,1,0.9814,1,1,3402093,1,3402093,1,3262,
GCF_000013885.1,PRJNA224116,SAMN02598307,,representative genome,323097,912,Nitrobacter hamburgensis X14,strain=X14,,latest,Complete Genome,Major,Full,2006-04-11,ASM1388v1,DOE Joint Genome Institute,GCA_000013885.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/885/GCF_000013885.1_ASM1388v1,,assembly from type material,5011522,61.62,104,0.9905,1,0.9814,1,4,4406967,1,294829,2,4887,
GCF_000015445.1,PRJNA224116,SAMN02604047,,representative genome,360095,774,Bartonella bacilliformis KC583,strain=KC583; ATCC 35685,,latest,Complete Genome,Major,Full,2007-01-04,ASM1544v1,TIGR,GCA_000015445.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/445/GCF_000015445.1_ASM1544v1,,assembly from type material,1445021,38.24,104,0.9905,1.1635,0.9814,1.0464,1,1445021,1,1445021,1,1235,
GCF_000016845.1,PRJNA224116,SAMN02604024,,representative genome,444178,236,Brucella ovis ATCC 25840,strain=ATCC 25840,,latest,Complete Genome,Major,Full,2007-05-30,ASM1684v1,TIGR,GCA_000016845.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/845/GCF_000016845.1_ASM1684v1,,assembly from type material,3275590,57.19,105,1,1.0095,1,1.0121,2,2111370,1,1164220,2,3219,
GCF_000017405.1,PRJNA224116,SAMN02598421,,representative genome,439375,529,Ochrobactrum anthropi ATCC 49188,strain=ATCC 49188,,latest,Complete Genome,Major,Full,2007-07-12,ASM1740v1,US DOE Joint Genome Institute,GCA_000017405.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/405/GCF_000017405.1_ASM1740v1,,assembly from type material,5205777,56.12,104,0.9905,1.0288,0.9814,1.0427,6,2887297,1,1895911,2,5012,
GCF_000017565.1,PRJNA224116,SAMN00623055,,representative genome,402881,256618,Parvibaculum lavamentivorans DS-1,strain=DS-1,,latest,Complete Genome,Major,Full,2007-07-30,ASM1756v1,US DOE Joint Genome Institute (JGI-PGF),GCA_000017565.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/565/GCF_000017565.1_ASM1756v1,,assembly from type material,3914745,62.33,104,0.9905,1.0096,0.9814,1.017,1,3914745,1,3914745,1,3703,
GCF_000017645.1,PRJNA224116,SAMN02598342,,representative genome,78245,280,Xanthobacter autotrophicus Py2,strain=Py2,,latest,Complete Genome,Major,Full,2007-07-30,ASM1764v1,US DOE Joint Genome Institute,GCA_000017645.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/645/GCF_000017645.1_ASM1764v1,,assembly from type material,5625098,67.35,104,0.9905,1,0.9814,1,2,5308934,1,5308934,1,5177,
GCF_000018525.1,PRJNA224116,SAMN02604295,,representative genome,483179,36855,Brucella canis ATCC 23365,,,latest,Complete Genome,Major,Full,2007-11-29,ASM1852v1,Virginia Bioinformatics Institute,GCA_000018525.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/525/GCF_000018525.1_ASM1852v1,,assembly from type material,3312769,57.24,105,1,1.0095,1,1.0121,2,2105969,1,1206800,2,3108,
GCF_000019725.1,PRJNA224116,SAMN00000277,,representative genome,426355,31998,Methylobacterium radiotolerans JCM 2831,strain=JCM 2831,,latest,Complete Genome,Major,Full,2008-03-21,ASM1972v1,US DOE Joint Genome Institute,GCA_000019725.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/725/GCF_000019725.1_ASM1972v1,,assembly from type material,6899110,71.04,103,0.981,1.0194,0.9743,1.0373,9,6077833,1,586164,2,6504,
GCF_000019845.1,PRJNA224116,SAMN02598441,,representative genome,395963,533,Beijerinckia indica subsp. indica ATCC 9039,strain=ATCC 9039,,latest,Complete Genome,Major,Full,2008-04-11,ASM1984v1,US DOE Joint Genome Institute,GCA_000019845.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/845/GCF_000019845.1_ASM1984v1,,assembly from type material,4418616,56.98,104,0.9905,1,0.9814,1,3,4170153,1,4170153,1,4021,
GCF_000019945.1,PRJNA224116,SAMN00000038,,representative genome,441620,223967,Methylorubrum populi BJ001,strain=BJ001,,latest,Complete Genome,Major,Full,2008-04-09,ASM1994v1,US DOE Joint Genome Institute (JGI-PGF),GCA_000019945.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/945/GCF_000019945.1_ASM1994v1,,assembly from type material,5848997,69.36,103,0.981,1.0388,0.9743,1.0757,3,5800441,1,5800441,1,5446,
GCF_000021365.1,PRJNA224116,SAMN02603611,,na,504832,40137,Oligotropha carboxidovorans OM5,strain=OM5; ATCC 49405,,latest,Complete Genome,Major,Full,2008-10-22,ASM2136v1,Mississippi State University,GCA_000021365.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/365/GCF_000021365.1_ASM2136v1,,assembly from type material,3745629,62.4,104,0.9905,1,0.9814,1,1,3745629,1,3745629,1,3579,
GCF_000021745.1,PRJNA224116,SAMN00000045,,representative genome,395965,199596,Methylocella silvestris BL2,strain=BL2,,latest,Complete Genome,Major,Full,2008-12-15,ASM2174v1,US DOE Joint Genome Institute (JGI-PGF),GCA_000021745.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/745/GCF_000021745.1_ASM2174v1,,assembly from type material,4305430,63.08,105,1,1,1,1,1,4305430,1,4305430,1,3914,
