public_SRR14721944_metawrap_bin.1	51.75	0.00	0.00	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales
public_SRR14721944_metawrap_bin.2	60.32	1.63	0.00	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae
private_T1894_metawrap_bin.4	97.88	0.26	0.00	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae
private_T1894_metawrap_bin.5	73.26	4.50	56.52	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
private_T1894_metawrap_bin.6	57.10	0.68	0.00	k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales
private_T1894_metawrap_bin.7	90.94	2.59	33.33	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae
private_T1894_metawrap_bin.1	85.97	0.85	0.00	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Granulicella
private_T1894_metawrap_bin.3	88.05	2.25	42.86	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae
public_SRR11456913_metawrap_bin.6	90.10	6.97	50.00	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae
public_SRR14722272_metawrap_bin.1	54.05	0.00	0.00	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae
private_T1894_metawrap_bin.8	94.07	2.49	37.50	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae
private_T1894_metawrap_bin.9	95.65	1.88	50.00	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales
public_SRR11456921_metawrap_bin.19	97.76	0.73	25.00	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae
public_SRR11456921_metawrap_bin.18	94.66	0.49	25.00	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Phyllobacteriaceae
public_SRR11456921_metawrap_bin.13	89.25	2.08	27.27	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae_3;g__Sphingobium
public_SRR11456921_metawrap_bin.12	99.39	0.97	20.00	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae
public_SRR11456921_metawrap_bin.11	98.93	0.93	100.00	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Rubrivivax
public_SRR11456913_metawrap_bin.5	81.32	1.88	28.57	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales
