Genome	metagenome	breadth	read_count	size.x	depth_cov	fasta	size.y	BUSCO_lineage	lineage	BAT_euk	bat_bacteria	Lichen.metagenomes	lineage_broad	putative_role
private_T1882_metabat2_merged.0	T1882	99.89	5551812	62479348	11.1072942054389	private_T1882_metabat2_merged.0.fa	62479348	chlorophyta_odb10	1;131567;2759;33090;3041;2692248;75966;2507901;2507902;13786;285719;2608996	Trebouxia sp. A1-2	NA	Acarospora_spec	Chlorophyta	photobiont_chloro
public_SRR1531545_concoct_bin.10	SRR1531545	99.96	47593880	29584455	201.093276857728	public_SRR1531545_concoct_bin.10.fa	29584455	ascomycota_odb10	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	OSLEUM clade	NA	Leptogium austroamericanum	Fungi	mycobiont
public_SRR14721957_metabat2_bin.1	SRR14721957	99.86	655067	13010775	6.293504806593	public_SRR14721957_metabat2_bin.1.fa	13010775	ascomycota_odb10	1;131567;2759;33154;4751;451864;4890;716545;147538;716546	leotiomyceta	NA	Ephebe solida	Fungi	mycobiont
public_SRR14721944_metawrap_bin.1	SRR14721942	95.91	16111	238023	8.46084201946871	public_SRR14721944_metawrap_bin.1.fa	238023	NA	NA	NA	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Blattabacteriaceae;g__Uzinura;s__	Bulbothrix scortella	bacteria_other	bacteria_other
public_SRR14721944_metawrap_bin.1	SRR14721944	99.91	23790	238023	12.4935405401999	public_SRR14721944_metawrap_bin.1.fa	238023	NA	NA	NA	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Blattabacteriaceae;g__Uzinura;s__	Pyrrhospora varians	bacteria_other	bacteria_other
public_SRR14721944_metawrap_bin.2	SRR14721944	99.6	165250	2743065	7.53035381954128	public_SRR14721944_metawrap_bin.2.fa	2743065	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__VCDI01;s__	Pyrrhospora varians	bacteria_other	bacteria_other
public_SRR14721944_metawrap_bin.2	SRR14722143	80.39	38663	2743065	1.7618521617242	public_SRR14721944_metawrap_bin.2.fa	2743065	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__VCDI01;s__	Zwackhia viridis	bacteria_other	bacteria_other
public_SRR14721944_metawrap_bin.2	SRR14722160	58.87	22501	2743065	1.02535849496822	public_SRR14721944_metawrap_bin.2.fa	2743065	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__VCDI01;s__	Herteliana schuyleriana	bacteria_other	bacteria_other
public_SRR14721944_metawrap_bin.2	SRR14722177	50.64	16366	2743065	0.74578983728056	public_SRR14721944_metawrap_bin.2.fa	2743065	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__VCDI01;s__	Biatora appalachensis	bacteria_other	bacteria_other
public_SRR14721944_metawrap_bin.2	SRR14722184	54.69	21968	2743065	1.00106997099959	public_SRR14721944_metawrap_bin.2.fa	2743065	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__VCDI01;s__	Lecanora hybocarpa	bacteria_other	bacteria_other
public_SRR14721944_metawrap_bin.2	SRR14722281	69.85	37640	2743065	1.71523460071125	public_SRR14721944_metawrap_bin.2.fa	2743065	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__VCDI01;s__	Viridothelium virens	bacteria_other	bacteria_other
public_SRR14722158_metabat2_bin.9	SRR14722158	99.9	10811085	27538851	49.0719683620787	public_SRR14722158_metabat2_bin.9.fa	27538851	ascomycota_odb10	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	Letharia	NA	Lecanora albella	Fungi	mycobiont
public_SRR14722037_metabat2_bin.2	SRR14722037	99.95	7894795	29315195	33.6634081744979	public_SRR14722037_metabat2_bin.2.fa	29315195	ascomycota_odb10	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	OSLEUM clade	NA	Phlyctis speirea	Fungi	mycobiont
private_T1894_metawrap_bin.4	T1867	60.46	33994	4071283	1.0437127559052	private_T1894_metawrap_bin.4.fa	4071283	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__VCDI01;s__	Xylographa_vitiligo	bacteria_other	bacteria_other
private_T1894_metawrap_bin.4	T1888	52.22	201540	4071283	6.18785282182545	private_T1894_metawrap_bin.4.fa	4071283	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__VCDI01;s__	Puttea_exsequens	bacteria_other	bacteria_other
private_T1894_metawrap_bin.4	T1894	99.94	5406092	4071283	165.982443372274	private_T1894_metawrap_bin.4.fa	4071283	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__VCDI01;s__	Lecidea_scabridula	bacteria_other	bacteria_other
private_T1894_metawrap_bin.4	T1916	97.95	248586	4071283	7.63229920396101	private_T1894_metawrap_bin.4.fa	4071283	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__VCDI01;s__	Thelotrema_lepadinum	bacteria_other	bacteria_other
private_T1894_metawrap_bin.5	T1868	66.1	32539	3189195	1.27536102370661	private_T1894_metawrap_bin.5.fa	3189195	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__CAHJWH01;s__	Ptychographa_xylographoides	bacteria_other	bacteria_other
private_T1894_metawrap_bin.5	T1894	99.84	158583	3189195	6.21563592066336	private_T1894_metawrap_bin.5.fa	3189195	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__CAHJWH01;s__	Lecidea_scabridula	bacteria_other	bacteria_other
private_T1894_metawrap_bin.5	T1916	81.48	68723	3189195	2.69358725320967	private_T1894_metawrap_bin.5.fa	3189195	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__CAHJWH01;s__	Thelotrema_lepadinum	bacteria_other	bacteria_other
private_T1894_metawrap_bin.6	T1894	99.89	38080	890559	5.34495749299036	private_T1894_metawrap_bin.6.fa	890559	NA	NA	NA	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Hat2;f__;g__;s__	Lecidea_scabridula	bacteria_other	bacteria_other
public_SRR14722101_metabat2_bin.2	SRR14722082	87.57	514873	26448327	2.43339115551619	public_SRR14722101_metabat2_bin.2.fa	26448327	ascomycota_odb10	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	Letharia	NA	Cladonia mateocyatha	Fungi	fungi_other
public_SRR14722101_metabat2_bin.2	SRR14722101	99.71	4794669	26448327	22.6605495689765	public_SRR14722101_metabat2_bin.2.fa	26448327	ascomycota_odb10	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	Letharia	NA	Cladonia strepsilis	Fungi	mycobiont
public_SRR14722313_metabat2_bin.4	SRR14722313	99.99	8233388	28706674	35.8513668284943	public_SRR14722313_metabat2_bin.4.fa	28706674	ascomycota_odb10	1;131567;2759;33154;4751;451864;4890;716545;147538;716546	leotiomyceta	NA	Phlyctis petraea	Fungi	mycobiont
private_T1894_metawrap_bin.1	T1894	99.73	1026543	3561103	36.0331826964848	private_T1894_metawrap_bin.1.fa	3561103	NA	NA	NA	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Granulicella_C;s__	Lecidea_scabridula	bacteria_other	bacteria_other
private_T1894_metawrap_bin.3	T1894	99.7	1566798	3934783	49.7739646633626	private_T1894_metawrap_bin.3.fa	3934783	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__;s__	Lecidea_scabridula	bacteria_other	bacteria_other
private_T1894_metawrap_bin.3	TS1974	75.8	63645	3934783	2.02187134589125	private_T1894_metawrap_bin.3.fa	3934783	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__;s__	Imshaugia aleurites	bacteria_other	bacteria_other
public_SRR11456913_metawrap_bin.6	SRR11456913	99.99	549957	4199570	16.3694437763866	public_SRR11456913_metawrap_bin.6.fa	4199570	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAHJXG01;s__	Peltigera malacea	bacteria_other	bacteria_other
public_SRR11456913_metawrap_bin.6	SRR11456914	55.46	125920	4199570	3.74800277171234	public_SRR11456913_metawrap_bin.6.fa	4199570	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAHJXG01;s__	Peltigera extenuata	bacteria_other	bacteria_other
public_SRR11456913_metawrap_bin.6	SRR11456919	92.65	234323	4199570	6.97461287703265	public_SRR11456913_metawrap_bin.6.fa	4199570	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAHJXG01;s__	Solorina crocea	bacteria_other	bacteria_other
private_X9_concoct_bin.20	VT26	91.78	23217997	33069491	87.7621498619377	private_X9_concoct_bin.20.fa	33069491	ascomycota_odb10	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	Letharia	NA	Evernia mesomorpha	Fungi	mycobiont
private_X9_concoct_bin.20	X9	99.98	61952838	33069491	234.176714422366	private_X9_concoct_bin.20.fa	33069491	ascomycota_odb10	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	Letharia	NA	Evernia divaricata	Fungi	mycobiont
private_T1894_metawrap_bin.8	T1888	52.62	40428	3997555	1.26414771028791	private_T1894_metawrap_bin.8.fa	3997555	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAIMSN01;s__	Puttea_exsequens	bacteria_other	bacteria_other
private_T1894_metawrap_bin.8	T1894	99.99	3208135	3997555	100.31553662176	private_T1894_metawrap_bin.8.fa	3997555	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAIMSN01;s__	Lecidea_scabridula	bacteria_other	bacteria_other
private_T1894_metawrap_bin.9	ERR4179390	52.26	188318	3652841	6.44423066867679	private_T1894_metawrap_bin.9.fa	3652841	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__RH-AL1;s__	Lobaria pulmonaria	bacteria_other	bacteria_other
private_T1894_metawrap_bin.9	SRR14721985	69.5	41217	3652841	1.41044326867772	private_T1894_metawrap_bin.9.fa	3652841	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__RH-AL1;s__	Imshaugia aleurites	bacteria_other	bacteria_other
private_T1894_metawrap_bin.9	SRR14721996	92.24	124281	3652841	4.25288836825912	private_T1894_metawrap_bin.9.fa	3652841	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__RH-AL1;s__	Hypogymnia vittata	bacteria_other	bacteria_other
private_T1894_metawrap_bin.9	SRR14722007	87.42	99076	3652841	3.39037477952093	private_T1894_metawrap_bin.9.fa	3652841	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__RH-AL1;s__	Platismatia glauca	bacteria_other	bacteria_other
private_T1894_metawrap_bin.9	SRR14722057	57.98	30181	3652841	1.03279201038315	private_T1894_metawrap_bin.9.fa	3652841	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__RH-AL1;s__	Cladonia squamosa	bacteria_other	bacteria_other
private_T1894_metawrap_bin.9	SRR14722068	54.69	31504	3652841	1.07806499105765	private_T1894_metawrap_bin.9.fa	3652841	NA	NA	NA	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__RH-AL1;s__	Parmotrema neotropicum	bacteria_other	bacteria_other
