Genome	completeness	contamination	size	classification
public_SRR14721944_metawrap_bin.1	51.75	0	238023	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Blattabacteriaceae;g__Uzinura;s__
public_SRR14721944_metawrap_bin.2	60.32	1.63	2743065	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__VCDI01;s__
private_T1894_metawrap_bin.4	97.88	0.26	4071283	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__VCDI01;s__
private_T1894_metawrap_bin.5	73.26	4.5	3189195	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__CAHJWH01;s__
private_T1894_metawrap_bin.6	57.1	0.68	890559	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Hat2;f__;g__;s__
private_T1894_metawrap_bin.1	85.97	0.85	3561103	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Granulicella_C;s__
private_T1894_metawrap_bin.3	88.05	2.25	3934783	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__;s__
public_SRR11456913_metawrap_bin.6	90.1	6.97	4199570	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAHJXG01;s__
public_SRR14722272_metawrap_bin.1	54.05	0	2055267	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__EB88;s__
private_T1894_metawrap_bin.8	94.07	2.49	3997555	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAIMSN01;s__
private_T1894_metawrap_bin.9	95.65	1.88	3652841	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__RH-AL1;s__
public_SRR11456921_metawrap_bin.19	97.76	0.73	4460902	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Tardiphaga;s__
public_SRR11456921_metawrap_bin.18	94.66	0.49	3889296	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Mesorhizobium_D;s__
public_SRR11456921_metawrap_bin.13	89.25	2.08	2759869	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__
public_SRR11456921_metawrap_bin.12	99.39	0.97	6629438	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae;g__;s__
public_SRR11456921_metawrap_bin.11	98.93	0.93	5362047	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rubrivivax;s__
public_SRR11456913_metawrap_bin.5	81.32	1.88	3783488	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Lichenihabitans;s__
public_SRR11456921_metawrap_bin.17	87.03	0.72	5474166	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__UBA1315;s__
public_SRR11456921_metawrap_bin.16	64.14	0	3240044	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Nevskiaceae;g__Hydrocarboniphaga;s__
public_SRR11456921_metawrap_bin.15	71.55	0	4348868	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Rhodovarius;s__
public_SRR11456921_metawrap_bin.14	100	0.6	6825203	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae;g__Fibrella;s__
private_T1888_metawrap_bin.10	87.29	0.75	4296970	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__LMUY01;s__
private_T1888_metawrap_bin.13	91.82	0.93	4716372	d__Bacteria;p__Armatimonadota;c__Fimbriimonadia;o__Fimbriimonadales;f__Fimbriimonadaceae;g__Fimbriimonas;s__
private_T1888_metawrap_bin.12	96.65	2.06	3089910	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__
private_T1888_metawrap_bin.15	73.04	1.31	3567018	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Lichenihabitans;s__
private_T1888_metawrap_bin.14	85.42	4.11	4719478	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylobacterium;s__
private_T1888_metawrap_bin.19	83.14	0.86	3526920	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Tous-C9LFEB;s__
private_T1888_metawrap_bin.18	60.21	0.85	3265663	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__CAHJWL01;s__
public_SRR1532736_metawrap_bin.1	78.96	0.93	3524351	d__Bacteria;p__Armatimonadota;c__Armatimonadia;o__Armatimonadales;f__Capsulimonadaceae;g__;s__
public_SRR14722130_metawrap_bin.2	92.82	3.46	5632149	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Lichenihabitans;s__
public_SRR14722166_metawrap_bin.1	79.73	1.24	4103170	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__LMUY01;s__
private_T1887_metawrap_bin.4	98.87	0	3538176	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomicrobium;s__
private_T1887_metawrap_bin.5	98.51	0.89	6108703	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Hymenobacteraceae;g__Hymenobacter;s__
private_T1887_metawrap_bin.6	98.26	0.22	3270667	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__CADCVW01;s__
private_T1887_metawrap_bin.7	92.34	0.54	3210277	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__;g__;s__
private_T1887_metawrap_bin.1	98.08	0.59	3474204	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Quadrisphaeraceae;g__Quadrisphaera;s__
private_T1887_metawrap_bin.3	96.53	1.18	3405581	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__
private_T1887_metawrap_bin.8	88.11	0	3584002	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylobacterium;s__
private_T1887_metawrap_bin.9	85.07	0.75	3132679	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Roseomonas;s__
public_SRR14722123_metawrap_bin.1	95.02	1.74	3672174	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__LMUY01;s__
public_SRR14722123_metawrap_bin.2	56.36	0	2213993	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__CAHJWL01;s__
public_SRR14722123_metawrap_bin.3	68.06	0.51	3142810	d__Bacteria;p__Armatimonadota;c__Armatimonadia;o__Armatimonadales;f__Capsulimonadaceae;g__;s__
public_SRR14722123_metawrap_bin.4	75	0.5	2713278	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__;s__
public_SRR14722123_metawrap_bin.5	67.24	1.72	2293700	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__;s__
public_SRR14722221_metawrap_bin.2	79.45	1.09	3219476	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terriglobus;s__
public_SRR14722149_metawrap_bin.8	72.43	1.31	2864895	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Rhodopseudomonas;s__
public_SRR14722149_metawrap_bin.9	83.95	3.68	3063529	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas_I;s__
public_SRR14722135_metawrap_bin.1	93.94	2.01	3769391	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAIMSN01;s__
private_TS1974_metawrap_bin.10	92.67	1.19	3815809	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__BOG-908;s__
private_TS1974_metawrap_bin.12	98.24	1.52	4959039	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Granulicella_C;s__
public_SRR14722149_metawrap_bin.4	91.59	2.5	2750517	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA11358;g__UBA11358;s__
public_SRR14722149_metawrap_bin.5	59.58	0	2784209	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Edaphobacter;s__
public_SRR14722149_metawrap_bin.6	96.19	1.23	5826481	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Flavihumibacter;s__
