species,Organism_Groups,Size(Mb),Chromosomes,Organelles,Plasmids,Assemblies,web_local
GCA_002335675_1_C_eustigma_genome_v1_0_genomic,,,,,,,data/algal/GCA_002335675.1_C.eustigma_genome_v1.0_genomic.fna
GCA_002818215_1_ASM281821v1_genomic,,,,,,,data/algal/GCA_002818215.1_ASM281821v1_genomic.fna
GCA_003665715_1_OU_Pico_1_0_genomic,,,,,,,data/algal/GCA_003665715.1_OU_Pico_1.0_genomic.fna
GCA_006384855_1_TSEL_PacBio_SMRT_genomic,,,,,,,data/algal/GCA_006384855.1_TSEL_PacBio_SMRT_genomic.fna
GCA_007859695_1_ASM785969v1_genomic,,,,,,,data/algal/GCA_007859695.1_ASM785969v1_genomic.fna
GCA_019693375_1_ASM1969337v1_genomic,,,,,,,data/algal/GCA_019693375.1_ASM1969337v1_genomic.fna
GCA_900538255_1_Ulvmu_WT_fa_genomic,,,,,,,data/algal/GCA_900538255.1_Ulvmu_WT_fa_genomic.fna
GCF_000143455_1_v1_0_genomic,,,,,,,data/algal/GCF_000143455.1_v1.0_genomic.fna
GCF_000147415_1_v_1_0_genomic,,,,,,,data/algal/GCF_000147415.1_v_1.0_genomic.fna
GCF_000258705_1_Coccomyxa_subellipsoidae_v2_0_genomic,,,,,,,data/algal/GCF_000258705.1_Coccomyxa_subellipsoidae_v2.0_genomic.fna
GCF_002220235_1_ASM222023v1_genomic,,,,,,,data/algal/GCF_002220235.1_ASM222023v1_genomic.fna
private_GTX0161_concoct_bin_0,,,,,,,data/algal/private_GTX0161_concoct_bin.0.fa
private_GTX0163_concoct_bin_46,,,,,,,data/algal/private_GTX0163_concoct_bin.46.fa
private_T1882_metabat2_merged_0,,,,,,,data/algal/private_T1882_metabat2_merged.0.fa
private_T1889_concoct_bin_16,,,,,,,data/algal/private_T1889_concoct_bin.16.fa
private_T1894_concoct_bin_66,,,,,,,data/algal/private_T1894_concoct_bin.66.fa
private_T1904_concoct_bin_38,,,,,,,data/algal/private_T1904_concoct_bin.38.fa
private_T1912_concoct_bin_0,,,,,,,data/algal/private_T1912_concoct_bin.0.fa
private_TS1974_concoct_bin_29,,,,,,,data/algal/private_TS1974_concoct_bin.29.fa
private_X10_concoct_bin_7,,,,,,,data/algal/private_X10_concoct_bin.7.fa
private_X11_concoct_bin_15,,,,,,,data/algal/private_X11_concoct_bin.15.fa
private_X1_metabat2_bin_11,,,,,,,data/algal/private_X1_metabat2_bin.11.fa
private_X2_concoct_bin_1,,,,,,,data/algal/private_X2_concoct_bin.1.fa
public_ERR4179390_concoct_bin_45,,,,,,,data/algal/public_ERR4179390_concoct_bin.45.fa
public_ERR4179390_concoct_bin_75,,,,,,,data/algal/public_ERR4179390_concoct_bin.75.fa
public_SRR11456915_concoct_bin_5,,,,,,,data/algal/public_SRR11456915_concoct_bin.5.fa
public_SRR11456919_concoct_bin_22,,,,,,,data/algal/public_SRR11456919_concoct_bin.22.fa
public_SRR13125477_metabat2_bin_13,,,,,,,data/algal/public_SRR13125477_metabat2_bin.13.fa
public_SRR13685159_concoct_merged_0,,,,,,,data/algal/public_SRR13685159_concoct_merged.0.fa
public_SRR14722042_metabat2_bin_4,,,,,,,data/algal/public_SRR14722042_metabat2_bin.4.fa
public_SRR14722116_metabat2_bin_5,,,,,,,data/algal/public_SRR14722116_metabat2_bin.5.fa
public_SRR14722120_metabat2_bin_4,,,,,,,data/algal/public_SRR14722120_metabat2_bin.4.fa
public_SRR14722135_metabat2_bin_5,,,,,,,data/algal/public_SRR14722135_metabat2_bin.5.fa
public_SRR14722152_metabat2_bin_2,,,,,,,data/algal/public_SRR14722152_metabat2_bin.2.fa
public_SRR14722177_metabat2_bin_9,,,,,,,data/algal/public_SRR14722177_metabat2_bin.9.fa
public_SRR14722188_concoct_bin_30,,,,,,,data/algal/public_SRR14722188_concoct_bin.30.fa
public_SRR1532736_concoct_bin_20,,,,,,,data/algal/public_SRR1532736_concoct_bin.20.fa
public_SRR2387885_metabat2_bin_2,,,,,,,data/algal/public_SRR2387885_metabat2_bin.2.fa
public_SRR5808932_metabat2_bin_2,,,,,,,data/algal/public_SRR5808932_metabat2_bin.2.fa
public_SRR7232211_concoct_bin_8,,,,,,,data/algal/public_SRR7232211_concoct_bin.8.fa
public_SRR7232212_concoct_bin_0,,,,,,,data/algal/public_SRR7232212_concoct_bin.0.fa
public_SRR7232213_concoct_bin_0,,,,,,,data/algal/public_SRR7232213_concoct_bin.0.fa
public_SRR7232214_concoct_bin_9,,,,,,,data/algal/public_SRR7232214_concoct_bin.9.fa
