querry,reference,alignment_length,similarity_errors,ref_coverage,querry_coverage,ani,reference_length,querry_length,alignment_coverage,primary_cluster
public_SRR12240174_metabat2_bin.2.fa,public_SRR12240174_metabat2_bin.2.fa,28365123,2380,0.9997882,0.9997882,0.9999161,28371132,28371132,0.9997882002029387,124
public_SRR12240174_metabat2_bin.2.fa,public_SRR12240180_concoct_bin.4.fa,23902782,1163294,0.7590095,0.84250367,0.9513323,31492074,28371132,0.8425036406724976,124
public_SRR12240174_metabat2_bin.2.fa,public_SRR14721927_metabat2_bin.2.fa,7439452,1112629,0.22397465,0.26221907,0.85044205,33215599,28371132,0.262219075361533,124
public_SRR12240174_metabat2_bin.2.fa,public_SRR14721935_metabat2_bin.5.fa,6276095,959677,0.20451614,0.22121412,0.8470901,30687529,28371132,0.2212141200428661,124
public_SRR12240174_metabat2_bin.2.fa,public_SRR14721943_metabat2_bin.1.fa,7474027,1117733,0.23590328,0.26343775,0.85045105,31682591,28371132,0.26343774368960676,124
public_SRR12240174_metabat2_bin.2.fa,public_SRR14721956_metabat2_bin.3.fa,7678705,1139480,0.24601762,0.27065206,0.8516052,31212012,28371132,0.2706520487092302,124
public_SRR12240174_metabat2_bin.2.fa,public_SRR14721979_metabat2_bin.1.fa,6760088,1026215,0.19562055,0.23827347,0.848195,34557146,28371132,0.23827346755145334,124
public_SRR12240174_metabat2_bin.2.fa,public_SRR14721992_concoct_merged.0.fa,6014973,900054,0.2098611,0.21201032,0.8503644,28661687,28371132,0.21201032796294486,124
public_SRR12240174_metabat2_bin.2.fa,public_SRR14721997_metabat2_bin.1.fa,7666728,1139946,0.23776285,0.2702299,0.8513126,32245272,28371132,0.27022989424602445,124
public_SRR12240174_metabat2_bin.2.fa,public_SRR14722000_concoct_merged.0.fa,6761998,1019797,0.21818735,0.2383408,0.849187,30991706,28371132,0.2383407895039225,124
public_SRR12240174_metabat2_bin.2.fa,public_SRR14722004_metabat2_bin.1.fa,9057946,1300605,0.27224207,0.3192663,0.8564128,33271660,28371132,0.31926628800006995,124
public_SRR12240174_metabat2_bin.2.fa,public_SRR14722006_metabat2_bin.2.fa,8966697,1288940,0.2687607,0.31605002,0.85625255,33363126,28371132,0.3160500257797257,124
public_SRR12240174_metabat2_bin.2.fa,public_SRR14722020_concoct_merged.0.fa,5554625,845511,0.20456468,0.1957844,0.84778255,27153393,28371132,0.2045646744773296,124
public_SRR12240174_metabat2_bin.2.fa,public_SRR14722021_metabat2_bin.1.fa,6537936,994153,0.21283333,0.23044325,0.84794086,30718572,28371132,0.230443254784476,124
public_SRR12240174_metabat2_bin.2.fa,public_SRR14722028_metabat2_bin.1.fa,7338429,1091602,0.23945297,0.25865832,0.85124856,30646640,28371132,0.25865830802944345,124
public_SRR12240174_metabat2_bin.2.fa,public_SRR14722038_metabat2_bin.1.fa,9668986,1376232,0.28951263,0.34080368,0.8576653,33397459,28371132,0.3408036732549128,124
public_SRR12240174_metabat2_bin.2.fa,public_SRR14722068_metabat2_bin.3.fa,7500824,1118723,0.23546307,0.26438227,0.8508533,31855629,28371132,0.26438226010862026,124
public_SRR12240174_metabat2_bin.2.fa,public_SRR14722077_concoct_merged.0.fa,7418098,1100063,0.23706533,0.2614664,0.8517055,31291365,28371132,0.26146640888350875,124
public_SRR12240174_metabat2_bin.2.fa,public_SRR14722106_metabat2_bin.2.fa,7365105,1099264,0.21290521,0.25959855,0.850747,34593352,28371132,0.2595985595498974,124
public_SRR12240174_metabat2_bin.2.fa,public_SRR14722108_metabat2_bin.1.fa,7476663,1115304,0.23663168,0.26353064,0.85082865,31596205,28371132,0.26353065503343326,124
public_SRR12240174_metabat2_bin.2.fa,public_SRR14722127_concoct_bin.0.fa,23085241,952382,0.8280417,0.8136877,0.958745,27879322,28371132,0.8280416934099043,124
public_SRR12240174_metabat2_bin.2.fa,public_SRR14722130_metabat2_bin.9.fa,6715938,1018287,0.20882832,0.23671731,0.8483775,32160092,28371132,0.2367173082836455,124
