alignment	start	end	length	nseqs	nparsimony	nvariable	nfixed
281726at4751_aligned_trimmed.fas	1	275	275	318	47	244	28
81687at4751_aligned_trimmed.fas	276	973	698	310	97	659	39
20952at4751_aligned_trimmed.fas	974	2204	1231	313	139	1205	25
229997at4751_aligned_trimmed.fas	2205	2892	688	278	11	687	1
24198at4751_aligned_trimmed.fas	2893	4417	1525	322	28	1524	1
423206at4751_aligned_trimmed.fas	4418	4591	174	332	15	162	12
64002at4751_aligned_trimmed.fas	4592	5698	1107	321	70	1099	8
315551at4751_aligned_trimmed.fas	5699	6025	327	314	93	273	54
433384at4751_aligned_trimmed.fas	6026	6231	206	263	12	206	0
125935at4751_aligned_trimmed.fas	6232	6982	751	312	114	718	32
392558at4751_aligned_trimmed.fas	6983	7165	183	166	58	182	1
53270at4751_aligned_trimmed.fas	7166	8508	1343	322	27	1341	2
23856at4751_aligned_trimmed.fas	8509	9780	1272	324	151	1265	7
186574at4751_aligned_trimmed.fas	9781	10230	450	290	26	449	1
452759at4751_aligned_trimmed.fas	10231	10379	149	267	28	128	20
464711at4751_aligned_trimmed.fas	10380	10533	154	300	52	141	11
173428at4751_aligned_trimmed.fas	10534	11176	643	286	22	625	18
430556at4751_aligned_trimmed.fas	11177	12013	837	320	6	837	0
248360at4751_aligned_trimmed.fas	12014	12818	805	318	14	805	0
260896at4751_aligned_trimmed.fas	12819	13119	301	322	108	295	6
414508at4751_aligned_trimmed.fas	13120	13305	186	289	58	176	10
398592at4751_aligned_trimmed.fas	13306	13941	636	305	41	631	5
492591at4751_aligned_trimmed.fas	13942	14071	130	263	58	125	5
224693at4751_aligned_trimmed.fas	14072	14489	418	273	21	414	4
78665at4751_aligned_trimmed.fas	14490	15262	773	322	104	752	20
130976at4751_aligned_trimmed.fas	15263	15920	658	304	70	655	3
367778at4751_aligned_trimmed.fas	15921	16168	248	258	42	232	16
29512at4751_aligned_trimmed.fas	16169	17121	953	315	37	951	2
414474at4751_aligned_trimmed.fas	17122	17346	225	255	79	220	5
217097at4751_aligned_trimmed.fas	17347	17818	472	325	11	472	0
160875at4751_aligned_trimmed.fas	17819	18431	613	301	35	602	11
31256at4751_aligned_trimmed.fas	18432	19125	694	313	14	694	0
271511at4751_aligned_trimmed.fas	19126	19678	553	331	33	547	6
413850at4751_aligned_trimmed.fas	19679	19991	313	280	32	309	4
94384at4751_aligned_trimmed.fas	19992	20632	641	313	91	613	27
241860at4751_aligned_trimmed.fas	20633	21082	450	317	85	409	41
153083at4751_aligned_trimmed.fas	21083	21867	785	316	97	772	13
52909at4751_aligned_trimmed.fas	21868	22544	677	328	267	627	48
285477at4751_aligned_trimmed.fas	22545	22731	187	297	61	165	20
34830at4751_aligned_trimmed.fas	22732	23923	1192	283	19	1187	5
490662at4751_aligned_trimmed.fas	23924	24022	99	214	10	94	5
101133at4751_aligned_trimmed.fas	24023	25738	1716	293	59	1708	8
204087at4751_aligned_trimmed.fas	25739	26875	1137	281	87	1102	33
292336at4751_aligned_trimmed.fas	26876	27432	557	321	17	557	0
233287at4751_aligned_trimmed.fas	27433	27832	400	308	37	382	17
200331at4751_aligned_trimmed.fas	27833	28188	356	305	15	355	1
357584at4751_aligned_trimmed.fas	28189	28443	255	293	29	248	7
419868at4751_aligned_trimmed.fas	28444	28592	149	265	34	127	22
225918at4751_aligned_trimmed.fas	28593	28992	400	276	56	391	9
378256at4751_aligned_trimmed.fas	28993	29232	240	306	71	240	0
485650at4751_aligned_trimmed.fas	29233	29417	185	275	42	174	11
336181at4751_aligned_trimmed.fas	29418	29747	330	297	51	325	5
320777at4751_aligned_trimmed.fas	29748	30169	422	310	82	405	16
50786at4751_aligned_trimmed.fas	30170	30907	738	312	119	720	18
418644at4751_aligned_trimmed.fas	30908	31489	582	309	49	577	4
444174at4751_aligned_trimmed.fas	31490	31636	147	286	50	139	8
185399at4751_aligned_trimmed.fas	31637	32784	1148	246	68	1120	26
284127at4751_aligned_trimmed.fas	32785	33174	390	333	89	314	75
362322at4751_aligned_trimmed.fas	33175	33409	235	262	32	226	8
376255at4751_aligned_trimmed.fas	33410	33606	197	270	61	196	1
325992at4751_aligned_trimmed.fas	33607	33860	254	323	15	254	0
181890at4751_aligned_trimmed.fas	33861	34505	645	339	41	644	1
122507at4751_aligned_trimmed.fas	34506	34967	462	320	93	448	13
266634at4751_aligned_trimmed.fas	34968	35403	436	331	86	433	3
262317at4751_aligned_trimmed.fas	35404	35734	331	307	69	325	6
338301at4751_aligned_trimmed.fas	35735	35973	239	303	42	233	6
103183at4751_aligned_trimmed.fas	35974	36907	934	319	42	925	9
452573at4751_aligned_trimmed.fas	36908	37011	104	316	34	99	5
382001at4751_aligned_trimmed.fas	37012	37362	351	323	11	347	4
145178at4751_aligned_trimmed.fas	37363	37990	628	326	20	628	0
269580at4751_aligned_trimmed.fas	37991	38273	283	151	14	281	2
477057at4751_aligned_trimmed.fas	38274	38450	177	284	34	176	1
245480at4751_aligned_trimmed.fas	38451	38802	352	332	77	345	7
47592at4751_aligned_trimmed.fas	38803	39660	858	332	36	855	3
264038at4751_aligned_trimmed.fas	39661	40842	1182	299	108	1145	36
238922at4751_aligned_trimmed.fas	40843	41151	309	323	39	304	4
265325at4751_aligned_trimmed.fas	41152	41494	343	257	45	342	1
482337at4751_aligned_trimmed.fas	41495	41813	319	285	37	313	5
307144at4751_aligned_trimmed.fas	41814	42549	736	321	9	736	0
104415at4751_aligned_trimmed.fas	42550	43159	610	220	94	597	13
330551at4751_aligned_trimmed.fas	43160	43742	583	289	63	583	0
145378at4751_aligned_trimmed.fas	43743	44444	702	320	72	692	9
