genome	secondary_cluster	threshold	cluster_method	comparison_algorithm	primary_cluster	size	BUSCO_lineage	BAT_euk	median_cov	mag	bat_bacteria	role	metagenome
public_SRR14721953_concoct_bin.46.fa	1_0	0.05	average	ANImf	1	16849686	ascomycota_odb10	OSLEUM clade	5	public_SRR14721953_concoct_bin.46	NA	mycobiont	SRR14721953
public_SRR14722062_metabat2_bin.2.fa	2_0	0.05	average	ANImf	2	27199670	ascomycota_odb10	OSLEUM clade	11	public_SRR14722062_metabat2_bin.2	NA	mycobiont	SRR14722062
public_SRR14721957_metabat2_bin.1.fa	3_0	0.05	average	ANImf	3	13010775	ascomycota_odb10	leotiomyceta	6	public_SRR14721957_metabat2_bin.1	NA	mycobiont	SRR14721957
public_SRR14722213_metabat2_bin.1.fa	4_0	0.05	average	ANImf	4	24186479	capnodiales_odb10	Mycosphaerellales	7	public_SRR14722213_metabat2_bin.1	NA	fungi_other	SRR14722213
public_SRR7232212_concoct_bin.5.fa	5_1	0.05	average	ANImf	5	NA	NA	NA	NA	NA	NA	tremella	SRR7232212
public_SRR7232214_concoct_bin.7.fa	5_1	0.05	average	ANImf	5	18330858	tremellomycetes_odb10	Tremellales	5	public_SRR7232214_concoct_bin.7	NA	tremella	SRR7232214
private_X1_concoct_bin.0.fa	6_0	0.05	average	ANImf	6	16642605	tremellomycetes_odb10	Tremellales	5	private_X1_concoct_bin.0	NA	tremella	X1
public_ERR4179390_metabat2_bin.6.fa	7_0	0.05	average	ANImf	7	18482457	ascomycota_odb10	Letharia	7	public_ERR4179390_metabat2_bin.6	NA	fungi_other	ERR4179390
public_SRR14721962_metabat2_bin.6.fa	8_1	0.05	average	ANImf	8	22076511	ascomycota_odb10	Letharia	24	public_SRR14721962_metabat2_bin.6	NA	mycobiont	SRR14721962
public_SRR14722031_metabat2_bin.3.fa	8_2	0.05	average	ANImf	8	24548484	ascomycota_odb10	Letharia	21	public_SRR14722031_metabat2_bin.3	NA	mycobiont	SRR14722031
private_X8_concoct_bin.23.fa	8_3	0.05	average	ANImf	8	26420366	ascomycota_odb10	Letharia	228	private_X8_concoct_bin.23	NA	mycobiont	X8
public_SRR14722003_metabat2_bin.1.fa	8_4	0.05	average	ANImf	8	24008401	ascomycota_odb10	Letharia	18	public_SRR14722003_metabat2_bin.1	NA	mycobiont	SRR14722003
private_X11_metabat2_bin.10.fa	8_5	0.05	average	ANImf	8	24878815	ascomycota_odb10	Letharia	145	private_X11_metabat2_bin.10	NA	mycobiont	X11
public_SRR14721982_metabat2_bin.3.fa	9_0	0.05	average	ANImf	9	23745995	ascomycota_odb10	leotiomyceta	19	public_SRR14721982_metabat2_bin.3	NA	mycobiont	SRR14721982
public_SRR14721932_concoct_bin.34.fa	10_1	0.05	average	ANImf	10	28320957	ascomycota_odb10	leotiomyceta	26	public_SRR14721932_concoct_bin.34	NA	mycobiont	SRR14721932
public_SRR14722323_concoct_merged.0.fa	10_2	0.05	average	ANImf	10	29408163	ascomycota_odb10	leotiomyceta	8	public_SRR14722323_concoct_merged.0	NA	mycobiont	SRR14722323
private_T1916_concoct_bin.29.fa	11_0	0.05	average	ANImf	11	34960352	ascomycota_odb10	leotiomyceta	NA	private_T1916_concoct_bin.29	NA	mycobiont	T1916
public_SRR14721966_metabat2_bin.6.fa	12_0	0.05	average	ANImf	12	23364708	ascomycota_odb10	leotiomyceta	42	public_SRR14721966_metabat2_bin.6	NA	mycobiont	SRR14721966
public_SRR14721971_concoct_merged.0.fa	13_0	0.05	average	ANImf	13	22677464	ascomycota_odb10	leotiomyceta	7	public_SRR14721971_concoct_merged.0	NA	mycobiont	SRR14721971
public_SRR14721923_metabat2_bin.2.fa	14_1	0.05	average	ANImf	14	29526551	ascomycota_odb10	leotiomyceta	17	public_SRR14721923_metabat2_bin.2	NA	mycobiont	SRR14721923
public_SRR14722131_metabat2_bin.1.fa	14_1	0.05	average	ANImf	14	NA	NA	NA	NA	NA	NA	mycobiont	SRR14722131
public_SRR14721946_metabat2_bin.2.fa	15_0	0.05	average	ANImf	15	24216471	ascomycota_odb10	leotiomyceta	28	public_SRR14721946_metabat2_bin.2	NA	mycobiont	SRR14721946
public_SRR14721970_metabat2_bin.1.fa	16_0	0.05	average	ANImf	16	31270501	ascomycota_odb10	leotiomyceta	16	public_SRR14721970_metabat2_bin.1	NA	mycobiont	SRR14721970
private_VT34_metabat2_bin.11.fa	17_0	0.05	average	ANImf	17	23060245	ascomycota_odb10	Letharia	58	private_VT34_metabat2_bin.11	NA	mycobiont	VT34
private_X15_concoct_bin.2.fa	18_0	0.05	average	ANImf	18	21148796	ascomycota_odb10	Lasallia pustulata	310	private_X15_concoct_bin.2	NA	mycobiont	X15
public_SRR14721983_metabat2_bin.1.fa	19_0	0.05	average	ANImf	19	25048733	ascomycota_odb10	leotiomyceta	21	public_SRR14721983_metabat2_bin.1	NA	mycobiont	SRR14721983
public_SRR14722012_metabat2_bin.2.fa	20_0	0.05	average	ANImf	20	29791372	ascomycota_odb10	leotiomyceta	15	public_SRR14722012_metabat2_bin.2	NA	mycobiont	SRR14722012
public_SRR14722327_concoct_bin.11.fa	21_0	0.05	average	ANImf	21	20183082	ascomycota_odb10	OSLEUM clade	17	public_SRR14722327_concoct_bin.11	NA	mycobiont	SRR14722327
public_SRR14721978_concoct_merged.0.fa	22_0	0.05	average	ANImf	22	25185608	ascomycota_odb10	leotiomyceta	21	public_SRR14721978_concoct_merged.0	NA	mycobiont	SRR14721978
public_SRR14722313_metabat2_bin.4.fa	23_0	0.05	average	ANImf	23	28706674	ascomycota_odb10	leotiomyceta	36	public_SRR14722313_metabat2_bin.4	NA	mycobiont	SRR14722313
public_SRR14722043_metabat2_bin.3.fa	24_0	0.05	average	ANImf	24	22757456	ascomycota_odb10	OSLEUM clade	4	public_SRR14722043_metabat2_bin.3	NA	mycobiont	SRR14722043
public_SRR14722083_concoct_bin.1.fa	25_0	0.05	average	ANImf	25	24386104	chaetothyriales_odb10	Herpotrichiellaceae	5	public_SRR14722083_concoct_bin.1	NA	mycobiont	SRR14722083
