Genome	bac_genus2	bac_family	bac_order	bac_phylum	compelteness	contamination
private_X5_metawrap_bin.1	Nostoc	Nostocaceae	Cyanobacteriales	Cyanobacteria	99.26	0.22
private_T1894_metawrap_bin.9	RH-AL1	Beijerinckiaceae	Rhizobiales	Proteobacteria	95.65	1.88
private_T1916_metawrap_bin.6	Lichenihabitans	Beijerinckiaceae	Rhizobiales	Proteobacteria	95.99	1.3
private_X15_metawrap_bin.2	CAHJXG01	Acetobacteraceae	Acetobacterales	Proteobacteria	95.27	1.01
private_VT1_metawrap_bin.3	Acetobacteraceae gen. sp.	Acetobacteraceae	Acetobacterales	Proteobacteria	95.86	1.24
private_VT1_metawrap_bin.1	LMUY01	Acetobacteraceae	Acetobacterales	Proteobacteria	96.35	0.75
public_SRR7232211_metawrap_bin.1	CAIMSN01	Acetobacteraceae	Acetobacterales	Proteobacteria	97.22	0.75
private_X11_metawrap_bin.3	Acetobacteraceae gen. sp.	Acetobacteraceae	Acetobacterales	Proteobacteria	95.02	1.24
public_SRR14722229_metawrap_bin.6	Terriglobus	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	96.19	1.72
private_VT26_metawrap_bin.1	RH-AL1	Beijerinckiaceae	Rhizobiales	Proteobacteria	95.89	0.7
public_SRR14722088_metawrap_bin.5	Terriglobus	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	96.52	1.72
public_SRR14722117_metawrap_bin.2	CAHJWO01	UBA10450	Chthoniobacterales	Verrucomicrobiota	96.49	3.72
private_T1894_metawrap_bin.4	VCDI01	Acetobacteraceae	Acetobacterales	Proteobacteria	97.88	0.26
private_TS1974_metawrap_bin.5	CAHJWL01	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	97.44	0.86
public_SRR11456921_metawrap_bin.3	Nostoc	Nostocaceae	Cyanobacteriales	Cyanobacteria	99.78	0.22
public_SRR14721985_metawrap_bin.2	CAIMSN01	Acetobacteraceae	Acetobacterales	Proteobacteria	98.2	0.5
public_SRR14722154_metawrap_bin.3	EB88	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	98.78	0
private_X9_metawrap_bin.1	CAIMSN01	Acetobacteraceae	Acetobacterales	Proteobacteria	97.14	0.5
public_SRR11456915_metawrap_bin.3	Nostoc	Nostocaceae	Cyanobacteriales	Cyanobacteria	99.7	0.89
public_SRR14721954_metawrap_bin.4	Nostoc	Nostocaceae	Cyanobacteriales	Cyanobacteria	99.33	0.67
public_SRR14722157_metawrap_bin.1	EB88	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	95.28	0.17
private_T1887_metawrap_bin.15	CAHJXG01	Acetobacteraceae	Acetobacterales	Proteobacteria	96.95	2.24
private_T1887_metawrap_bin.3	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Proteobacteria	96.53	1.18
private_T1889_metawrap_bin.2	CAIMSN01	Acetobacteraceae	Acetobacterales	Proteobacteria	97.76	2.49
private_T1916_metawrap_bin.2	CAHJWL01	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	99.15	0.85
private_TS1974_metawrap_bin.6	LMUY01	Acetobacteraceae	Acetobacterales	Proteobacteria	95.27	0.75
private_VT1_metawrap_bin.2	CAHJWO01	UBA10450	Chthoniobacterales	Verrucomicrobiota	95.43	3.46
private_VT16_metawrap_bin.4	CAHJWL01	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	99.09	0.85
private_VT34_metawrap_bin.3	CAHJXG01	Acetobacteraceae	Acetobacterales	Proteobacteria	97.76	1.66
private_X3_metawrap_bin.3	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Proteobacteria	97.9	0.64
public_SRR11456914_metawrap_bin.12	CAHJXG01	Acetobacteraceae	Acetobacterales	Proteobacteria	96.75	0.41
public_SRR11456915_metawrap_bin.9	CAHJWO01	UBA10450	Chthoniobacterales	Verrucomicrobiota	96.21	3.42
