alignment	start	end	length	nseqs	nparsimony	nvariable	nfixed
7977at3041_aligned_trimmed.fas	1	166	166	35	62	155	11
8869at3041_aligned_trimmed.fas	167	287	121	40	50	100	20
7646at3041_aligned_trimmed.fas	288	541	254	29	44	247	7
4665at3041_aligned_trimmed.fas	542	742	201	41	44	187	14
11053at3041_aligned_trimmed.fas	743	839	97	37	49	90	7
4294at3041_aligned_trimmed.fas	840	1194	355	37	144	276	76
2960at3041_aligned_trimmed.fas	1195	1730	536	33	73	508	27
1816at3041_aligned_trimmed.fas	1731	2025	295	41	45	232	59
7021at3041_aligned_trimmed.fas	2026	2290	265	27	104	237	27
7053at3041_aligned_trimmed.fas	2291	2436	146	32	53	114	31
8395at3041_aligned_trimmed.fas	2437	2569	133	40	48	107	25
9088at3041_aligned_trimmed.fas	2570	2672	103	40	17	51	51
11939at3041_aligned_trimmed.fas	2673	2900	228	37	45	221	7
3181at3041_aligned_trimmed.fas	2901	3195	295	38	61	200	94
1029at3041_aligned_trimmed.fas	3196	3597	402	36	10	390	11
2044at3041_aligned_trimmed.fas	3598	3944	347	27	153	285	58
4873at3041_aligned_trimmed.fas	3945	4143	199	40	51	169	27
5292at3041_aligned_trimmed.fas	4144	4367	224	32	87	195	28
5849at3041_aligned_trimmed.fas	4368	4586	219	37	16	219	0
1569at3041_aligned_trimmed.fas	4587	4983	397	39	36	311	84
4202at3041_aligned_trimmed.fas	4984	5425	442	35	181	412	30
6583at3041_aligned_trimmed.fas	5426	5606	181	38	72	142	38
1880at3041_aligned_trimmed.fas	5607	6010	404	37	155	349	53
10100at3041_aligned_trimmed.fas	6011	6344	334	41	90	318	16
9586at3041_aligned_trimmed.fas	6345	6507	163	37	93	151	12
4530at3041_aligned_trimmed.fas	6508	6707	200	37	75	171	29
7785at3041_aligned_trimmed.fas	6708	6845	138	34	33	95	41
8558at3041_aligned_trimmed.fas	6846	7108	263	38	86	244	19
2576at3041_aligned_trimmed.fas	7109	7562	454	34	102	436	18
9637at3041_aligned_trimmed.fas	7563	7707	145	37	42	99	45
5076at3041_aligned_trimmed.fas	7708	8110	403	38	37	360	42
7434at3041_aligned_trimmed.fas	8111	8244	134	38	60	118	16
2984at3041_aligned_trimmed.fas	8245	8602	358	23	114	299	57
5744at3041_aligned_trimmed.fas	8603	8932	330	36	118	298	31
8218at3041_aligned_trimmed.fas	8933	9123	191	31	56	186	4
11221at3041_aligned_trimmed.fas	9124	9201	78	39	27	57	20
7993at3041_aligned_trimmed.fas	9202	9372	171	40	97	165	6
5123at3041_aligned_trimmed.fas	9373	9694	322	37	73	306	15
2423at3041_aligned_trimmed.fas	9695	10076	382	33	87	335	45
3914at3041_aligned_trimmed.fas	10077	10305	229	36	62	196	31
8364at3041_aligned_trimmed.fas	10306	10698	393	36	133	378	15
2338at3041_aligned_trimmed.fas	10699	11213	515	36	43	502	11
4217at3041_aligned_trimmed.fas	11214	11347	134	40	31	130	4
3717at3041_aligned_trimmed.fas	11348	11859	512	31	233	445	64
7548at3041_aligned_trimmed.fas	11860	12007	148	38	32	71	76
4081at3041_aligned_trimmed.fas	12008	12235	228	39	83	202	26
8231at3041_aligned_trimmed.fas	12236	12497	262	41	63	255	5
4259at3041_aligned_trimmed.fas	12498	12853	356	36	138	336	20
1532at3041_aligned_trimmed.fas	12854	13357	504	33	91	399	100
1683at3041_aligned_trimmed.fas	13358	13698	341	40	109	285	51
9846at3041_aligned_trimmed.fas	13699	13818	120	40	57	115	5
8898at3041_aligned_trimmed.fas	13819	14080	262	33	73	258	4
4519at3041_aligned_trimmed.fas	14081	14276	196	33	66	155	39
