mag	mag_file_path	locustag
private_X5_metawrap_bin.1	analysis/05_MAGs/MAGs/bacs/private_X5_metawrap_bin.1.fa.gz	NOSTOCX5
private_T1894_metawrap_bin.9	analysis/05_MAGs/MAGs/bacs/private_T1894_metawrap_bin.9.fa.gz	RHAL1T1894
private_T1916_metawrap_bin.6	analysis/05_MAGs/MAGs/bacs/private_T1916_metawrap_bin.6.fa.gz	LICHENIHT1916
private_X15_metawrap_bin.2	analysis/05_MAGs/MAGs/bacs/private_X15_metawrap_bin.2.fa.gz	CAHJXG01X15
private_VT1_metawrap_bin.3	analysis/05_MAGs/MAGs/bacs/private_VT1_metawrap_bin.3.fa.gz	ACETOBACVT1
private_VT1_metawrap_bin.1	analysis/05_MAGs/MAGs/bacs/private_VT1_metawrap_bin.1.fa.gz	LMUY01VT1
public_SRR7232211_metawrap_bin.1	analysis/05_MAGs/MAGs/bacs/public_SRR7232211_metawrap_bin.1.fa.gz	CAIMSN01SRR7232211
private_X11_metawrap_bin.3	analysis/05_MAGs/MAGs/bacs/private_X11_metawrap_bin.3.fa.gz	ACETOBACX11
public_SRR14722229_metawrap_bin.6	analysis/05_MAGs/MAGs/bacs/public_SRR14722229_metawrap_bin.6.fa.gz	TERRIGLOSRR14722229
private_VT26_metawrap_bin.1	analysis/05_MAGs/MAGs/bacs/private_VT26_metawrap_bin.1.fa.gz	RHAL1VT26
public_SRR14722088_metawrap_bin.5	analysis/05_MAGs/MAGs/bacs/public_SRR14722088_metawrap_bin.5.fa.gz	TERRIGLOSRR14722088
public_SRR14722117_metawrap_bin.2	analysis/05_MAGs/MAGs/bacs/public_SRR14722117_metawrap_bin.2.fa.gz	CAHJWO01SRR14722117
private_TS1974_metawrap_bin.5	analysis/05_MAGs/MAGs/bacs/private_TS1974_metawrap_bin.5.fa.gz	CAHJWL01TS1974
public_SRR11456921_metawrap_bin.3	analysis/05_MAGs/MAGs/bacs/public_SRR11456921_metawrap_bin.3.fa.gz	NOSTOCSRR11456921
public_SRR14721985_metawrap_bin.2	analysis/05_MAGs/MAGs/bacs/public_SRR14721985_metawrap_bin.2.fa.gz	CAIMSN01SRR14721985
public_SRR14722154_metawrap_bin.3	analysis/05_MAGs/MAGs/bacs/public_SRR14722154_metawrap_bin.3.fa.gz	EB88SRR14722154
private_X9_metawrap_bin.1	analysis/05_MAGs/MAGs/bacs/private_X9_metawrap_bin.1.fa.gz	CAIMSN01X9
public_SRR11456915_metawrap_bin.3	analysis/05_MAGs/MAGs/bacs/public_SRR11456915_metawrap_bin.3.fa.gz	NOSTOCSRR11456915
public_SRR14721954_metawrap_bin.4	analysis/05_MAGs/MAGs/bacs/public_SRR14721954_metawrap_bin.4.fa.gz	NOSTOCSRR14721954
public_SRR14722157_metawrap_bin.1	analysis/05_MAGs/MAGs/bacs/public_SRR14722157_metawrap_bin.1.fa.gz	EB88SRR14722157
private_T1887_metawrap_bin.15	analysis/05_MAGs/MAGs/bacs/private_T1887_metawrap_bin.15.fa.gz	CAHJXG01T1887
private_T1887_metawrap_bin.3	analysis/05_MAGs/MAGs/bacs/private_T1887_metawrap_bin.3.fa.gz	SPHINGOMT1887
