genome	median_cov	completeness	contamination
private_T1867_concoct_bin.8.fa	28	98.87	0.38
private_T1867_metabat2_bin.4.fa	40	97.87	4.26
private_T1868_concoct_bin.12.fa	26	100	0
private_TS1974_concoct_bin.10.fa	88	98.87	0
private_TS1974_concoct_bin.29.fa	26	92.8	3.8
private_VT12_concoct_bin.10.fa	88	97.74	0
private_VT15_metabat2_bin.1.fa	88	97.37	0
private_VT16_concoct_bin.11.fa	63	98.12	0.38
private_VT22_concoct_bin.7.fa	22	88.35	0
private_VT26_concoct_bin.9.fa	85	94.74	0.75
private_VT33_concoct_bin.0.fa	96	96.62	0.75
private_VT34_metabat2_bin.11.fa	58	97.37	0
private_VT38_concoct_bin.3.fa	57	86.09	0
private_VT38_concoct_bin.4.fa	8	92.4	4.4
private_X11_concoct_bin.15.fa	8	93	4.8
private_X11_metabat2_bin.10.fa	145	93.61	0.38
private_X15_concoct_bin.2.fa	310	98.5	0.75
private_X16_concoct_bin.2.fa	64	97.37	0
private_X1_concoct_bin.0.fa	5	77.6	0.4
private_X1_concoct_bin.13.fa	207	98.5	0
private_X1_metabat2_bin.11.fa	7	93.2	4.2
private_X3_concoct_bin.10.fa	207	99.62	0.75
private_X4_concoct_bin.17.fa	64	90.6	0
private_X5_concoct_bin.21.fa	60	92.86	0
private_X8_concoct_bin.23.fa	228	98.12	0
private_X8_metabat2_bin.7.fa	4	65.4	0.2
private_X9_concoct_bin.20.fa	176	93.23	0
public_SRR11456913_concoct_bin.13.fa	71	88.35	1.88
public_SRR11456914_concoct_merged.0.fa	262	98.87	0.75
public_SRR11456915_concoct_bin.5.fa	13	91.49	4.26
public_SRR11456915_metabat2_merged.0.fa	60	95.86	3.38
public_SRR11456917_metabat2_merged.0.fa	45	98.87	0.38
public_SRR11456918_metabat2_merged.0.fa	59	99.25	0.75
public_SRR11456919_concoct_bin.22.fa	55	97.87	2.13
public_SRR11456919_metabat2_bin.15.fa	42	99.25	1.5
public_SRR11456921_concoct_merged.0.fa	111	86.47	1.13
public_SRR11456921_metabat2_merged.0.fa	114	98.5	1.13
public_SRR11456922_metabat2_merged.1.fa	25	84.21	1.13
public_SRR11456923_metabat2_merged.0.fa	24	91.35	0
public_SRR12240174_metabat2_bin.2.fa	8	88.35	0
public_SRR12240177_metabat2_bin.4.fa	21	95.11	0
public_SRR12240179_concoct_bin.1.fa	21	95.11	0.38
public_SRR12240180_concoct_bin.4.fa	45	91.73	1.88
public_SRR12240181_metabat2_bin.5.fa	18	96.24	0.38
public_SRR12240182_metabat2_bin.7.fa	19	100	0
public_SRR12240183_metabat2_bin.10.fa	30	99.62	0
public_SRR12240184_concoct_bin.17.fa	4	79.7	0.75
public_SRR12240187_metabat2_bin.8.fa	13	93.61	0
public_SRR12240188_concoct_bin.1.fa	21	95.86	0.38
public_SRR13125477_concoct_bin.14.fa	266	97.74	0
public_SRR13125477_metabat2_bin.13.fa	6	84.6	4.4
public_SRR13126796_metabat2_bin.1.fa	8	90.98	1.5
public_SRR13126859_metabat2_bin.7.fa	33	95.86	0
public_SRR13685165_metabat2_bin.3.fa	9	91.73	0
public_SRR14721929_concoct_bin.20.fa	6	61.65	0
public_SRR14721929_metabat2_bin.13.fa	53	93.23	0
public_SRR14721936_concoct_merged.0.fa	5	73.68	0.75
public_SRR14721937_metabat2_bin.4.fa	10	97.37	0.38
public_SRR14721939_concoct_merged.0.fa	6	81.2	0.38
public_SRR14721941_concoct_bin.5.fa	18	86.84	0.38
public_SRR14721944_concoct_merged.0.fa	8	75.19	0.75
public_SRR14721950_metabat2_bin.6.fa	21	90.98	0
public_SRR14721952_concoct_merged.0.fa	12	86.47	0
public_SRR14721953_concoct_bin.46.fa	5	57.14	0
public_SRR14721954_metabat2_bin.3.fa	6	80.83	0
public_SRR14721956_metabat2_bin.3.fa	8	90.23	0.38
public_SRR14721957_metabat2_bin.1.fa	6	72.93	1.13
public_SRR14721960_metabat2_bin.2.fa	10	92.86	0
public_SRR14721962_metabat2_bin.6.fa	24	77.07	0.38
public_SRR14721964_metabat2_bin.3.fa	12	92.86	1.13
public_SRR14721966_metabat2_bin.6.fa	42	93.98	0
public_SRR14721968_concoct_bin.6.fa	7	83.08	0.38
public_SRR14721971_concoct_merged.0.fa	7	82.71	0
public_SRR14721980_metabat2_bin.4.fa	19	92.11	0
public_SRR14721985_metabat2_bin.4.fa	6	85.71	0
public_SRR14721986_metabat2_bin.4.fa	21	92.48	0.38
public_SRR14721987_metabat2_bin.1.fa	11	89.1	0
public_SRR14721996_metabat2_bin.8.fa	10	92.86	0
public_SRR14722007_metabat2_bin.10.fa	11	92.86	0
public_SRR14722019_concoct_merged.0.fa	6	89.47	1.13
public_SRR14722022_concoct_bin.14.fa	16	94.74	0
public_SRR14722026_metabat2_bin.4.fa	15	93.98	0
public_SRR14722031_metabat2_bin.3.fa	21	88.35	0
public_SRR14722039_metabat2_bin.7.fa	14	87.22	0
public_SRR14722041_metabat2_bin.10.fa	18	92.48	0.75
public_SRR14722042_metabat2_bin.4.fa	4	65.96	2.13
public_SRR14722042_metabat2_bin.6.fa	11	87.22	0
public_SRR14722043_metabat2_bin.3.fa	4	58.65	0.75
public_SRR14722046_concoct_bin.7.fa	22	92.48	0
public_SRR14722049_concoct_bin.8.fa	46	87.59	0.38
public_SRR14722050_metabat2_bin.2.fa	11	86.09	0
public_SRR14722051_metabat2_bin.4.fa	14	93.98	0
public_SRR14722054_metabat2_bin.5.fa	6	86.84	0
public_SRR14722058_metabat2_bin.4.fa	17	83.83	0.38
public_SRR14722061_metabat2_bin.1.fa	19	91.35	0
public_SRR14722062_metabat2_bin.2.fa	11	91.35	0.38
public_SRR14722065_metabat2_bin.6.fa	50	90.23	0
public_SRR14722066_metabat2_bin.7.fa	7	86.09	0.38
public_SRR14722067_metabat2_bin.1.fa	4	63.83	0
public_SRR14722067_metabat2_bin.8.fa	10	78.95	0.38
public_SRR14722078_concoct_bin.17.fa	24	96.99	0
public_SRR14722081_metabat2_bin.3.fa	13	92.11	0
public_SRR14722082_metabat2_bin.6.fa	21	89.1	0.75
public_SRR14722083_concoct_bin.1.fa	5	83.83	0
public_SRR14722083_concoct_bin.22.fa	32	87.97	0.38
public_SRR14722085_metabat2_bin.6.fa	36	92.48	0.38
public_SRR14722086_metabat2_bin.14.fa	23	99.62	0
public_SRR14722087_metabat2_bin.6.fa	7	86.84	0.38
public_SRR14722088_concoct_bin.14.fa	31	93.98	0
public_SRR14722090_metabat2_bin.14.fa	50	90.98	0.38
public_SRR14722094_metabat2_bin.10.fa	29	92.86	0.38
public_SRR14722095_metabat2_bin.7.fa	31	84.59	0.38
public_SRR14722098_metabat2_bin.9.fa	29	76.69	0.75
public_SRR14722101_metabat2_bin.2.fa	23	90.98	0.38
public_SRR14722106_metabat2_bin.2.fa	13	93.23	0
public_SRR14722108_metabat2_bin.1.fa	13	93.23	0.38
public_SRR14722112_metabat2_bin.8.fa	28	95.49	0
public_SRR14722113_metabat2_bin.5.fa	32	94.74	0.38
public_SRR14722116_metabat2_bin.14.fa	80	95.11	0
public_SRR14722116_metabat2_bin.5.fa	5	70.6	1.4
public_SRR14722117_metabat2_bin.4.fa	66	94.74	0.38
