Gene.ID	family	Genome	class
NOSTOCX5_00060	GH100	private_X5_metawrap_bin.1	GH
NOSTOCX5_00065	GT51	private_X5_metawrap_bin.1	GT
NOSTOCX5_00210	CE16	private_X5_metawrap_bin.1	CE
NOSTOCX5_00238	GT4	private_X5_metawrap_bin.1	GT
NOSTOCX5_00239	GT41	private_X5_metawrap_bin.1	GT
NOSTOCX5_00240	GT41	private_X5_metawrap_bin.1	GT
NOSTOCX5_00261	GT4	private_X5_metawrap_bin.1	GT
NOSTOCX5_00263	GT4	private_X5_metawrap_bin.1	GT
NOSTOCX5_00274	GT4	private_X5_metawrap_bin.1	GT
NOSTOCX5_00339	GT2	private_X5_metawrap_bin.1	GT
NOSTOCX5_00415	GT51	private_X5_metawrap_bin.1	GT
NOSTOCX5_00429	GT83	private_X5_metawrap_bin.1	GT
NOSTOCX5_00612	GH13	private_X5_metawrap_bin.1	GH
NOSTOCX5_00636	GH102	private_X5_metawrap_bin.1	GH
NOSTOCX5_00737	GT14	private_X5_metawrap_bin.1	GT
NOSTOCX5_00741	GH57	private_X5_metawrap_bin.1	GH
NOSTOCX5_00815	GT2	private_X5_metawrap_bin.1	GT
NOSTOCX5_00827	GT2	private_X5_metawrap_bin.1	GT
NOSTOCX5_01029	GT35	private_X5_metawrap_bin.1	GT
NOSTOCX5_01065	GT4	private_X5_metawrap_bin.1	GT
NOSTOCX5_01066	GT4	private_X5_metawrap_bin.1	GT
NOSTOCX5_01067	GT2	private_X5_metawrap_bin.1	GT
NOSTOCX5_01082	GT2	private_X5_metawrap_bin.1	GT
NOSTOCX5_01095	GH13_20	private_X5_metawrap_bin.1	GH
NOSTOCX5_01106	GH133	private_X5_metawrap_bin.1	GH
NOSTOCX5_01191	CE4	private_X5_metawrap_bin.1	CE
NOSTOCX5_01205	GT14	private_X5_metawrap_bin.1	GT
NOSTOCX5_01208	GH102	private_X5_metawrap_bin.1	GH
NOSTOCX5_01236	GH5_1	private_X5_metawrap_bin.1	GH
NOSTOCX5_01241	GH8	private_X5_metawrap_bin.1	GH
NOSTOCX5_01243	GT2	private_X5_metawrap_bin.1	GT
NOSTOCX5_01243	GT2	private_X5_metawrap_bin.1	GT
NOSTOCX5_01287	GH57	private_X5_metawrap_bin.1	GH
NOSTOCX5_01344	GH104	private_X5_metawrap_bin.1	GH
